lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
48.227977,-101.292736,310,410,18692,100557847,,1924,1,1,LTE,,,18692,,,
48.228573,-101.293546,310,410,18692,102152713,,1511,1,1,LTE,,,18692,,,
48.229345,-101.29509,310,410,18692,100557861,,1000,1,1,LTE,,,18692,,,
48.230332,-101.295836,310,260,45571,9387019,,8711,1,1,LTE,,,45571,,,
48.230667,-101.288452,310,410,37905,90205578,,1000,1,1,UMTS,,,,,,
48.230667114258,-101.29737854004,311,480,49418,126277408,,1000,1,1,LTE,,,49418,,,
48.230667114258,-101.28776550293,310,410,37905,90185582,,1000,1,1,UMTS,,,,,,
48.231523,-101.29973,311,480,203,2161,,2499,1,1,LTE,,,203,,,
48.23204,-101.298477,310,5846,1,1617,,1000,1,1,CDMA,,,,5846,1,1617
48.232040405273,-101.29600524902,311,480,49418,126277409,,1000,1,1,LTE,,,49418,,,
48.232040405273,-101.29325866699,310,5846,1,1619,,1000,1,1,CDMA,,,,5846,1,1619
48.23248,-101.293286,311,480,203,2171,,3471,1,1,LTE,,,203,,,
48.233118,-101.296901,311,480,49418,49477408,,1000,1,1,LTE,,,49418,,,
48.233172,-101.294827,310,410,37905,90203852,,1020,1,1,LTE,,,37905,,,
48.233333,-101.298308,311,480,49418,49477379,,1000,1,1,LTE,,,49418,,,
48.233587,-101.293154,310,410,18692,102152714,,3118,1,1,LTE,,,18692,,,
48.233731,-101.295429,310,410,18692,102152741,,1000,1,1,LTE,,,18692,,,
48.235526,-101.299838,310,410,18692,100557848,,3459,1,1,LTE,,,18692,,,
48.235689,-101.295292,310,410,18692,100557826,,1362,1,1,LTE,,,18692,,,
48.236082,-101.298493,310,120,45571,142756608,,1000,1,1,LTE,,,45571,,,
48.236172,-101.298899,310,120,45571,142756623,,1000,1,1,LTE,,,45571,,,
48.236208,-101.28779,310,260,45571,29818635,,2216,1,1,LTE,,,45571,,,
48.236255,-101.298656,310,120,45571,142756611,,1000,1,1,LTE,,,45571,,,
48.236507,-101.298096,310,260,45571,9359639,,1000,1,1,LTE,,,45571,,,
