lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.906753540039,-81.532974243164,310,410,9891,217226406,,1000,1,1,LTE,,,9891,,,
35.907657,-81.532677,310,410,9891,197634583,,1000,1,1,LTE,,,9891,,,
35.907774,-81.533845,310,260,31585,17897218,,3112,1,1,LTE,,,31585,,,
35.908041,-81.530819,310,260,31693,34874686,,1000,1,1,LTE,,,31693,,,
35.908516,-81.530457,310,410,9891,197634740,,1000,1,1,LTE,,,9891,,,
35.90950012207,-81.530227661133,310,410,12979,10606,,1000,1,1,GSM,,,,,,
35.910671,-81.537671,310,410,12979,217226406,,4930,1,1,UMTS,,,,,,
35.910873,-81.534485,311,480,39039,39136025,,1000,1,1,LTE,,,39039,,,
35.911331,-81.532974,310,410,12979,217196412,,1000,1,1,UMTS,,,,,,
35.912719,-81.532459,310,260,31585,17897219,,3486,1,1,LTE,,,31585,,,
35.912758,-81.540276,310,260,18992,52851325,,1000,1,1,UMTS,,,,,,
35.91362,-81.539154,311,480,39039,192736025,,1000,1,1,LTE,,,39039,,,
35.914964,-81.540081,310,260,31693,18002946,,7869,1,1,LTE,,,31693,,,
