lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.509872436523,-78.334579467773,310,410,12990,3065,,1000,1,1,CDMA,,,,410,12990,3065
35.511526,-78.33508,310,120,3851,31558427,,1000,1,1,LTE,,,3851,,,
35.513306,-78.333893,310,410,12990,3068,,1000,1,1,CDMA,,,,410,12990,3068
35.513325,-78.330326,310,120,3851,32887089,,1849,1,1,LTE,,,3851,,,
35.513443,-78.335678,311,870,3851,31555841,,1000,1,1,LTE,,,3851,,,
35.513701,-78.331901,310,120,3851,32887097,,2487,1,1,LTE,,,3851,,,
35.51399230957,-78.333206176758,310,410,12994,2416,,1000,1,1,CDMA,,,,410,12994,2416
35.51399230957,-78.333206176758,310,578,103,2250,,1000,1,1,CDMA,,,,578,103,2250
35.515366,-78.334579,310,578,103,2249,,1000,1,1,CDMA,,,,578,103,2249
35.515861,-78.331765,311,480,39684,39751949,,3529,1,1,LTE,,,39684,,,
35.518112182617,-78.335952758789,310,410,12990,3067,,1000,1,1,CDMA,,,,410,12990,3067
35.518676,-78.328945,311,480,39684,116551948,,1011,1,1,LTE,,,39684,,,
