lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.574749,-87.269602,311,480,3,4805,,1083,1,1,LTE,,,3,,,
36.575018,-87.273198,310,260,31499,9420780,,1892,1,1,UMTS,,,,,,
36.576207,-87.269204,310,260,43778,25624126,,1963,1,1,LTE,,,43778,,,
36.578135,-87.271602,310,410,8834,41765046,,6866,1,1,LTE,,,8834,,,
36.57829284668,-87.270584106445,310,410,16919,31448,,1000,1,1,CDMA,,,,410,16919,31448
36.578696,-87.275927,311,480,41217,118216480,,7065,1,1,LTE,,,41217,,,
36.579652,-87.272901,311,480,41217,118183220,,1227,1,1,LTE,,,41217,,,
36.579666137695,-87.270584106445,310,120,11280,92781338,,1000,1,1,LTE,,,11280,,,
36.579666137695,-87.267837524414,310,410,16919,31442,,1000,1,1,CDMA,,,,410,16919,31442
36.579731,-87.275803,311,480,3,41383220,,1000,1,1,LTE,,,3,,,
36.579807,-87.275887,311,480,3,41383173,,1000,1,1,LTE,,,3,,,
