lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.740318,-104.986137,312,530,41224,138462979,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,138462980,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,138583299,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,138551566,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,138462988,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,139915524,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,139072826,,1000,1,1,LTE,,,41224,,,
39.740318,-104.986137,312,530,41224,138429710,,1000,1,1,LTE,,,41224,,,
39.740369,-104.994156,311,870,41224,138430222,,1626,1,1,LTE,,,41224,,,
39.740373,-104.99535,310,260,41224,5615421,,1000,1,1,LTE,,,41224,,,
39.740383,-104.989014,311,480,3589,3679246,,3987,1,1,LTE,,,3589,,,
39.740391,-104.99263,310,410,38405,97592543,,1000,1,1,LTE,,,38405,,,
39.740405,-104.992369,312,530,235,34481,,1000,1,1,LTE,,,235,,,
39.740415,-104.992726,310,260,41218,8783627,,1000,1,1,LTE,,,41218,,,
39.7405,-104.9866,311,480,3589,80465708,,1894,1,1,LTE,,,3589,,,
39.740518,-104.986784,310,410,38981,41303901,,1000,1,1,UMTS,,,,,,
39.740524,-104.991989,310,260,11096,21138758,,1000,1,1,UMTS,,,,,,
39.740527,-104.988104,310,410,38418,97567241,,3806,1,1,LTE,,,38418,,,
39.740555,-104.993614,310,,1,3819,,1000,1,1,LTE,,,1,,,
39.740564,-104.988459,310,260,41345,28299919,,1000,1,1,LTE,,,41345,,,
39.740633,-104.993595,311,480,3589,3706138,,1000,1,1,LTE,,,3589,,,
39.740692,-104.984382,310,260,41224,27025923,,1231,1,1,LTE,,,41224,,,
39.7407,-104.991492,311,870,235,34481,,2013,1,1,LTE,,,235,,,
39.740701,-104.990913,310,260,41345,26292483,,1000,1,1,LTE,,,41345,,,
39.740722,-104.993021,310,260,41224,28279949,,2561,1,1,LTE,,,41224,,,
39.740738,-104.987846,310,120,41224,139181105,,1000,1,1,LTE,,,41224,,,
39.740738,-104.987846,310,120,41224,138463241,,1000,1,1,LTE,,,41224,,,
39.740757,-104.989649,310,410,38999,40120240,,1000,1,1,UMTS,,,,,,
39.740786,-104.985996,311,480,3589,3727642,,1000,1,1,LTE,,,3589,,,
39.740794,-104.99258,311,480,3589,3679512,,3726,1,1,LTE,,,3589,,,
39.740816,-104.990461,310,410,38405,99075149,,1000,1,1,LTE,,,38405,,,
39.740829,-104.994438,310,410,5658,26334474,,1000,1,1,LTE,,,5658,,,
39.740829,-104.990186,310,260,41224,28299908,,2155,1,1,LTE,,,41224,,,
39.740853,-104.987122,311,480,3589,3616022,,500,1,1,LTE,,,3589,,,
39.740871,-104.989449,310,410,5658,26332683,,1000,1,1,LTE,,,5658,,,
39.740883,-104.989998,310,410,10720,190934896,,1000,1,1,UMTS,,,,,,
39.740907,-104.990813,311,480,3589,3727638,,1000,1,1,LTE,,,3589,,,
39.74093,-104.986061,311,480,1,2249,,1000,1,1,CDMA,,,,480,1,2249
39.740932,-104.992011,311,480,3589,157306134,,1000,1,1,LTE,,,3589,,,
39.740936,-104.989906,311,480,3589,3736175,,1000,1,1,LTE,,,3589,,,
39.740942,-104.993717,311,480,3589,157306154,,3152,1,1,LTE,,,3589,,,
39.740953,-104.995562,311,480,3589,157306156,,3529,1,1,LTE,,,3589,,,
39.740981,-104.988651,310,410,38999,40125234,,1000,1,1,UMTS,,,,,,
39.740982,-104.985214,310,410,38981,40125234,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.99565124512,310,260,11001,37531,,1000,1,1,CDMA,,,,260,11001,37531
39.740982055664,-104.99565124512,311,480,3589,3779586,,1000,1,1,LTE,,,3589,,,
39.740982055664,-104.9942779541,310,410,38999,3009536,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.9942779541,310,410,38997,40120235,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.99015808105,311,480,3585,3634435,,1000,1,1,LTE,,,3585,,,
39.740982055664,-104.99015808105,311,480,3589,80506134,,1000,1,1,LTE,,,3589,,,
39.740982055664,-104.99015808105,310,260,11096,5615361,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.99015808105,310,260,41218,9225217,,1000,1,1,LTE,,,41218,,,
39.740982055664,-104.99015808105,310,260,41218,9225218,,1000,1,1,LTE,,,41218,,,
39.740982055664,-104.99015808105,311,480,3589,3736197,,1000,1,1,LTE,,,3589,,,
39.740982055664,-104.98878479004,311,480,3585,3634691,,1000,1,1,LTE,,,3585,,,
39.740982055664,-104.98878479004,310,260,41469,8998667,,1000,1,1,LTE,,,41469,,,
39.740982055664,-104.98741149902,310,410,38999,41298903,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.98741149902,311,480,3589,80391456,,1000,1,1,LTE,,,3589,,,
39.740982055664,-104.98603820801,310,410,38981,41561905,,1000,1,1,UMTS,,,,,,
39.740982055664,-104.98603820801,311,870,16897,139914499,,1000,1,1,LTE,,,16897,,,
39.740982055664,-104.98603820801,311,480,3589,3681558,,1000,1,1,LTE,,,3589,,,
39.740999,-104.992091,310,410,38999,40120237,,1000,1,1,UMTS,,,,,,
39.741003,-104.992925,310,260,41218,5615361,,1000,1,1,LTE,,,41218,,,
39.741003,-104.986811,310,410,38981,41298902,,1000,1,1,UMTS,,,,,,
39.741005,-104.991623,310,260,41224,29197573,,1000,1,1,LTE,,,41224,,,
39.741029,-104.994583,310,260,41224,27025932,,1000,1,1,LTE,,,41224,,,
39.74104,-104.991485,311,480,3589,3706134,,1000,1,1,LTE,,,3589,,,
39.741063,-104.991743,310,410,38405,97592471,,1000,1,1,LTE,,,38405,,,
39.741071,-104.985725,311,480,3589,3714072,,1000,1,1,LTE,,,3589,,,
39.741077,-104.989822,311,480,3589,3736178,,1000,1,1,LTE,,,3589,,,
39.741088,-104.992466,311,480,3589,3727648,,1000,1,1,LTE,,,3589,,,
39.741092,-104.98681,311,480,3589,3616002,,1000,1,1,LTE,,,3589,,,
39.741106,-104.992117,310,410,38418,97588483,,4497,1,1,LTE,,,38418,,,
39.741169,-104.993965,311,480,3589,3706140,,1000,1,1,LTE,,,3589,,,
39.741169,-104.990032,311,480,3589,3736177,,1000,1,1,LTE,,,3589,,,
39.741221,-104.992677,311,480,3589,3727650,,1000,1,1,LTE,,,3589,,,
39.741234,-104.991142,310,410,38405,97720469,,1000,1,1,LTE,,,38405,,,
39.741253,-104.99038,310,260,41345,26292493,,1000,1,1,LTE,,,41345,,,
39.741261,-104.990242,311,480,3589,3736167,,1000,1,1,LTE,,,3589,,,
39.741322,-104.989586,311,480,3589,3679233,,1000,1,1,LTE,,,3589,,,
39.741337,-104.991914,310,410,38999,40125233,,1000,1,1,UMTS,,,,,,
39.741356,-104.995067,311,480,1,6113,,1000,1,1,LTE,,,1,,,
39.741364,-104.991696,310,410,38405,97720342,,1000,1,1,LTE,,,38405,,,
39.741383,-104.991989,310,120,16897,138463247,,1000,1,1,LTE,,,16897,,,
39.741392,-104.989734,311,480,3589,80465188,,3332,1,1,LTE,,,3589,,,
39.741397,-104.991064,311,870,41224,138430217,,1760,1,1,LTE,,,41224,,,
39.74143,-104.993964,310,260,41224,26292584,,4297,1,1,LTE,,,41224,,,
39.74144,-104.986038,310,410,38999,41299991,,1000,1,1,UMTS,,,,,,
39.74144,-104.98558,310,260,11023,11871,,1000,1,1,GSM,,,,,,
39.741452,-104.991102,310,410,38405,97592342,,5338,1,1,LTE,,,38405,,,
39.74147,-104.991419,311,480,3589,157327642,,1000,1,1,LTE,,,3589,,,
39.741478,-104.987259,311,480,3589,3727632,,1000,1,1,LTE,,,3589,,,
39.741492,-104.993227,310,410,38999,40120239,,1000,1,1,UMTS,,,,,,
39.741517,-104.989618,310,410,38405,99075135,,1000,1,1,LTE,,,38405,,,
39.741526,-104.990101,310,410,38405,97592542,,1000,1,1,LTE,,,38405,,,
39.741542,-104.992173,311,480,3589,3706136,,1000,1,1,LTE,,,3589,,,
39.741553,-104.992653,310,410,38405,97720328,,1000,1,1,LTE,,,38405,,,
39.741555,-104.991922,311,480,3589,157327648,,1000,1,1,LTE,,,3589,,,
39.741602,-104.992265,311,480,3589,3727619,,1000,1,1,LTE,,,3589,,,
39.741623,-104.987045,310,260,11096,21113195,,1470,1,1,UMTS,,,,,,
39.741627,-104.987211,310,260,41224,27025679,,1000,1,1,LTE,,,41224,,,
39.741641,-104.990509,310,410,38405,97592470,,1593,1,1,LTE,,,38405,,,
39.741645,-104.995145,310,260,41224,5615471,,2683,1,1,LTE,,,41224,,,
39.741688,-104.995766,310,410,38999,40162444,,1000,1,1,UMTS,,,,,,
39.741698,-104.991768,311,480,3589,3727640,,1361,1,1,LTE,,,3589,,,
39.741709,-104.992534,311,480,3589,157327652,,1000,1,1,LTE,,,3589,,,
39.741717,-104.990936,310,410,38405,97720541,,1000,1,1,LTE,,,38405,,,
39.741737,-104.987572,311,480,3589,3616024,,1000,1,1,LTE,,,3589,,,
39.741751,-104.985789,311,480,3589,157314070,,1000,1,1,LTE,,,3589,,,
39.741753,-104.989852,310,260,41345,28299909,,1556,1,1,LTE,,,41345,,,
39.741787,-104.99572,310,410,38999,40162441,,1000,1,1,UMTS,,,,,,
