lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.243778,-85.740738,310,120,14337,117599233,,1000,1,1,LTE,,,14337,,,
38.243845,-85.7429,310,260,43012,6817166,,2891,1,1,LTE,,,43012,,,
38.244094848633,-85.747604370117,310,260,26398,14812059,,1000,1,1,UMTS,,,,,,
38.244094848633,-85.746231079102,310,410,15914,207236373,,1000,1,1,UMTS,,,,,,
38.244094848633,-85.746231079102,310,410,15914,207246376,,1000,1,1,UMTS,,,,,,
38.244094848633,-85.742111206055,310,410,15961,209146918,,1000,1,1,UMTS,,,,,,
38.244094848633,-85.740737915039,310,410,15961,209146921,,1000,1,1,UMTS,,,,,,
38.244094848633,-85.739364624023,311,480,59648,136465184,,1000,1,1,LTE,,,59648,,,
38.244579,-85.746559,311,230,304,51585,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,51443,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,50307,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,50753,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,50610,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,310,120,304,50610,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,50547,,1000,1,1,LTE,,,304,,,
38.244579,-85.746559,311,230,304,50546,,1000,1,1,LTE,,,304,,,
38.244644,-85.749527,310,410,15961,209136925,,1000,1,1,UMTS,,,,,,
38.244644,-85.740051,311,480,59648,59665185,,1000,1,1,LTE,,,59648,,,
38.244682,-85.739746,310,410,8323,40833217,,1000,1,1,LTE,,,8323,,,
38.244775,-85.749992,310,120,304,51619,,4278,1,1,LTE,,,304,,,
38.244917,-85.74918,311,480,59718,59710477,,1621,1,1,LTE,,,59718,,,
38.245007,-85.744186,310,410,65534,40833048,,1000,1,1,LTE,,,65534,,,
38.245056,-85.744553,310,410,8323,38695616,,1000,1,1,LTE,,,8323,,,
38.245075,-85.745506,311,490,304,35585,,1000,1,1,LTE,,,304,,,
38.245075,-85.745506,311,490,304,35521,,1000,1,1,LTE,,,304,,,
38.245152,-85.745674,310,410,8323,38695439,,1000,1,1,LTE,,,8323,,,
38.245281,-85.739418,312,530,43012,118101049,,1000,1,1,LTE,,,43012,,,
38.245335,-85.741478,311,480,59718,59893005,,1000,1,1,LTE,,,59718,,,
38.245341,-85.748645,310,260,11011072,4359389487,,1000,1,1,NR,,,11011072,,,
38.245392,-85.75,310,260,43012,30413957,,1000,1,1,LTE,,,43012,,,
38.245463,-85.749771,310,410,8323,38695627,,1000,1,1,LTE,,,8323,,,
38.245468,-85.748367,311,480,59648,59851523,,1000,1,1,LTE,,,59648,,,
38.245468,-85.740738,311,480,59648,59665155,,1000,1,1,LTE,,,59648,,,
38.245468139648,-85.747604370117,310,410,15961,209146925,,1000,1,1,UMTS,,,,,,
38.245468139648,-85.747604370117,310,260,26398,14812057,,1000,1,1,UMTS,,,,,,
38.245468139648,-85.746231079102,310,410,15914,21541,,1000,1,1,CDMA,,,,410,15914,21541
38.245468139648,-85.74348449707,310,4148,87,51794,,1000,1,1,CDMA,,,,4148,87,51794
38.245468139648,-85.74348449707,310,410,15961,207175223,,1000,1,1,UMTS,,,,,,
38.24556,-85.747978,310,260,26393,8268091,,1000,1,1,UMTS,,,,,,
38.24557,-85.74921,310,410,8323,38695615,,1000,1,1,LTE,,,8323,,,
38.2456,-85.7497,311,480,59718,59851583,,1000,1,1,LTE,,,59718,,,
38.245611,-85.745518,310,410,8323,40743616,,1000,1,1,LTE,,,8323,,,
38.24569,-85.749043,310,410,8323,40463563,,1000,1,1,LTE,,,8323,,,
38.245789,-85.739265,312,530,43012,118101041,,1000,1,1,LTE,,,43012,,,
38.245959,-85.747506,310,120,14337,118918465,,1000,1,1,LTE,,,14337,,,
38.246155,-85.744858,311,480,59648,59851521,,1000,1,1,LTE,,,59648,,,
38.246249,-85.746763,310,260,43138,28828673,,1000,1,1,LTE,,,43138,,,
38.246498,-85.742111,310,4148,85,6785,,1000,1,1,CDMA,,,,4148,85,6785
38.246506,-85.745712,311,480,59718,59851307,,1000,1,1,LTE,,,59718,,,
38.246553,-85.746328,310,260,43012,6622723,,10264,1,1,LTE,,,43012,,,
38.246596,-85.745723,310,260,43138,28828693,,1000,1,1,LTE,,,43138,,,
38.246622,-85.745501,310,260,11011072,4359389485,,1000,1,1,NR,,,11011072,,,
38.246702,-85.745944,310,260,11011072,4359389205,,1000,1,1,NR,,,11011072,,,
38.246715,-85.744894,310,260,43012,29605518,,1000,1,1,LTE,,,43012,,,
38.246721,-85.745621,310,260,43010,6605825,,5252,1,1,LTE,,,43010,,,
38.246763,-85.745643,310,260,11011072,4359389185,,1000,1,1,NR,,,11011072,,,
38.246841,-85.742569,310,65,5,835,,1000,1,1,CDMA,,,,65,5,835
38.246841430664,-85.747604370117,310,410,15961,11547,,1000,1,1,CDMA,,,,410,15961,11547
38.246841430664,-85.746231079102,310,410,15961,3018618,,1000,1,1,UMTS,,,,,,
38.246841430664,-85.746231079102,310,260,26398,14852062,,1000,1,1,UMTS,,,,,,
38.246841430664,-85.746231079102,310,410,15961,209136923,,1000,1,1,UMTS,,,,,,
38.246841430664,-85.744857788086,310,410,15961,21544,,1000,1,1,CDMA,,,,410,15961,21544
38.246841430664,-85.742111206055,310,410,15961,209146923,,1000,1,1,UMTS,,,,,,
38.246941,-85.749008,311,480,304,51619,,1000,1,1,LTE,,,304,,,
38.247044,-85.74659,311,480,59718,59665155,,1000,1,1,LTE,,,59718,,,
38.247091,-85.746827,310,260,43138,28828683,,1000,1,1,LTE,,,43138,,,
38.247148,-85.74252,310,120,304,35587,,5605,1,1,LTE,,,304,,,
38.24724,-85.746209,310,260,43012,6605825,,6445,1,1,LTE,,,43012,,,
38.247246,-85.746437,311,480,59718,59851572,,1000,1,1,LTE,,,59718,,,
38.247483,-85.749849,310,260,43010,6622466,,7205,1,1,LTE,,,43010,,,
38.247523,-85.745964,310,120,304,51665,,6760,1,1,LTE,,,304,,,
38.247526,-85.745859,310,260,43012,6605835,,8229,1,1,LTE,,,43012,,,
38.247542,-85.745214,311,480,59718,59866390,,1000,1,1,LTE,,,59718,,,
38.247707,-85.748944,310,410,8323,38695439,,1000,1,1,UMTS,,,,,,
38.247871,-85.745802,310,410,65534,38695439,,3935,1,1,UMTS,,,,,,
38.247929,-85.744354,310,260,26393,8298458,,1000,1,1,UMTS,,,,,,
38.247929,-85.744339,310,260,26393,8298457,,1000,1,1,LTE,,,26393,,,
38.248008,-85.745696,310,410,8323,40743573,,1000,1,1,LTE,,,8323,,,
38.248047,-85.749004,310,410,8323,38695605,,1000,1,1,LTE,,,8323,,,
38.248088,-85.745165,310,410,8323,40743615,,1000,1,1,LTE,,,8323,,,
38.248137,-85.744503,310,260,26393,8298457,,1000,1,1,UMTS,,,,,,
38.248175,-85.749369,310,260,11011072,4318974254,,1000,1,1,NR,,,11011072,,,
38.248205,-85.744949,310,260,43012,6605845,,1000,1,1,LTE,,,43012,,,
38.24821472168,-85.739364624023,311,480,59648,136503073,,1000,1,1,LTE,,,59648,,,
38.24821472168,-85.739364624023,310,410,8323,209150419,,1000,1,1,LTE,,,8323,,,
38.248276,-85.74707,310,410,8323,40743625,,1000,1,1,LTE,,,8323,,,
38.248276,-85.74707,310,410,8323,38695617,,1000,1,1,LTE,,,8323,,,
38.248283,-85.746315,311,480,304,51585,,1000,1,1,LTE,,,304,,,
38.248307,-85.747708,310,260,43010,6605827,,7001,1,1,LTE,,,43010,,,
38.248386,-85.744629,311,480,304,835,,1000,1,1,LTE,,,304,,,
38.248613,-85.749817,310,410,15961,209170398,,1000,1,1,LTE,,,15961,,,
38.248642,-85.746597,310,,59718,59665155,,1000,1,1,LTE,,,59718,,,
38.248642,-85.746597,311,480,59718,59851306,,1000,1,1,LTE,,,59718,,,
38.248733,-85.745361,311,870,304,51585,,1000,1,1,LTE,,,304,,,
38.24903,-85.749836,310,260,43010,6622743,,1000,1,1,LTE,,,43010,,,
38.249112,-85.73893,310,120,14337,118037530,,1000,1,1,LTE,,,14337,,,
38.249174,-85.740128,310,260,43012,6610199,,1000,1,1,LTE,,,43012,,,
38.249384,-85.745379,310,410,8323,38695625,,1000,1,1,LTE,,,8323,,,
38.249389,-85.74564,313,340,24898,1011732738,,2190,1,1,NR,,,24898,,,
38.249515,-85.742538,310,410,8323,38671383,,7253,1,1,LTE,,,8323,,,
38.249588012695,-85.744857788086,310,120,14387,118037530,,1000,1,1,LTE,,,14387,,,
38.249588012695,-85.744857788086,310,410,15961,209170404,,1000,1,1,UMTS,,,,,,
38.249876,-85.745662,311,480,59718,136465184,,1000,1,1,LTE,,,59718,,,
38.249954,-85.746567,312,530,43012,118875962,,1000,1,1,LTE,,,43012,,,
38.249989,-85.748367,310,260,43012,29605122,,1000,1,1,LTE,,,43012,,,
38.250046,-85.749435,310,410,65534,38784528,,1000,1,1,UMTS,,,,,,
38.250168,-85.742703,310,120,304,35521,,1000,1,1,LTE,,,304,,,
38.25019,-85.749595,310,260,11011072,4329160727,,1000,1,1,NR,,,11011072,,,
38.250294,-85.74212,310,260,43012,28205956,,5276,1,1,LTE,,,43012,,,
38.250315,-85.746891,310,410,8323,40463384,,7429,1,1,LTE,,,8323,,,
38.25036,-85.745927,310,410,15961,209160398,,1000,1,1,UMTS,,,,,,
38.250465,-85.747602,313,340,24898,1011728497,,2018,1,1,NR,,,24898,,,
38.250707,-85.747088,310,260,43012,6622722,,7457,1,1,LTE,,,43012,,,
38.250712,-85.745921,311,480,59718,136456992,,1000,1,1,LTE,,,59718,,,
38.250778,-85.750027,312,530,304,35666,,1000,1,1,LTE,,,304,,,
38.250786,-85.7463,312,530,304,35475,,1000,1,1,LTE,,,304,,,
38.250786,-85.7463,312,530,304,35473,,1000,1,1,LTE,,,304,,,
38.250786,-85.7463,312,530,304,35474,,1000,1,1,LTE,,,304,,,
38.250786,-85.7463,312,530,304,35361,,1000,1,1,LTE,,,304,,,
38.250786,-85.7463,312,530,304,34307,,1000,1,1,LTE,,,304,,,
38.250892,-85.748772,310,410,15961,209145982,,1000,1,1,UMTS,,,,,,
38.250931,-85.750023,310,260,43138,28296580,,1000,1,1,LTE,,,43138,,,
38.250961303711,-85.746231079102,310,65,5,500,,1000,1,1,LTE,,,5,,,
38.250972,-85.747816,310,260,43010,6622733,,2227,1,1,LTE,,,43010,,,
38.251015,-85.749435,310,410,8324,38666391,,1000,1,1,LTE,,,8324,,,
38.251083,-85.740234,312,250,43012,117581579,,1000,1,1,LTE,,,43012,,,
38.251086,-85.749673,311,480,5,500,,1000,1,1,LTE,,,5,,,
38.251299,-85.750068,310,260,43010,6593026,,6972,1,1,LTE,,,43010,,,
38.25136,-85.74919,310,410,8323,38671553,,1000,1,1,LTE,,,8323,,,
38.251396,-85.748431,310,410,8323,40463377,,8721,1,1,LTE,,,8323,,,
38.251433,-85.748752,310,120,14337,118909490,,1000,1,1,LTE,,,14337,,,
38.251461,-85.744225,313,340,24898,1011732744,,1893,1,1,NR,,,24898,,,
38.251465,-85.746495,310,260,11011072,4329160707,,1000,1,1,NR,,,11011072,,,
38.251547,-85.749221,310,260,26393,8297538,,1500,1,1,UMTS,,,,,,
38.25155,-85.74862,310,260,11011072,4325490710,,1000,1,1,NR,,,11011072,,,
38.25155,-85.747604,311,480,59648,136456993,,1000,1,1,LTE,,,59648,,,
38.251573,-85.747017,311,480,59648,59656992,,1000,1,1,LTE,,,59648,,,
38.251643,-85.750074,310,260,43012,8403204,,1000,1,1,LTE,,,43012,,,
