lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.528351,-107.323059,311,480,3,4241,,1000,1,1,LTE,,,3,,,
39.528374,-107.321181,311,480,4367,4487696,,1227,1,1,LTE,,,4367,,,
39.52943,-107.324305,310,410,38423,98314761,,1000,1,1,LTE,,,38423,,,
39.529953,-107.320633,310,260,41467,7504141,,1000,1,1,LTE,,,41467,,,
39.530614,-107.325296,311,480,4355,4401154,,8048,1,1,LTE,,,4355,,,
39.530992,-107.324273,311,480,4355,4401174,,8030,1,1,LTE,,,4355,,,
39.531845,-107.32584,311,480,4367,4487706,,1000,1,1,LTE,,,4367,,,
39.531967,-107.322556,310,410,7025,45751,,1000,1,1,GSM,,,,,,
39.532241821289,-107.3233795166,311,480,4367,4400129,,1000,1,1,LTE,,,4367,,,
39.532533,-107.324295,310,260,41464,7504131,,1874,1,1,LTE,,,41464,,,
39.532833,-107.325226,311,870,236,36098,,1000,1,1,LTE,,,236,,,
39.533615112305,-107.32475280762,310,410,16536,41656772,,1000,1,1,UMTS,,,,,,
39.536361694336,-107.32612609863,310,410,38423,41661772,,1000,1,1,LTE,,,38423,,,
