lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.453354,-112.02622,311,490,13417,24631693,,4140,1,1,LTE,,,13417,,,
33.453643,-112.029141,310,120,12300,100790555,,2938,1,1,LTE,,,12300,,,
33.453684,-112.028335,310,4,4,858,,1000,1,1,CDMA,,,,4,4,858
33.453761,-112.020653,310,410,32774,124468247,,1000,1,1,LTE,,,32774,,,
33.454055786133,-112.02690124512,310,410,48993,62044,,1000,1,1,CDMA,,,,410,48993,62044
33.454147,-112.021126,310,260,13417,25001232,,1000,1,1,LTE,,,13417,,,
33.454433,-112.026168,311,490,8,520,,2178,1,1,LTE,,,8,,,
33.454451,-112.021623,310,260,13417,45343599,,2633,1,1,LTE,,,13417,,,
33.454457,-112.022018,310,120,8,841,,7758,1,1,LTE,,,8,,,
33.45495,-112.029837,311,480,6151,6167072,,3429,1,1,LTE,,,6151,,,
33.454964,-112.030273,312,530,13417,100791578,,1000,1,1,LTE,,,13417,,,
33.454964,-112.030273,312,530,13417,100791579,,1000,1,1,LTE,,,13417,,,
33.454972,-112.026901,310,410,3031,4273,,1460,1,1,GSM,,,,,,
33.455069,-112.029902,310,410,48981,27723256,,2813,1,1,UMTS,,,,,,
33.455383,-112.021095,310,260,13417,20565279,,1000,1,1,LTE,,,13417,,,
33.455429,-112.026443,310,4170,8,354,,1041,1,1,CDMA,,,,4170,8,354
33.455429077148,-112.02964782715,311,870,12300,102115377,,1000,1,1,LTE,,,12300,,,
33.455429077148,-112.02415466309,310,410,32774,27783783,,1000,1,1,LTE,,,32774,,,
33.455429077148,-112.02415466309,310,410,32774,27783772,,1000,1,1,LTE,,,32774,,,
33.455887,-112.030563,310,260,34721,21321,,1000,1,1,CDMA,,,,260,34721,21321
33.456089,-112.030936,310,260,13442,25532683,,2011,1,1,LTE,,,13442,,,
33.456162,-112.030402,310,260,13417,20610059,,6728,1,1,LTE,,,13417,,,
33.45618,-112.021811,310,260,13417,45346190,,5081,1,1,LTE,,,13417,,,
33.456306,-112.030159,312,530,13417,102424634,,1000,1,1,LTE,,,13417,,,
33.456335,-112.025106,311,870,13417,102685754,,3815,1,1,LTE,,,13417,,,
33.456688,-112.021111,310,260,13417,46207265,,1000,1,1,LTE,,,13417,,,
33.456802368164,-112.0255279541,310,410,48993,27783772,,1000,1,1,UMTS,,,,,,
33.456802368164,-112.02415466309,310,260,34773,11722,,1000,1,1,GSM,,,,,,
33.456821,-112.026436,310,120,13417,100791058,,1000,1,1,LTE,,,13417,,,
33.456821,-112.026436,310,120,13417,102718266,,1000,1,1,LTE,,,13417,,,
33.456821,-112.026436,310,120,13417,102718274,,1000,1,1,LTE,,,13417,,,
33.456821,-112.026436,310,120,13417,100768019,,1000,1,1,LTE,,,13417,,,
33.456927,-112.030772,310,410,32781,124469143,,1305,1,1,LTE,,,32781,,,
33.456944,-112.026093,312,530,13417,100791577,,1000,1,1,LTE,,,13417,,,
33.457027,-112.026604,310,120,13417,102115377,,1000,1,1,LTE,,,13417,,,
33.457027,-112.026604,310,120,13417,102667314,,1000,1,1,LTE,,,13417,,,
33.457031,-112.027588,310,260,34771,11022,,1000,1,1,GSM,,,,,,
33.457359,-112.025274,310,120,12300,100787227,,1000,1,1,LTE,,,12300,,,
33.457452,-112.027371,310,260,13331,20562179,,3084,1,1,LTE,,,13331,,,
33.457458,-112.026825,310,120,13417,102686003,,1000,1,1,LTE,,,13417,,,
33.457469,-112.027565,310,260,13417,25067521,,6626,1,1,LTE,,,13417,,,
33.457497,-112.026348,310,120,13417,100784145,,1000,1,1,LTE,,,13417,,,
33.45771,-112.030685,310,410,32774,124468395,,1000,1,1,LTE,,,32774,,,
33.457718,-112.025528,311,490,12300,102118451,,1000,1,1,LTE,,,12300,,,
33.457718,-112.023926,310,120,12300,100782874,,1103,1,1,LTE,,,12300,,,
33.45776,-112.026085,310,120,13417,100784153,,1000,1,1,LTE,,,13417,,,
33.457764,-112.026108,310,120,13417,100784129,,1000,1,1,LTE,,,13417,,,
33.457771,-112.026085,310,120,13417,100787227,,1000,1,1,LTE,,,13417,,,
33.457787,-112.0261,310,120,13417,101382705,,1000,1,1,LTE,,,13417,,,
33.457922,-112.029095,312,530,13417,100792090,,1000,1,1,LTE,,,13417,,,
33.457958,-112.026253,312,530,13417,100784153,,1000,1,1,LTE,,,13417,,,
33.457994,-112.025788,310,260,13442,25067521,,3786,1,1,LTE,,,13442,,,
33.458012,-112.027603,312,530,13417,100784129,,1000,1,1,LTE,,,13417,,,
33.458047,-112.031148,311,870,13417,102686011,,3232,1,1,LTE,,,13417,,,
33.458052,-112.02702,312,530,13417,100787219,,1000,1,1,LTE,,,13417,,,
33.458155,-112.02815,310,260,13417,25532683,,9522,1,1,LTE,,,13417,,,
33.458176,-112.028275,310,48,48,858,,1000,1,1,CDMA,,,,48,48,858
33.458182,-112.026535,310,260,13404,25067521,,2125,1,1,LTE,,,13404,,,
33.458229,-112.030479,312,530,13417,100792067,,1000,1,1,LTE,,,13417,,,
33.458279,-112.02597,312,530,13417,102745906,,1000,1,1,LTE,,,13417,,,
33.458279,-112.02597,312,530,13417,100784155,,1000,1,1,LTE,,,13417,,,
33.458584,-112.023933,310,410,32774,124215056,,1000,1,1,LTE,,,32774,,,
33.458618,-112.028,312,530,8,776,,1000,1,1,LTE,,,8,,,
33.458633,-112.030723,310,260,13404,20610049,,6797,1,1,LTE,,,13404,,,
33.458637,-112.029289,312,530,8,684,,1000,1,1,LTE,,,8,,,
33.458685,-112.029345,310,260,13417,44811531,,2783,1,1,LTE,,,13417,,,
33.458818,-112.031033,310,260,13404,25532683,,1761,1,1,LTE,,,13404,,,
33.459018,-112.029606,312,530,13417,100785938,,2873,1,1,LTE,,,13417,,,
33.459141,-112.026588,310,410,32774,124468425,,1000,1,1,LTE,,,32774,,,
33.45939,-112.028511,312,530,13417,100792083,,1000,1,1,LTE,,,13417,,,
33.459484,-112.025475,312,530,13417,100787227,,1000,1,1,LTE,,,13417,,,
33.459608,-112.024975,310,410,32774,124468682,,1000,1,1,LTE,,,32774,,,
33.459948,-112.02558,310,260,13442,20577538,,9798,1,1,LTE,,,13442,,,
33.460021,-112.021543,312,530,13417,102686003,,4169,1,1,LTE,,,13417,,,
33.460045,-112.025654,310,260,13417,24631694,,5116,1,1,LTE,,,13417,,,
33.460267,-112.030839,310,260,13417,20565259,,6659,1,1,LTE,,,13417,,,
33.46036,-112.024373,310,4,4,869,,1000,1,1,CDMA,,,,4,4,869
33.46036,-112.02196,312,530,13417,102667314,,4130,1,1,LTE,,,13417,,,
33.460373,-112.021408,310,410,48993,27783783,,1000,1,1,UMTS,,,,,,
33.460421,-112.022815,310,410,32774,122989463,,5043,1,1,LTE,,,32774,,,
33.460425,-112.029889,310,4,4,327,,1000,1,1,CDMA,,,,4,4,327
33.460734,-112.031076,311,870,8,585,,6217,1,1,LTE,,,8,,,
33.460768,-112.021213,310,260,13417,49926799,,4728,1,1,LTE,,,13417,,,
33.460819,-112.025056,310,260,34753,27990693,,1173,1,1,UMTS,,,,,,
33.460845,-112.025659,312,530,13417,102667571,,3786,1,1,LTE,,,13417,,,
33.460922,-112.020721,310,120,12300,100782866,,1000,1,1,LTE,,,12300,,,
33.460922241211,-112.02964782715,311,30,4,388,,1000,1,1,LTE,,,4,,,
33.460922241211,-112.02415466309,310,260,34781,11392,,1000,1,1,CDMA,,,,260,34781,11392
33.460922241211,-112.02415466309,311,870,12300,102118451,,1000,1,1,LTE,,,12300,,,
33.460949,-112.024909,310,120,12300,100792074,,1000,1,1,LTE,,,12300,,,
33.460949,-112.024635,310,260,13417,20577568,,1000,1,1,LTE,,,13417,,,
33.460949,-112.024635,310,260,13417,46213408,,1000,1,1,LTE,,,13417,,,
33.4611,-112.024093,311,490,13417,24631685,,1000,1,1,LTE,,,13417,,,
33.461234,-112.024838,310,120,12300,102118451,,2738,1,1,LTE,,,12300,,,
33.46127,-112.029639,310,120,12300,100792090,,1000,1,1,LTE,,,12300,,,
33.46144,-112.02284,310,260,13442,25323788,,6306,1,1,LTE,,,13442,,,
33.461441,-112.021738,310,260,13417,25323788,,9792,1,1,LTE,,,13417,,,
33.461489,-112.026073,310,120,12300,100792066,,1000,1,1,LTE,,,12300,,,
33.46151,-112.030251,310,260,13417,20580927,,1000,1,1,LTE,,,13417,,,
33.46151,-112.030251,310,260,13417,45540110,,1000,1,1,LTE,,,13417,,,
33.461551,-112.026782,310,260,13404,25323788,,9651,1,1,LTE,,,13404,,,
33.461559,-112.031156,310,260,13417,46213409,,1000,1,1,LTE,,,13417,,,
33.461573,-112.024761,310,260,13417,46213399,,1000,1,1,LTE,,,13417,,,
33.461579,-112.025436,310,120,13417,102685754,,1231,1,1,LTE,,,13417,,,
33.461602,-112.022793,311,480,6151,6299168,,1766,1,1,LTE,,,6151,,,
33.461707,-112.024539,310,120,12300,102118459,,1993,1,1,LTE,,,12300,,,
33.461707,-112.023198,311,480,6151,6299139,,4634,1,1,LTE,,,6151,,,
33.461819,-112.027847,311,480,6151,6238476,,2370,1,1,LTE,,,6151,,,
33.461861,-112.030464,311,490,13417,20577558,,1000,1,1,LTE,,,13417,,,
33.461864,-112.03054,310,260,13417,20610079,,1000,1,1,LTE,,,13417,,,
33.461871,-112.027612,310,260,13417,49926789,,2703,1,1,LTE,,,13417,,,
33.461896,-112.028246,311,480,6151,6238465,,5101,1,1,LTE,,,6151,,,
33.461942,-112.022715,310,410,32774,124468503,,9051,1,1,LTE,,,32774,,,
33.461956,-112.023979,310,410,32781,124468503,,1000,1,1,LTE,,,32781,,,
33.461956,-112.023979,310,410,32781,124474376,,1000,1,1,LTE,,,32781,,,
33.461956,-112.023979,310,410,32781,124074264,,1000,1,1,LTE,,,32781,,,
33.462013,-112.026619,311,480,6151,6166274,,4953,1,1,LTE,,,6151,,,
33.462032,-112.023453,310,4,4,599,,1000,1,1,CDMA,,,,4,4,599
33.462077,-112.028239,311,480,6151,83038476,,1000,1,1,LTE,,,6151,,,
33.462106,-112.02339,310,410,48993,27783786,,5613,1,1,UMTS,,,,,,
33.462116,-112.029564,310,410,48993,27783786,,1000,1,1,LTE,,,48993,,,
33.462143,-112.030029,310,120,12300,100782858,,1000,1,1,LTE,,,12300,,,
33.462152,-112.020958,310,260,34748,21469640,,1000,1,1,UMTS,,,,,,
