lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.583603,-116.36364,312,250,10798,22744835,,1000,1,1,LTE,,,10798,,,
43.584401,-116.356343,311,870,237,2067,,3522,1,1,CDMA,,,,870,237,2067
43.584641,-116.357689,311,480,2817,2888961,,1000,1,1,LTE,,,2817,,,
43.584686,-116.357582,311,480,2817,2889495,,1000,1,1,LTE,,,2817,,,
43.584824,-116.361007,311,480,2817,2837016,,1000,1,1,LTE,,,2817,,,
43.586873,-116.36394,310,260,10810,22744835,,8919,1,1,LTE,,,10810,,,
43.587291,-116.358877,310,260,10810,21590028,,7232,1,1,LTE,,,10810,,,
43.589672,-116.360516,312,250,10798,151010070,,1000,1,1,LTE,,,10798,,,
43.589883,-116.353346,310,260,5081,17933,,1000,1,1,GSM,,,,,,
43.589901,-116.361626,312,250,10798,151010825,,1000,1,1,LTE,,,10798,,,
43.590038,-116.353615,311,480,2817,2889494,,1000,1,1,LTE,,,2817,,,
43.590316772461,-116.36100769043,310,260,5081,8934032,,1000,1,1,UMTS,,,,,,
43.590316772461,-116.35414123535,310,410,43998,8921469,,1000,1,1,UMTS,,,,,,
43.590359,-116.355759,310,260,10859,25255301,,1000,1,1,LTE,,,10859,,,
43.590523,-116.357574,312,250,10798,22744833,,1000,1,1,LTE,,,10798,,,
