lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.911594,-86.82354,310,120,303,92440579,,1000,1,1,LTE,,,303,,,
35.912246704102,-86.82014465332,310,410,16918,206020720,,1000,1,1,UMTS,,,,,,
35.912247,-86.823284,310,179,3,282,,1000,1,1,CDMA,,,,179,3,282
35.912933,-86.822205,310,410,16918,41072,,1000,1,1,CDMA,,,,410,16918,41072
35.913316,-86.823214,310,179,48,435,,12217,1,1,CDMA,,,,179,48,435
35.913619995117,-86.822891235352,311,940,11402,47191810,,1000,1,1,LTE,,,11402,,,
35.913619995117,-86.82014465332,310,4157,87,49594,,1000,1,1,CDMA,,,,4157,87,49594
35.913674,-86.814534,310,410,16921,206211285,,1391,1,1,UMTS,,,,,,
35.913914,-86.820702,310,410,8856,42860312,,1000,1,1,LTE,,,8856,,,
35.91481,-86.818123,311,480,41222,118260750,,1000,1,1,LTE,,,41222,,,
35.914871,-86.818184,311,480,41222,41460772,,1000,1,1,LTE,,,41222,,,
35.914993286133,-86.816024780273,311,870,11402,47191818,,1000,1,1,LTE,,,11402,,,
35.915024,-86.823448,311,480,41225,41235728,,1000,1,1,LTE,,,41225,,,
35.915071,-86.82072,310,260,44029,7235585,,12612,1,1,LTE,,,44029,,,
35.915333,-86.817665,311,480,41225,118073890,,1000,1,1,LTE,,,41225,,,
35.915387,-86.817615,311,480,41222,118260770,,1092,1,1,LTE,,,41222,,,
35.915451,-86.817856,311,870,36612,47191809,,1000,1,1,LTE,,,36612,,,
35.91584,-86.819664,310,410,8856,41856536,,1000,1,1,LTE,,,8856,,,
35.916206,-86.818962,310,410,8856,42604479,,1000,1,1,LTE,,,8856,,,
35.916214,-86.819023,310,410,8856,41856705,,1000,1,1,LTE,,,8856,,,
35.916367,-86.814651,311,480,41225,41273900,,1000,1,1,LTE,,,41225,,,
35.916477,-86.82164,310,120,303,49594,,1000,1,1,LTE,,,303,,,
35.916767,-86.818085,313,100,8856,41755584,,1000,1,1,LTE,,,8856,,,
35.918079,-86.816681,311,490,303,33593,,1000,1,1,LTE,,,303,,,
35.91823,-86.821897,310,260,44029,6391299,,3900,1,1,LTE,,,44029,,,
35.920486450195,-86.822891235352,311,480,41225,41389059,,1000,1,1,LTE,,,41225,,,
35.920486450195,-86.82014465332,310,4157,82,7875,,1000,1,1,CDMA,,,,4157,82,7875
