lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.480392456055,-93.782730102539,310,220,48,14913,,1000,1,1,CDMA,,,,220,48,14913
32.480392456055,-93.781356811523,310,220,48,13235,,1000,1,1,CDMA,,,,220,48,13235
32.48048,-93.778053,311,490,31873,39407620,,1000,1,1,LTE,,,31873,,,
32.480881,-93.780736,310,410,14607,46931464,,7023,1,1,LTE,,,14607,,,
32.481102,-93.778623,310,410,14607,47674005,,1299,1,1,LTE,,,14607,,,
32.481145,-93.777121,310,410,14607,47673864,,2540,1,1,LTE,,,14607,,,
32.481327,-93.778404,310,410,18594,213418477,,4542,1,1,UMTS,,,,,,
32.48145,-93.780466,310,410,14607,46931471,,2873,1,1,LTE,,,14607,,,
32.48176574707,-93.784103393555,310,410,18594,62267,,1000,1,1,CDMA,,,,410,18594,62267
32.48176574707,-93.782730102539,310,410,18594,33261,,1000,1,1,GSM,,,,,,
32.48176574707,-93.782730102539,310,410,18594,33267,,1000,1,1,GSM,,,,,,
32.48176574707,-93.779983520508,310,410,14607,213418477,,1000,1,1,LTE,,,14607,,,
32.48176574707,-93.778610229492,310,410,18594,213447483,,1000,1,1,UMTS,,,,,,
32.48176574707,-93.775863647461,310,260,31878,16360449,,1000,1,1,LTE,,,31878,,,
32.482043,-93.777505,310,410,14607,46931605,,4289,1,1,LTE,,,14607,,,
32.482113,-93.775879,310,410,14607,47169283,,1000,1,1,LTE,,,14607,,,
32.482581,-93.775702,310,260,31873,16360462,,1000,1,1,LTE,,,31873,,,
32.482718,-93.776851,310,410,14607,47902783,,5720,1,1,LTE,,,14607,,,
32.482948,-93.776672,310,260,31873,39641231,,1000,1,1,LTE,,,31873,,,
32.482948,-93.776672,310,260,31873,19781409,,1000,1,1,LTE,,,31873,,,
32.482948,-93.776672,310,260,31873,19781408,,1000,1,1,LTE,,,31873,,,
32.482948,-93.776672,310,260,31873,19781407,,1000,1,1,LTE,,,31873,,,
32.482948,-93.776672,310,260,31873,42888591,,1000,1,1,LTE,,,31873,,,
32.482964,-93.781769,310,120,302,33225,,1000,1,1,LTE,,,302,,,
32.482964,-93.781769,310,120,302,33354,,1000,1,1,LTE,,,302,,,
32.483032,-93.781209,310,410,18594,213447477,,1000,1,1,UMTS,,,,,,
32.483425,-93.775108,312,530,302,49226,,1000,1,1,LTE,,,302,,,
32.483597,-93.777237,310,120,8470,94509315,,1000,1,1,LTE,,,8470,,,
32.484015,-93.77802,310,410,14607,46931636,,1192,1,1,LTE,,,14607,,,
32.48439,-93.774364,311,480,34304,34515746,,2988,1,1,LTE,,,34304,,,
32.484512329102,-93.784103393555,310,410,18599,213119803,,1000,1,1,UMTS,,,,,,
32.484512329102,-93.782730102539,310,120,8519,95004187,,1000,1,1,LTE,,,8519,,,
32.486572,-93.78067,310,410,18594,213418483,,1000,1,1,UMTS,,,,,,
