lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.283432,-84.183884,311,490,16403,134237442,,1529,1,1,LTE,,,16403,,,
40.283537,-84.182031,311,480,64260,64333592,,2272,1,1,LTE,,,64260,,,
40.284718,-84.175213,311,870,203,51715,,4688,1,1,LTE,,,203,,,
40.284912,-84.184981,310,410,21520,44052239,,5165,1,1,LTE,,,21520,,,
40.285473,-84.185486,310,260,8103,28231,,1000,1,1,GSM,,,,,,
40.286178588867,-84.175186157227,311,480,64260,141121568,,1000,1,1,LTE,,,64260,,,
40.286241,-84.182121,310,410,21520,44052232,,3066,1,1,LTE,,,21520,,,
40.286865,-84.182739,310,410,17632,2419971,,1452,1,1,UMTS,,,,,,
40.288387,-84.180191,311,480,25,1729,,1000,1,1,CDMA,,,,480,25,1729
40.288387,-84.180191,311,480,25,4561,,1000,1,1,CDMA,,,,480,25,4561
40.289555,-84.183449,310,260,47359,7372319,,1000,1,1,LTE,,,47359,,,
40.289841,-84.175644,310,15,7,4099,,1000,1,1,CDMA,,,,15,7,4099
40.289871,-84.184264,311,480,7,3681,,2910,1,1,CDMA,,,,480,7,3681
40.290066,-84.185146,310,410,17632,83581039,,11278,1,1,UMTS,,,,,,
40.290298,-84.1745,311,15,7,4099,,1000,1,1,LTE,,,7,,,
40.2903,-84.178586,310,15,7,3681,,8362,1,1,CDMA,,,,15,7,3681
40.290443,-84.182175,312,530,47359,134304520,,1000,1,1,LTE,,,47359,,,
40.291329,-84.179307,310,4390,70,2595,,1319,1,1,CDMA,,,,4390,70,2595
40.291588,-84.182275,310,260,47104,7626005,,9833,1,1,LTE,,,47104,,,
40.29167175293,-84.179306030273,311,870,16404,134237442,,1000,1,1,LTE,,,16404,,,
40.291692,-84.180952,310,260,47359,7372299,,9921,1,1,LTE,,,47359,,,
