lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.831201,-106.294972,310,410,38918,113153290,,3222,1,1,LTE,,,38918,,,
42.832047,-106.293821,311,480,4354,4486935,,3154,1,1,LTE,,,4354,,,
42.832184,-106.298416,310,410,38918,24520596,,1000,1,1,LTE,,,38918,,,
42.833727,-106.288172,311,480,4354,4412941,,5794,1,1,LTE,,,4354,,,
42.835693,-106.291352,310,20,10,41012,,1000,1,1,CDMA,,,,20,10,41012
42.838451,-106.295235,311,870,236,5603,,1000,1,1,CDMA,,,,870,236,5603
42.838764,-106.297791,311,480,4354,4584474,,1000,1,1,LTE,,,4354,,,
42.838852,-106.299454,310,410,44996,24520602,,1000,1,1,UMTS,,,,,,
42.83896,-106.2947,310,410,44996,24520596,,5253,1,1,UMTS,,,,,,
42.839144,-106.288441,311,480,3,4218,,1000,1,1,LTE,,,3,,,
