lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.261051,-110.955566,310,410,39172,116769559,,1000,1,1,LTE,,,39172,,,
41.261917,-110.954575,310,20,126,184153,,1000,1,1,UMTS,,,,,,
41.262488,-110.954658,310,20,126,154144,,22836,1,1,UMTS,,,,,,
41.262589,-110.954361,310,260,62521,205924135,,1000,1,1,UMTS,,,,,,
41.263852,-110.949533,311,480,4358,4506656,,7083,1,1,LTE,,,4358,,,
41.263894,-110.955529,310,260,11601,97394177,,2561,1,1,LTE,,,11601,,,
41.263939,-110.953722,310,260,11601,97394187,,3251,1,1,LTE,,,11601,,,
41.264396,-110.953532,311,480,4358,4454682,,2805,1,1,LTE,,,4358,,,
41.2645,-110.9517,311,480,4358,4454678,,1029,1,1,LTE,,,4358,,,
41.2645,-110.9515,311,480,4358,4454679,,882,1,1,LTE,,,4358,,,
41.264692,-110.949478,311,480,4358,4454658,,19707,1,1,LTE,,,4358,,,
41.264742,-110.946604,310,20,20,78606,,2452,1,1,UMTS,,,,,,
41.265015,-110.946625,310,20,1,4897,,1000,1,1,LTE,,,1,,,
41.265562,-110.949051,310,20,125,184142,,1001,1,1,UMTS,,,,,,
41.265591,-110.951736,311,480,3342,3342354,,1000,1,1,LTE,,,3342,,,
41.266251,-110.952988,310,32,1,13071,,1000,1,1,CDMA,,,,32,1,13071
