lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
31.109099,-97.797485,310,410,27175,2982577,,2932,1,1,UMTS,,,,,,
31.109331,-97.800613,310,260,30842,17597700,,1000,1,1,LTE,,,30842,,,
31.110952,-97.800079,310,410,27175,134084112,,1000,1,1,LTE,,,27175,,,
31.111368,-97.800255,311,480,35075,35148832,,1000,1,1,LTE,,,35075,,,
31.111679,-97.80146,310,410,27175,133232720,,1000,1,1,LTE,,,27175,,,
31.111692,-97.801445,310,410,27175,133232692,,1000,1,1,LTE,,,27175,,,
31.112594604492,-97.796859741211,310,260,26896,39814658,,1000,1,1,UMTS,,,,,,
31.113319,-97.799683,310,260,30842,17597757,,1000,1,1,LTE,,,30842,,,
31.113518,-97.800941,311,480,35075,35148834,,1000,1,1,LTE,,,35075,,,
31.113967895508,-97.802352905273,310,410,52814,107429395,,1000,1,1,UMTS,,,,,,
31.113968,-97.802811,310,410,52814,107451165,,1000,1,1,UMTS,,,,,,
31.114132,-97.799947,311,480,35075,35279618,,7070,1,1,LTE,,,35075,,,
31.115128,-97.800682,310,410,27175,133526862,,1000,1,1,LTE,,,27175,,,
31.115768,-97.799599,310,260,30842,17597707,,8865,1,1,LTE,,,30842,,,
31.116112,-97.801912,310,410,27175,134084245,,6476,1,1,LTE,,,27175,,,
31.116714477539,-97.803726196289,310,4119,4,4539,,1000,1,1,CDMA,,,,4119,4,4539
31.116714477539,-97.798233032227,310,410,52814,107451171,,1000,1,1,UMTS,,,,,,
31.116911,-97.798141,312,250,30842,38530315,,1000,1,1,LTE,,,30842,,,
31.117058,-97.798577,310,260,12171,34301,,2796,1,1,GSM,,,,,,
31.117106,-97.801399,310,260,65534,17598467,,5230,1,1,LTE,,,65534,,,
31.117664,-97.798537,310,260,30842,17597697,,9502,1,1,LTE,,,30842,,,
