lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.666824,-104.976425,310,260,41224,5611522,,1000,1,1,LTE,,,41224,,,
39.666824,-104.975739,310,120,16898,138543889,,1000,1,1,LTE,,,16898,,,
39.666824,-104.974365,310,120,16907,138543889,,1000,1,1,LTE,,,16907,,,
39.667021,-104.980545,311,490,31510,26560258,,1000,1,1,LTE,,,31510,,,
39.667282,-104.97551,310,120,16907,138543874,,1000,1,1,LTE,,,16907,,,
39.667575,-104.972806,310,260,41224,5715971,,9332,1,1,LTE,,,41224,,,
39.667675,-104.973984,311,480,3587,80533526,,1000,1,1,LTE,,,3587,,,
39.667678,-104.980396,310,410,38997,40846321,,1000,1,1,UMTS,,,,,,
39.667679,-104.977066,311,480,3587,80533536,,1000,1,1,LTE,,,3587,,,
39.667683,-104.969559,311,490,31510,26560257,,1000,1,1,LTE,,,31510,,,
39.667725,-104.977478,310,120,235,41619,,1000,1,1,LTE,,,235,,,
39.667906,-104.969647,310,260,41224,5715991,,1000,1,1,LTE,,,41224,,,
39.668073,-104.971862,311,480,3587,3733526,,1461,1,1,LTE,,,3587,,,
39.668197631836,-104.9764251709,310,120,16898,138543874,,1000,1,1,LTE,,,16898,,,
39.668197631836,-104.97093200684,311,490,6432,26560257,,1000,1,1,LTE,,,6432,,,
39.668197631836,-104.97093200684,310,260,41224,5603350,,1000,1,1,LTE,,,41224,,,
39.668198,-104.972992,310,260,41224,5580565,,1000,1,1,LTE,,,41224,,,
39.668399,-104.972648,310,260,41224,8864269,,9293,1,1,LTE,,,41224,,,
39.668667,-104.973564,310,260,41345,63961613,,1000,1,1,LTE,,,41345,,,
39.668823,-104.973549,310,260,41345,63961733,,1000,1,1,LTE,,,41345,,,
39.669117,-104.978004,310,260,11096,21112734,,21475,1,1,UMTS,,,,,,
39.669205,-104.973526,310,260,41345,63961743,,1000,1,1,LTE,,,41345,,,
39.669570922852,-104.97505187988,310,260,11091,21153695,,1000,1,1,UMTS,,,,,,
39.669571,-104.972076,310,260,41230,5603350,,1000,1,1,LTE,,,41230,,,
39.669827,-104.973793,312,530,235,41619,,1000,1,1,LTE,,,235,,,
39.669922,-104.973503,310,260,41345,63961742,,1000,1,1,LTE,,,41345,,,
39.67012,-104.973755,312,530,235,41618,,1000,1,1,LTE,,,235,,,
39.670158,-104.970731,310,260,41224,5716071,,9327,1,1,LTE,,,41224,,,
39.670185,-104.973503,310,260,41345,63961612,,1000,1,1,LTE,,,41345,,,
39.670211,-104.976708,310,410,38411,97597335,,1000,1,1,LTE,,,38411,,,
39.670429,-104.973526,310,260,41345,63961732,,1000,1,1,LTE,,,41345,,,
39.670444,-104.973511,310,260,41345,63961741,,1000,1,1,LTE,,,41345,,,
39.670944213867,-104.97367858887,310,260,11096,5715969,,1000,1,1,UMTS,,,,,,
39.671392,-104.978004,311,480,3587,3733518,,3684,1,1,LTE,,,3587,,,
39.671796,-104.974692,311,480,3587,3733516,,1000,1,1,LTE,,,3587,,,
39.672161,-104.973785,310,260,41236,5589251,,1000,1,1,LTE,,,41236,,,
39.672317504883,-104.97367858887,310,410,38411,40846319,,1000,1,1,LTE,,,38411,,,
39.672389,-104.976763,311,480,3587,3733505,,1000,1,1,LTE,,,3587,,,
39.672396,-104.97299,310,410,38411,97597333,,1000,1,1,LTE,,,38411,,,
39.672643,-104.974674,311,480,3587,157238030,,1302,1,1,LTE,,,3587,,,
39.673317,-104.977173,310,260,41230,5580565,,5245,1,1,LTE,,,41230,,,
39.673405,-104.975212,310,,1,4673,,1000,1,1,LTE,,,1,,,
39.673690795898,-104.97093200684,310,4121,91,4370,,1000,1,1,CDMA,,,,4121,91,4370
39.673691,-104.974946,310,260,41230,5589271,,1000,1,1,LTE,,,41230,,,
39.674263,-104.977891,310,260,11097,86659244,,1541,1,1,UMTS,,,,,,
39.674377,-104.973679,310,120,16907,138543872,,1000,1,1,LTE,,,16907,,,
