lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.08576965332,-118.1421661377,310,120,9648,39708417,,1000,1,1,LTE,,,9648,,,
34.08576965332,-118.1421661377,310,260,26277,190211260,,1000,1,1,UMTS,,,,,,
34.08576965332,-118.14079284668,311,490,24081,197298699,,1000,1,1,LTE,,,24081,,,
34.08576965332,-118.14079284668,311,490,9648,39708417,,1000,1,1,LTE,,,9648,,,
34.08576965332,-118.13941955566,310,260,26277,25785,,1000,1,1,CDMA,,,,260,26277,25785
34.08576965332,-118.13941955566,310,410,34593,142305814,,1000,1,1,LTE,,,34593,,,
34.08577,-118.146286,310,260,26277,190211261,,1000,1,1,UMTS,,,,,,
34.08577,-118.142853,310,260,84,36113,,1000,1,1,GSM,,,,,,
34.085864,-118.146896,310,260,15482,20693251,,7871,1,1,LTE,,,15482,,,
34.086087,-118.144279,310,260,15450,20693250,,1000,1,1,LTE,,,15450,,,
34.086319,-118.141617,310,260,84,25781,,1000,1,1,GSM,,,,,,
34.086456,-118.142853,310,260,26277,190236600,,1000,1,1,UMTS,,,,,,
34.086914,-118.148346,310,260,15450,20693254,,1000,1,1,LTE,,,15450,,,
34.086932,-118.143872,310,260,15482,20693250,,2692,1,1,LTE,,,15482,,,
34.086947,-118.143539,310,260,15450,21213699,,1000,1,1,UMTS,,,,,,
34.087021,-118.146077,310,260,15482,21213700,,1000,1,1,LTE,,,15482,,,
34.087142944336,-118.14353942871,310,260,26277,190211256,,1000,1,1,UMTS,,,,,,
34.087142944336,-118.14353942871,310,260,26277,190211253,,1000,1,1,UMTS,,,,,,
34.087142944336,-118.1421661377,310,260,26277,190205616,,1000,1,1,UMTS,,,,,,
34.087142944336,-118.1421661377,310,120,34736,197885745,,1000,1,1,LTE,,,34736,,,
34.087143,-118.147855,310,410,55559,54927620,,1000,1,1,UMTS,,,,,,
34.087143,-118.142624,310,260,26277,190211259,,1000,1,1,UMTS,,,,,,
34.087156,-118.145589,310,260,15482,21213703,,1000,1,1,LTE,,,15482,,,
34.087486,-118.146286,310,260,26277,190236601,,1000,1,1,UMTS,,,,,,
