lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.048275,-90.501734,310,410,65534,64355343,,7160,1,1,UMTS,,,,,,
36.048327,-90.501523,311,480,47370,47457564,,1273,1,1,LTE,,,47370,,,
36.049071,-90.493475,310,410,24593,64355337,,7700,1,1,LTE,,,24593,,,
36.04932,-90.492792,310,410,24593,64355344,,3129,1,1,LTE,,,24593,,,
36.049576,-90.49507,310,410,25006,13881,,1301,1,1,CDMA,,,,410,25006,13881
36.051213,-90.499207,310,410,24593,65123478,,1000,1,1,LTE,,,24593,,,
36.051667,-90.493546,311,480,47370,47457550,,1000,1,1,LTE,,,47370,,,
36.051732,-90.501105,311,480,47370,47457554,,1000,1,1,LTE,,,47370,,,
36.052322387695,-90.503311157227,310,260,42489,7180546,,1000,1,1,LTE,,,42489,,,
36.052322387695,-90.503311157227,310,410,24593,64355478,,1000,1,1,LTE,,,24593,,,
36.052792,-90.492531,310,410,24593,115423937,,1000,1,1,LTE,,,24593,,,
36.052891,-90.492577,310,410,24593,65153212,,1000,1,1,LTE,,,24593,,,
36.052983,-90.500564,310,410,24593,65123541,,1000,1,1,LTE,,,24593,,,
36.053889,-90.497801,311,480,47370,47457553,,1000,1,1,LTE,,,47370,,,
36.056442260742,-90.501937866211,310,120,10293,58725633,,1000,1,1,LTE,,,10293,,,
