lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.78141,-88.325308,310,260,41474,5441281,,1000,1,1,LTE,,,41474,,,
41.781458,-88.329888,310,260,41709,9597452,,1000,1,1,LTE,,,41709,,,
41.781564,-88.322114,310,260,41474,6234370,,2026,1,1,LTE,,,41474,,,
41.781692504883,-88.329391479492,310,410,21952,15287,,1000,1,1,GSM,,,,,,
41.781692504883,-88.322525024414,311,870,16133,133575937,,1000,1,1,LTE,,,16133,,,
41.781693,-88.329391,310,120,16133,132464131,,1000,1,1,LTE,,,16133,,,
41.781925,-88.319706,310,260,41709,27142147,,1000,1,1,LTE,,,41709,,,
41.782015,-88.327207,310,410,16680,54151176,,3800,1,1,LTE,,,16680,,,
41.782036,-88.328705,310,260,7156,39534077,,1000,1,1,UMTS,,,,,,
41.782883,-88.328827,310,260,41709,8069899,,1000,1,1,LTE,,,41709,,,
41.783061,-88.320625,311,480,51725,51858433,,863,1,1,LTE,,,51725,,,
41.783065795898,-88.322525024414,311,870,2567,12048130,,1000,1,1,LTE,,,2567,,,
41.783065795898,-88.319778442383,311,870,16133,132245009,,1000,1,1,LTE,,,16133,,,
41.783752,-88.323899,310,410,21952,69089560,,2378,1,1,UMTS,,,,,,
41.783816,-88.328136,310,260,41709,6182935,,2312,1,1,LTE,,,41709,,,
41.784164,-88.321564,310,120,16133,132464143,,1000,1,1,LTE,,,16133,,,
41.784439086914,-88.329391479492,310,260,7156,39534074,,1000,1,1,UMTS,,,,,,
41.784439086914,-88.319778442383,310,120,16133,132358661,,1000,1,1,LTE,,,16133,,,
41.784605,-88.325655,310,120,16133,133795331,,2157,1,1,LTE,,,16133,,,
41.784649,-88.329296,310,260,41709,5441281,,1000,1,1,LTE,,,41709,,,
41.785255,-88.321895,310,20,1,998,,55538,1,1,CDMA,,,,20,1,998
41.785584,-88.320236,310,410,16680,56200087,,2552,1,1,LTE,,,16680,,,
41.785694,-88.324982,310,260,41709,8069889,,1000,1,1,LTE,,,41709,,,
41.785702,-88.324989,310,260,41709,27142167,,1000,1,1,LTE,,,41709,,,
41.785713,-88.324997,310,260,41709,28285187,,1000,1,1,LTE,,,41709,,,
41.78581237793,-88.328018188477,310,410,21973,1245,,1000,1,1,CDMA,,,,410,21973,1245
41.78581237793,-88.325271606445,310,410,21978,66992404,,1000,1,1,UMTS,,,,,,
41.78581237793,-88.32389831543,311,870,2567,12048139,,1000,1,1,LTE,,,2567,,,
41.78581237793,-88.319778442383,310,410,21978,14617,,1000,1,1,CDMA,,,,410,21978,14617
41.785992,-88.329674,310,260,41709,6270979,,1000,1,1,LTE,,,41709,,,
41.78602,-88.320019,310,260,41709,28285583,,1000,1,1,LTE,,,41709,,,
41.786068,-88.329674,310,260,41709,5459479,,1000,1,1,LTE,,,41709,,,
41.786911,-88.319778,310,410,21952,44613,,1000,1,1,CDMA,,,,410,21952,44613
41.787185668945,-88.328018188477,310,260,7156,39534069,,1000,1,1,UMTS,,,,,,
41.787258,-88.320663,310,260,41709,9635585,,1000,1,1,LTE,,,41709,,,
41.787636,-88.321701,310,410,16680,54134039,,3523,1,1,LTE,,,16680,,,
41.788373,-88.319883,310,410,16680,54152087,,4229,1,1,LTE,,,16680,,,
41.788558959961,-88.322525024414,310,410,21952,1952706,,1000,1,1,UMTS,,,,,,
41.788718,-88.331586,311,480,51725,51796760,,1042,1,1,LTE,,,51725,,,
41.788757,-88.326927,310,260,41709,6234389,,1000,1,1,LTE,,,41709,,,
41.789932,-88.325272,310,260,7122,63291,,1000,1,1,GSM,,,,,,
41.789932250977,-88.326644897461,310,410,21215,14613,,1000,1,1,GSM,,,,,,
