lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
31.510848999023,-97.202224731445,310,410,65534,133831440,,1000,1,1,UMTS,,,,,,
31.511083,-97.198172,310,120,7706,63548954,,1000,1,1,LTE,,,7706,,,
31.511862,-97.195724,310,410,27183,134421014,,1540,1,1,LTE,,,27183,,,
31.512229,-97.195081,310,410,27183,134421542,,2494,1,1,LTE,,,27183,,,
31.513109,-97.203781,310,410,27183,133785354,,1000,1,1,LTE,,,27183,,,
31.513595581055,-97.199478149414,310,410,52808,27836,,1000,1,1,CDMA,,,,410,52808,27836
31.513595581055,-97.199478149414,310,410,52857,110149460,,1000,1,1,UMTS,,,,,,
31.513595581055,-97.196731567383,310,120,7692,63548954,,1000,1,1,LTE,,,7692,,,
31.513858,-97.196798,310,120,7706,62919426,,1983,1,1,LTE,,,7706,,,
31.514021,-97.199923,311,870,312,58305,,5601,1,1,LTE,,,312,,,
31.514282,-97.196732,310,120,7692,62919426,,1000,1,1,LTE,,,7692,,,
31.514438,-97.195201,310,260,30842,3810829,,22034,1,1,LTE,,,30842,,,
31.514756,-97.198034,310,410,27183,134421655,,1000,1,1,LTE,,,27183,,,
31.51496887207,-97.203598022461,310,410,52857,50849,,1000,1,1,CDMA,,,,410,52857,50849
31.51496887207,-97.203598022461,310,410,52857,50843,,1000,1,1,CDMA,,,,410,52857,50843
31.51496887207,-97.20085144043,310,410,52857,27792,,1000,1,1,GSM,,,,,,
31.51496887207,-97.198104858398,310,120,7691,62919426,,1000,1,1,LTE,,,7691,,,
31.515801,-97.196205,310,120,7706,62919434,,1000,1,1,LTE,,,7706,,,
31.516342163086,-97.195358276367,310,410,52857,50847,,1000,1,1,GSM,,,,,,
31.516559,-97.197814,310,260,30842,17980683,,21890,1,1,LTE,,,30842,,,
31.517029,-97.204285,310,4120,22,15234,,1000,1,1,CDMA,,,,4120,22,15234
31.517033,-97.203445,310,260,30956,222861445,,1000,1,1,LTE,,,30956,,,
31.517258,-97.204514,310,120,35074,35208224,,1000,1,1,LTE,,,35074,,,
31.517366,-97.201935,310,260,12171,62763,,1000,1,1,GSM,,,,,,
31.517387,-97.196098,310,120,312,62919426,,1000,1,1,LTE,,,312,,,
31.517407,-97.194542,310,410,27183,134421512,,1000,1,1,LTE,,,27183,,,
31.517572,-97.199265,311,480,,35208214,,1000,1,1,LTE,,,,,,
31.517572,-97.199265,311,480,,35208226,,1000,1,1,LTE,,,,,,
31.517572,-97.199265,311,480,,35208206,,1000,1,1,LTE,,,,,,
31.517811,-97.19899,311,480,,35208195,,1000,1,1,LTE,,,,,,
31.517895,-97.203804,310,410,27183,133785368,,1000,1,1,LTE,,,27183,,,
31.518369,-97.201178,310,410,27183,134101769,,1000,1,1,UMTS,,,,,,
31.518496,-97.19903,310,410,27183,134421519,,1000,1,1,LTE,,,27183,,,
31.518745,-97.196388,310,410,52857,110126471,,1000,1,1,UMTS,,,,,,
