lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.222397,-97.89072,310,410,28684,210943235,,6051,1,1,LTE,,,28684,,,
30.222702026367,-97.887496948242,310,410,28004,433,,1000,1,1,GSM,,,,,,
30.222702026367,-97.887496948242,310,410,28004,431,,1000,1,1,GSM,,,,,,
30.222896,-97.890377,310,410,28684,209931018,,8684,1,1,LTE,,,28684,,,
30.22316,-97.89299,310,260,2791,92234735,,1000,1,1,UMTS,,,,,,
30.223384,-97.891804,310,260,30891,15833959,,3722,1,1,LTE,,,30891,,,
30.223389,-97.88681,310,410,28987,6402484,,1000,1,1,UMTS,,,,,,
30.223464,-97.894029,310,260,30891,15833879,,2369,1,1,LTE,,,30891,,,
30.22418,-97.893921,310,410,28987,209931025,,1000,1,1,UMTS,,,,,,
30.224315,-97.893664,310,260,30845,15833859,,10883,1,1,LTE,,,30845,,,
30.224407,-97.888911,310,410,28987,102433201,,2842,1,1,UMTS,,,,,,
30.224528,-97.895497,310,410,28684,210952137,,10473,1,1,LTE,,,28684,,,
30.224577,-97.887016,310,410,28684,211150104,,2630,1,1,LTE,,,28684,,,
30.224578,-97.896208,311,480,35079,35105027,,3194,1,1,LTE,,,35079,,,
30.224937,-97.894082,310,410,28684,210840842,,6109,1,1,LTE,,,28684,,,
30.226698,-97.888922,310,410,28684,209931023,,2451,1,1,LTE,,,28684,,,
30.2268,-97.894098,310,410,28987,102433199,,1624,1,1,UMTS,,,,,,
30.226821899414,-97.891616821289,310,410,28684,102433201,,1000,1,1,LTE,,,28684,,,
30.227289,-97.888718,310,260,28684,211508745,,1000,1,1,LTE,,,28684,,,
30.227289,-97.888718,310,260,28684,211226634,,1000,1,1,LTE,,,28684,,,
30.227509,-97.889557,310,410,28987,102473201,,1000,1,1,UMTS,,,,,,
30.227535,-97.894744,310,410,28684,210955032,,3945,1,1,LTE,,,28684,,,
30.227613,-97.895967,310,260,30891,15833859,,12437,1,1,LTE,,,30891,,,
30.22768,-97.888775,310,410,28684,102433204,,1000,1,1,LTE,,,28684,,,
30.22819519043,-97.89436340332,310,120,7688,62970625,,1000,1,1,LTE,,,7688,,,
30.228459,-97.891987,310,260,9971,15583,,1000,1,1,GSM,,,,,,
30.228539,-97.88887,310,410,28004,21273,,1000,1,1,GSM,,,,,,
30.228807,-97.889123,310,260,9971,13503,,9451,1,1,GSM,,,,,,
30.22905,-97.887978,310,260,9996,39803004,,1000,1,1,UMTS,,,,,,
30.22905,-97.887978,310,260,9996,39803983,,1000,1,1,UMTS,,,,,,
30.229285,-97.886986,311,870,312,46771,,1000,1,1,LTE,,,312,,,
30.229294,-97.896554,310,120,7708,63487259,,3512,1,1,LTE,,,7708,,,
30.229568481445,-97.89436340332,310,410,28682,212237207,,1000,1,1,LTE,,,28682,,,
30.229568481445,-97.892990112305,310,260,2791,15833857,,1000,1,1,UMTS,,,,,,
30.229568481445,-97.891616821289,310,260,2791,16474883,,1000,1,1,UMTS,,,,,,
30.229568481445,-97.891616821289,310,260,2791,92224740,,1000,1,1,UMTS,,,,,,
30.229568481445,-97.890243530273,310,120,1293,5245442,,1000,1,1,LTE,,,1293,,,
30.22965,-97.891384,311,870,312,62595,,1000,1,1,LTE,,,312,,,
30.229996,-97.894524,311,870,312,62771,,1000,1,1,CDMA,,,,870,312,62771
30.23007,-97.894844,311,870,312,63443,,1000,1,1,CDMA,,,,870,312,63443
30.230228,-97.891843,310,410,28684,210955018,,1525,1,1,LTE,,,28684,,,
30.230941772461,-97.895736694336,310,410,28682,211475722,,1000,1,1,UMTS,,,,,,
30.230941772461,-97.895736694336,310,260,2791,92224735,,1000,1,1,UMTS,,,,,,
30.230941772461,-97.895736694336,310,260,2791,92224738,,1000,1,1,UMTS,,,,,,
30.230941772461,-97.895736694336,310,410,28989,102494832,,1000,1,1,UMTS,,,,,,
30.230941772461,-97.89436340332,311,870,7737,64313395,,1000,1,1,LTE,,,7737,,,
30.23105,-97.886724,310,410,28987,102494041,,2506,1,1,UMTS,,,,,,
30.231185,-97.886709,311,480,35079,35147798,,4080,1,1,LTE,,,35079,,,
