lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.767463,-82.592625,311,480,64521,64673558,,1000,1,1,LTE,,,64521,,,
40.768203735352,-82.593154907227,310,120,16651,136429329,,1000,1,1,LTE,,,16651,,,
40.768841,-82.590363,310,120,41207,136379657,,1000,1,1,LTE,,,41207,,,
40.769577026367,-82.593154907227,310,410,17590,81267075,,1000,1,1,UMTS,,,,,,
40.769577026367,-82.593154907227,311,480,64521,64667148,,1000,1,1,LTE,,,64521,,,
40.769941,-82.593597,311,480,64521,64667158,,1000,1,1,LTE,,,64521,,,
40.770137,-82.597046,310,260,8475,48943,,2281,1,1,GSM,,,,,,
40.770752,-82.592484,312,250,41207,136379648,,1000,1,1,LTE,,,41207,,,
40.770805,-82.59185,310,120,41207,136429326,,1000,1,1,LTE,,,41207,,,
40.770805,-82.59185,310,120,41207,136429324,,1000,1,1,LTE,,,41207,,,
40.770950317383,-82.593154907227,311,480,64521,64667168,,1000,1,1,LTE,,,64521,,,
40.770950317383,-82.591781616211,311,870,16660,140590593,,1000,1,1,LTE,,,16660,,,
40.770950317383,-82.58903503418,311,870,16660,136429314,,1000,1,1,LTE,,,16660,,,
40.770981,-82.593918,310,120,41207,136379649,,1000,1,1,LTE,,,41207,,,
40.770988,-82.593925,310,120,41207,136429330,,1000,1,1,LTE,,,41207,,,
40.771008,-82.593918,310,,214,40417,,1000,1,1,GSM,,,,,,
40.771233,-82.593605,310,120,41207,136379650,,1000,1,1,LTE,,,41207,,,
40.771233,-82.593605,310,120,41207,136379648,,1000,1,1,LTE,,,41207,,,
40.771233,-82.593605,310,120,41207,136379658,,1000,1,1,LTE,,,41207,,,
40.77153,-82.593475,310,120,41207,136429331,,1000,1,1,LTE,,,41207,,,
40.771735,-82.588545,310,130,21,2466,,1904,1,1,CDMA,,,,130,21,2466
40.771893,-82.593605,310,120,41207,136429315,,1000,1,1,LTE,,,41207,,,
40.772038,-82.591454,310,260,41207,136379648,,1000,1,1,LTE,,,41207,,,
40.772038,-82.591454,312,250,41207,136379650,,1000,1,1,LTE,,,41207,,,
40.772323608398,-82.591781616211,310,410,17590,81267086,,1000,1,1,UMTS,,,,,,
40.77507,-82.591267,311,480,64762,262467585,,1000,1,1,LTE,,,64762,,,
40.775329,-82.598129,310,410,21256,43582217,,12982,1,1,LTE,,,21256,,,
