lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.599242,-112.284091,310,260,13414,20578316,,7660,1,1,LTE,,,13414,,,
33.599495,-112.280205,311,490,1,4355,,1000,1,1,LTE,,,1,,,
33.599495,-112.280205,311,490,1,564,,1000,1,1,LTE,,,1,,,
33.599624633789,-112.27958679199,311,870,12292,100696331,,1000,1,1,LTE,,,12292,,,
33.599625,-112.28508,310,260,34750,8333135,,1000,1,1,UMTS,,,,,,
33.599869,-112.280266,310,260,13414,49055268,,1000,1,1,LTE,,,13414,,,
33.599899,-112.282059,310,260,34714,20063,,1000,1,1,CDMA,,,,260,34714,20063
33.599899,-112.280876,310,120,12292,102027586,,1000,1,1,LTE,,,12292,,,
33.599993,-112.288365,310,260,34744,21440341,,1453,1,1,UMTS,,,,,,
33.600107,-112.28497,310,410,48985,28250224,,6627,1,1,UMTS,,,,,,
33.600323,-112.281433,310,120,13414,102660410,,1000,1,1,LTE,,,13414,,,
33.600404,-112.282341,310,120,12292,102027571,,1207,1,1,LTE,,,12292,,,
33.600449,-112.283157,310,4923,12,9212,,1000,1,1,CDMA,,,,4923,12,9212
33.600765,-112.288727,310,260,34732,20063,,1000,1,1,GSM,,,,,,
33.600769,-112.282181,310,120,12292,102027579,,1000,1,1,LTE,,,12292,,,
33.600826,-112.281694,310,410,32783,122987529,,6862,1,1,LTE,,,32783,,,
33.600865,-112.284964,310,260,13414,22230019,,7496,1,1,LTE,,,13414,,,
33.600886,-112.284375,310,410,48984,28250224,,1450,1,1,UMTS,,,,,,
33.600912,-112.281176,311,480,6154,83022624,,5656,1,1,LTE,,,6154,,,
33.600997924805,-112.28507995605,310,120,12291,102027571,,1000,1,1,LTE,,,12291,,,
33.600997924805,-112.28370666504,310,260,13401,22230119,,1000,1,1,LTE,,,13401,,,
33.600997924805,-112.28096008301,310,120,12291,102027569,,1000,1,1,LTE,,,12291,,,
33.600998,-112.286516,310,120,12292,100696323,,1000,1,1,LTE,,,12292,,,
33.600998,-112.281265,310,120,12292,102027577,,1000,1,1,LTE,,,12292,,,
33.601002,-112.281883,310,260,34775,20063,,5225,1,1,GSM,,,,,,
33.601003,-112.284055,310,260,13414,25597571,,7559,1,1,LTE,,,13414,,,
33.601139,-112.280208,310,410,32777,122987529,,1000,1,1,LTE,,,32777,,,
33.60125,-112.279608,311,480,4,783,,1937,1,1,CDMA,,,,480,4,783
33.601324,-112.285732,310,120,12292,102027585,,1000,1,1,LTE,,,12292,,,
33.601456,-112.281876,310,260,34750,8327795,,1000,1,1,UMTS,,,,,,
33.601844,-112.28559,310,260,34745,34547541,,2040,1,1,UMTS,,,,,,
33.601971,-112.287407,310,410,32777,122970377,,1000,1,1,LTE,,,32777,,,
33.602065,-112.285392,310,410,48985,28044381,,1320,1,1,UMTS,,,,,,
33.602371,-112.284378,311,480,6154,6222624,,1000,1,1,LTE,,,6154,,,
33.60237121582,-112.2891998291,310,120,12292,100696337,,1000,1,1,LTE,,,12292,,,
33.602391,-112.279855,310,120,12292,102027569,,1000,1,1,LTE,,,12292,,,
33.602436,-112.288834,310,410,32777,122970384,,1000,1,1,LTE,,,32777,,,
33.602742,-112.287762,310,260,13445,22230019,,5365,1,1,LTE,,,13445,,,
33.603058,-112.286453,310,260,34750,8333138,,1000,1,1,UMTS,,,,,,
33.603409,-112.28363,310,410,32777,122987536,,1000,1,1,LTE,,,32777,,,
33.603425,-112.285226,311,480,6154,6222595,,1000,1,1,LTE,,,6154,,,
33.603577,-112.282166,310,260,13414,45458178,,1000,1,1,LTE,,,13414,,,
33.603675,-112.288313,310,260,13414,49458308,,4843,1,1,LTE,,,13414,,,
33.603744506836,-112.28370666504,310,410,65534,122880529,,1000,1,1,UMTS,,,,,,
33.603744506836,-112.28096008301,311,480,5634,6147872,,1000,1,1,LTE,,,5634,,,
33.603745,-112.283332,311,480,6148,6214913,,1000,1,1,LTE,,,6148,,,
33.603745,-112.283249,310,120,12292,100696321,,1000,1,1,LTE,,,12292,,,
33.603745,-112.282333,310,120,12292,100696329,,1000,1,1,LTE,,,12292,,,
33.603886,-112.284004,310,410,48985,122970384,,1000,1,1,UMTS,,,,,,
33.603893,-112.283943,310,410,48985,122987537,,1000,1,1,UMTS,,,,,,
33.60393,-112.283472,311,480,6154,6222628,,9842,1,1,LTE,,,6154,,,
33.603985,-112.28936,310,410,32777,122970391,,1000,1,1,LTE,,,32777,,,
33.604122,-112.289322,310,410,32777,122987530,,1000,1,1,LTE,,,32777,,,
33.604271,-112.285713,311,490,1,505,,1000,1,1,LTE,,,1,,,
33.604449,-112.282618,311,480,6154,6214913,,1000,1,1,LTE,,,6154,,,
33.604936,-112.283845,311,480,5634,5745444,,1000,1,1,LTE,,,5634,,,
33.605117797852,-112.28370666504,310,30,4,4864,,1000,1,1,LTE,,,4,,,
33.606885,-112.288305,310,410,48985,28250225,,2291,1,1,UMTS,,,,,,
33.607837,-112.284201,310,120,12292,100694531,,1000,1,1,LTE,,,12292,,,
33.607864,-112.280502,310,410,48985,28250222,,1000,1,1,UMTS,,,,,,
33.607864379883,-112.28096008301,310,260,34750,10061,,1000,1,1,CDMA,,,,260,34750,10061
