lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.297219,-85.831192,310,260,26393,8299150,,1509,1,1,UMTS,,,,,,
38.297963,-85.832283,310,260,43012,9041029,,1000,1,1,LTE,,,43012,,,
38.298133,-85.836335,310,260,43012,9040900,,7574,1,1,LTE,,,43012,,,
38.298779,-85.833751,310,410,8323,40926232,,2965,1,1,LTE,,,8323,,,
38.298912,-85.834099,310,260,43263,6767639,,1000,1,1,LTE,,,43263,,,
38.299318,-85.835724,311,480,59648,59701793,,2066,1,1,LTE,,,59648,,,
38.299767,-85.836685,311,480,59728,59708439,,1000,1,1,LTE,,,59728,,,
38.299858,-85.837479,310,260,43012,6607649,,1000,1,1,LTE,,,43012,,,
38.300125,-85.835495,310,260,43010,6607620,,1000,1,1,LTE,,,43010,,,
38.300511,-85.838786,310,260,43012,9040910,,8567,1,1,LTE,,,43012,,,
38.300525,-85.836708,311,480,59648,59708439,,2211,1,1,LTE,,,59648,,,
38.300671,-85.833849,311,490,304,36019,,1930,1,1,LTE,,,304,,,
38.301547,-85.838127,310,120,14345,117583619,,4426,1,1,LTE,,,14345,,,
38.301575,-85.833748,310,260,43263,9040910,,1000,1,1,LTE,,,43263,,,
38.301781,-85.834222,310,260,43012,6767619,,1014,1,1,LTE,,,43012,,,
38.301788,-85.830544,310,260,43263,9040920,,1000,1,1,LTE,,,43263,,,
38.301899,-85.837656,310,410,8320,40915210,,1049,1,1,LTE,,,8320,,,
38.302025,-85.837092,311,480,59648,59708438,,1000,1,1,LTE,,,59648,,,
38.302043,-85.834659,310,120,304,36083,,2761,1,1,LTE,,,304,,,
38.302577,-85.83556,310,260,43010,6767619,,1096,1,1,LTE,,,43010,,,
38.302803,-85.830345,310,410,15913,10259,,1000,1,1,CDMA,,,,410,15913,10259
38.303055,-85.832932,310,410,8320,38662551,,1000,1,1,LTE,,,8320,,,
38.303146362305,-85.838241577148,310,260,26398,14851759,,1000,1,1,UMTS,,,,,,
38.303146362305,-85.836868286133,310,4755,1,10162,,1000,1,1,CDMA,,,,4755,1,10162
38.303146362305,-85.836868286133,310,410,42980,15758,,1000,1,1,CDMA,,,,410,42980,15758
38.30326,-85.833258,310,260,43012,6767627,,2257,1,1,LTE,,,43012,,,
38.303524,-85.831735,310,120,304,35907,,3572,1,1,LTE,,,304,,,
38.303646,-85.836494,310,410,15913,15758,,1000,1,1,CDMA,,,,410,15913,15758
38.303833,-85.838242,310,260,26398,623,,1000,1,1,CDMA,,,,260,26398,623
38.303909,-85.837021,311,480,59648,136508438,,1000,1,1,LTE,,,59648,,,
38.304012,-85.829937,310,410,8320,38803209,,1000,1,1,LTE,,,8320,,,
38.304087,-85.82986,310,410,8320,40915403,,1000,1,1,LTE,,,8320,,,
38.304144,-85.829845,310,410,8320,40915224,,1000,1,1,LTE,,,8320,,,
38.304291,-85.835724,311,480,59648,59722784,,1231,1,1,LTE,,,59648,,,
38.304339,-85.829937,310,410,8320,40915383,,1000,1,1,LTE,,,8320,,,
38.304407,-85.836028,310,410,8320,38803216,,2746,1,1,LTE,,,8320,,,
38.304414,-85.836692,310,410,8320,38803372,,1107,1,1,LTE,,,8320,,,
38.30451965332,-85.834121704102,310,120,14388,118031643,,1000,1,1,LTE,,,14388,,,
38.30452,-85.838242,310,410,15914,25755,,1000,1,1,CDMA,,,,410,15914,25755
38.30452,-85.836182,310,410,15913,15752,,1000,1,1,CDMA,,,,410,15913,15752
38.304863,-85.838928,311,480,59648,136508439,,1000,1,1,LTE,,,59648,,,
38.305106,-85.830676,310,410,15914,207240584,,1000,1,1,UMTS,,,,,,
38.305492,-85.838081,310,260,43263,6767637,,1000,1,1,UMTS,,,,,,
38.305492,-85.838081,310,260,43263,6767638,,1000,1,1,LTE,,,43263,,,
38.30555,-85.837898,310,410,15914,15758,,1000,1,1,CDMA,,,,410,15914,15758
