lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.010608,-118.102129,310,120,24084,197849913,,1000,1,1,LTE,,,24084,,,
34.010925,-118.098907,310,4145,15,1019,,1000,1,1,CDMA,,,,4145,15,1019
34.010961,-118.101669,310,260,15480,23615233,,1000,1,1,LTE,,,15480,,,
34.011292,-118.104053,310,260,15482,46480701,,1768,1,1,LTE,,,15482,,,
34.011375,-118.104057,310,,15,1019,,1000,1,1,LTE,,,15,,,
34.01141,-118.104568,311,480,12546,12696349,,1000,1,1,LTE,,,12546,,,
34.011531,-118.100967,310,410,5446,3865,,1000,1,1,CDMA,,,,410,5446,3865
34.011611938477,-118.10508728027,310,260,26259,173177203,,1000,1,1,UMTS,,,,,,
34.011611938477,-118.10096740723,310,410,5446,3866,,1000,1,1,CDMA,,,,410,5446,3866
34.011611938477,-118.10096740723,310,410,5446,3862,,1000,1,1,CDMA,,,,410,5446,3862
34.011612,-118.101654,310,120,24084,197871411,,1000,1,1,LTE,,,24084,,,
34.011745,-118.097816,310,410,34560,143243793,,1000,1,1,LTE,,,34560,,,
34.012213,-118.10174,310,260,90,31091,,1000,1,1,GSM,,,,,,
34.012299,-118.102341,310,120,24084,197328907,,1000,1,1,LTE,,,24084,,,
34.012355,-118.0991,310,410,34560,141569431,,2384,1,1,LTE,,,34560,,,
34.012501,-118.100449,310,410,34560,141569290,,5903,1,1,LTE,,,34560,,,
34.012607,-118.100133,310,410,55513,53376357,,1000,1,1,UMTS,,,,,,
34.012756,-118.096619,310,2,9,9521,,1000,1,1,CDMA,,,,2,9,9521
34.01281,-118.103981,310,260,15480,49952899,,1133,1,1,LTE,,,15480,,,
34.012985,-118.102923,311,480,12546,12696342,,1000,1,1,LTE,,,12546,,,
34.012985,-118.095818,311,2,9,1249,,1000,1,1,LTE,,,9,,,
34.01307,-118.106215,311,480,12546,89496344,,3965,1,1,LTE,,,12546,,,
34.013106,-118.100866,310,260,15480,47329599,,2980,1,1,LTE,,,15480,,,
34.013285,-118.096977,310,260,15480,48392511,,3217,1,1,LTE,,,15480,,,
