lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.141044,-80.06561,310,410,5898,90616842,,2503,1,1,LTE,,,5898,,,
39.141321,-80.066567,310,410,5898,90617061,,1325,1,1,LTE,,,5898,,,
39.142738,-80.064426,310,260,44677,103906623,,1562,1,1,LTE,,,44677,,,
39.143566,-80.06314,310,260,44677,103906563,,1620,1,1,LTE,,,44677,,,
39.143575,-80.063448,310,410,5898,90616983,,1730,1,1,LTE,,,5898,,,
39.1436,-80.06424,311,580,3841,138293763,,1000,1,1,LTE,,,3841,,,
39.143691,-80.063032,310,260,44677,103906573,,1719,1,1,LTE,,,44677,,,
39.143705,-80.062835,310,260,11468544,4433715223,,1962,1,1,NR,,,11468544,,,
39.14408,-80.063014,311,480,62332,62306051,,1593,1,1,LTE,,,62332,,,
39.145751,-80.059862,310,260,11468544,4433715203,,2177,1,1,NR,,,11468544,,,
39.147594,-80.059258,310,120,22,21360,,1000,1,1,CDMA,,,,120,22,21360
39.147720336914,-80.056686401367,310,410,5899,90616856,,1000,1,1,LTE,,,5899,,,
