lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.014333,-75.327134,310,410,2950,142517566,,1741,1,1,UMTS,,,,,,
40.015175,-75.322968,310,260,22232,229196567,,1000,1,1,LTE,,,22232,,,
40.015185,-75.321119,310,120,3333,27429379,,1000,1,1,LTE,,,3333,,,
40.01524,-75.323865,310,260,22038,10999045,,8968,1,1,LTE,,,22038,,,
40.015575,-75.322151,310,260,22038,36797958,,1000,1,1,LTE,,,22038,,,
40.015640258789,-75.327072143555,310,260,34691,59576069,,1000,1,1,UMTS,,,,,,
40.016197,-75.325513,310,260,22240,10999042,,3918,1,1,LTE,,,22240,,,
40.017155,-75.322052,311,490,22038,10999042,,1000,1,1,LTE,,,22038,,,
40.017505,-75.326687,310,260,22037,10999043,,7962,1,1,LTE,,,22037,,,
40.01762,-75.32148,310,260,22038,12664837,,1000,1,1,LTE,,,22038,,,
40.0178,-75.315828,310,410,264,5377809,,1584,1,1,LTE,,,264,,,
40.018059,-75.321007,311,490,22038,10962691,,1000,1,1,LTE,,,22038,,,
40.018364,-75.324449,310,260,22240,10962697,,4041,1,1,LTE,,,22240,,,
40.01838684082,-75.325698852539,310,410,2950,10005,,1000,1,1,CDMA,,,,410,2950,10005
40.01838684082,-75.322952270508,310,260,34691,98897672,,1000,1,1,UMTS,,,,,,
40.01838684082,-75.318832397461,310,410,264,142490206,,1000,1,1,LTE,,,264,,,
40.018387,-75.322266,310,260,22030,10999042,,1000,1,1,UMTS,,,,,,
40.018387,-75.316772,310,260,34691,59576076,,1000,1,1,UMTS,,,,,,
40.018548,-75.324761,310,120,3333,28379697,,1000,1,1,LTE,,,3333,,,
40.018559,-75.316086,310,410,2014,10073,,1000,1,1,GSM,,,,,,
40.018711,-75.324166,310,260,22038,10999048,,2807,1,1,LTE,,,22038,,,
40.018782,-75.324169,310,260,22240,35954495,,1000,1,1,LTE,,,22240,,,
40.019073,-75.317871,310,120,3333,27317762,,1000,1,1,LTE,,,3333,,,
40.019095,-75.322601,311,480,25103,25146658,,1104,1,1,LTE,,,25103,,,
40.019215,-75.324638,310,260,22024,10999042,,1000,1,1,LTE,,,22024,,,
40.019384,-75.324874,310,260,22038,10999042,,6242,1,1,LTE,,,22038,,,
40.01976,-75.316086,310,410,2950,142485337,,1000,1,1,UMTS,,,,,,
40.019760131836,-75.324325561523,311,870,3334,28649019,,1000,1,1,LTE,,,3334,,,
40.019760131836,-75.321578979492,311,480,25106,25446668,,1000,1,1,LTE,,,25106,,,
40.019760131836,-75.320205688477,310,410,2950,142486233,,1000,1,1,UMTS,,,,,,
40.019760131836,-75.317459106445,310,410,2010,14944,,1000,1,1,CDMA,,,,410,2010,14944
40.019760131836,-75.31608581543,310,120,3334,28649018,,1000,1,1,LTE,,,3334,,,
40.019760131836,-75.31608581543,310,260,34685,59576079,,1000,1,1,UMTS,,,,,,
40.019825,-75.317126,310,410,264,5502473,,2679,1,1,LTE,,,264,,,
40.01991,-75.325485,311,480,25103,25146656,,543,1,1,LTE,,,25103,,,
40.020051,-75.317624,310,410,264,5502480,,2323,1,1,LTE,,,264,,,
40.020341,-75.324078,310,260,22240,33486725,,1000,1,1,LTE,,,22240,,,
40.020397,-75.321106,311,480,25103,25146672,,1000,1,1,LTE,,,25103,,,
40.020402,-75.315649,310,410,264,5502614,,1000,1,1,LTE,,,264,,,
40.020416,-75.316704,310,260,22038,33486467,,1000,1,1,LTE,,,22038,,,
40.020447,-75.326386,310,410,2950,142490213,,1000,1,1,UMTS,,,,,,
40.020447,-75.324326,310,410,2010,14946,,1000,1,1,CDMA,,,,410,2010,14946
40.020871,-75.326692,310,410,264,5376016,,5477,1,1,LTE,,,264,,,
40.021094,-75.323827,310,410,264,5502487,,1000,1,1,LTE,,,264,,,
40.021133,-75.317459,310,410,2950,142490212,,1000,1,1,UMTS,,,,,,
40.021133422852,-75.31608581543,311,480,25103,25925379,,1000,1,1,LTE,,,25103,,,
40.021492,-75.318481,310,260,22038,33486981,,1000,1,1,LTE,,,22038,,,
40.021504,-75.322316,310,260,22024,10962691,,1000,1,1,UMTS,,,,,,
40.021697,-75.324358,310,260,22037,10999042,,8188,1,1,LTE,,,22037,,,
40.022039,-75.32078,310,410,264,5502615,,1000,1,1,LTE,,,264,,,
40.022226,-75.319941,310,260,22038,33486724,,1000,1,1,LTE,,,22038,,,
40.02233,-75.325607,310,260,22240,33486735,,1000,1,1,LTE,,,22240,,,
40.022358,-75.325981,310,260,22240,35954438,,1000,1,1,LTE,,,22240,,,
40.022506713867,-75.325698852539,311,480,25106,25146656,,1000,1,1,LTE,,,25106,,,
40.022506713867,-75.31608581543,310,410,65534,5502480,,1000,1,1,UMTS,,,,,,
40.022716,-75.319033,310,260,34691,59592713,,6820,1,1,UMTS,,,,,,
40.022882,-75.324968,310,260,22038,10962697,,6041,1,1,LTE,,,22038,,,
40.022973,-75.323275,310,260,22038,10962691,,6239,1,1,LTE,,,22038,,,
40.023004,-75.316473,310,260,22240,35954494,,1000,1,1,LTE,,,22240,,,
40.023193,-75.324326,310,410,2950,142490210,,1000,1,1,UMTS,,,,,,
