lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
29.849166870117,-97.94792175293,310,410,28993,102100471,,1000,1,1,UMTS,,,,,,
29.849166870117,-97.94792175293,310,410,28985,102624759,,1000,1,1,UMTS,,,,,,
29.849674,-97.948011,310,120,7704,63489818,,2048,1,1,LTE,,,7704,,,
29.84987,-97.949908,310,260,9996,39808995,,2256,1,1,UMTS,,,,,,
29.851913452148,-97.950668334961,310,410,28686,102585515,,1000,1,1,LTE,,,28686,,,
29.851913452148,-97.950668334961,311,490,7743,62979586,,1000,1,1,LTE,,,7743,,,
29.851913452148,-97.945175170898,310,4119,48,1001,,1000,1,1,CDMA,,,,4119,48,1001
29.851913452148,-97.945175170898,310,4119,48,901,,1000,1,1,CDMA,,,,4119,48,901
29.852441,-97.943167,310,260,30845,39350287,,8039,1,1,LTE,,,30845,,,
29.85313,-97.950278,310,260,40196,39793999,,21893,1,1,UMTS,,,,,,
29.853287,-97.950119,310,410,28985,102575515,,1000,1,1,UMTS,,,,,,
29.853516,-97.949295,310,410,65534,210474768,,1000,1,1,UMTS,,,,,,
29.853882,-97.948325,310,410,28985,102564872,,5880,1,1,UMTS,,,,,,
29.855007,-97.950749,310,260,30891,39686411,,4769,1,1,LTE,,,30891,,,
29.855543,-97.945893,310,410,28985,102585512,,3310,1,1,UMTS,,,,,,
29.856033325195,-97.945175170898,310,120,7737,63489818,,1000,1,1,LTE,,,7737,,,
29.856721,-97.947921,310,410,28003,21121,,1611,1,1,CDMA,,,,410,28003,21121
