lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.843575,-73.840842,310,260,22597,11703046,,3011,1,1,LTE,,,22597,,,
40.843582,-73.841324,310,260,52177,190132013,,1000,1,1,UMTS,,,,,,
40.843655,-73.846871,310,260,22597,34428733,,1000,1,1,LTE,,,22597,,,
40.843734741211,-73.848037719727,311,480,20228,97038092,,1000,1,1,LTE,,,20228,,,
40.843734741211,-73.845291137695,310,260,52177,190132015,,1000,1,1,UMTS,,,,,,
40.843734741211,-73.839797973633,310,410,11967,155409810,,1000,1,1,UMTS,,,,,,
40.843741,-73.845088,310,260,22597,14818818,,1086,1,1,LTE,,,22597,,,
40.843784,-73.839417,310,260,22578,13694470,,1000,1,1,LTE,,,22578,,,
40.843802,-73.849177,310,260,22597,11703298,,3345,1,1,LTE,,,22597,,,
40.843905,-73.850359,311,870,2,4404,,1000,1,1,LTE,,,2,,,
40.843993,-73.847265,310,260,22597,11703304,,1548,1,1,LTE,,,22597,,,
40.843998,-73.847056,310,260,22597,14740995,,2396,1,1,LTE,,,22597,,,
40.844087,-73.847273,310,260,22597,14818819,,1201,1,1,LTE,,,22597,,,
40.844103,-73.845832,310,260,22574,13037569,,1000,1,1,LTE,,,22574,,,
40.844143,-73.842645,310,410,2373,28737453,,2248,1,1,LTE,,,2373,,,
40.844166,-73.846085,310,260,22595,11703297,,1000,1,1,LTE,,,22595,,,
40.844185,-73.845886,310,260,22597,34424382,,1000,1,1,LTE,,,22597,,,
40.844269,-73.848358,310,260,22597,32403971,,1000,1,1,LTE,,,22597,,,
40.844291,-73.850824,310,260,22770,11703305,,1000,1,1,LTE,,,22770,,,
40.844291,-73.850824,310,410,2373,30106673,,1000,1,1,LTE,,,2373,,,
40.844421,-73.846664,311,480,20228,20432386,,1000,1,1,LTE,,,20228,,,
40.844421,-73.845291,311,480,20228,20261123,,1000,1,1,LTE,,,20228,,,
40.844509,-73.84626,310,260,22597,32403969,,1000,1,1,LTE,,,22597,,,
40.844573,-73.844742,311,870,2331,50101760,,1000,1,1,LTE,,,2331,,,
40.844593,-73.846489,310,260,52177,11703301,,1000,1,1,UMTS,,,,,,
40.844649,-73.849496,311,490,22597,11703298,,1000,1,1,LTE,,,22597,,,
40.84465,-73.842087,310,16,10,913,,1000,1,1,CDMA,,,,16,10,913
40.844661,-73.842608,310,120,2,947,,2017,1,1,LTE,,,2,,,
40.844868,-73.846977,310,260,22597,32404047,,1000,1,1,LTE,,,22597,,,
40.844879,-73.849182,310,260,21258,11698180,,1000,1,1,LTE,,,21258,,,
40.844887,-73.845079,310,260,22597,14818817,,1360,1,1,LTE,,,22597,,,
40.84491,-73.845657,310,260,22597,32404043,,1000,1,1,LTE,,,22597,,,
40.844966,-73.845337,310,260,21258,11703301,,8805,1,1,LTE,,,21258,,,
40.84498,-73.845734,310,260,52177,190142641,,1000,1,1,UMTS,,,,,,
40.845013,-73.850331,310,260,21258,11703303,,1000,1,1,LTE,,,21258,,,
40.845032,-73.846588,311,870,37281,50101760,,1000,1,1,LTE,,,37281,,,
40.84508,-73.846769,311,480,20228,20432406,,1000,1,1,LTE,,,20228,,,
40.845093,-73.849083,310,260,21258,14089744,,1000,1,1,LTE,,,21258,,,
40.845108,-73.845978,310,260,52177,190142644,,1000,1,1,UMTS,,,,,,
40.845108,-73.844621,311,870,2465,50101760,,1000,1,1,LTE,,,2465,,,
40.845108032227,-73.850784301758,310,410,11967,23377,,1000,1,1,CDMA,,,,410,11967,23377
40.845108032227,-73.846664428711,310,260,21258,190159641,,1000,1,1,LTE,,,21258,,,
40.845108032227,-73.846664428711,310,410,11967,168466542,,1000,1,1,UMTS,,,,,,
40.845108032227,-73.845291137695,310,260,52224,22708,,1000,1,1,CDMA,,,,260,52224,22708
40.845108032227,-73.845291137695,311,480,20228,97232406,,1000,1,1,LTE,,,20228,,,
40.845108032227,-73.845291137695,310,410,2373,155422629,,1000,1,1,LTE,,,2373,,,
40.845173,-73.848934,310,260,21258,11703305,,1000,1,1,LTE,,,21258,,,
40.845232,-73.850122,310,260,22533,10561540,,10553,1,1,LTE,,,22533,,,
40.845317,-73.841504,310,260,22574,11700226,,2909,1,1,LTE,,,22574,,,
40.845353,-73.843697,311,870,2465,50101769,,1000,1,1,LTE,,,2465,,,
40.845366,-73.844347,311,870,37281,50104833,,1000,1,1,LTE,,,37281,,,
40.84549,-73.846619,310,410,11965,28773291,,1000,1,1,LTE,,,11965,,,
40.84549,-73.846619,310,410,11965,28885676,,1000,1,1,LTE,,,11965,,,
40.845524,-73.842172,310,260,21258,13037575,,1509,1,1,LTE,,,21258,,,
40.845553,-73.847001,310,260,21258,14089732,,1386,1,1,LTE,,,21258,,,
40.845634,-73.847834,310,410,2382,30106161,,1000,1,1,LTE,,,2382,,,
40.845634,-73.847834,310,260,22770,11703303,,1000,1,1,LTE,,,22770,,,
40.845683,-73.844127,311,870,22597,19147521,,5887,1,1,LTE,,,22597,,,
40.845697,-73.844415,310,410,2373,28758280,,9455,1,1,LTE,,,2373,,,
40.845785,-73.845886,310,260,21258,14080258,,1000,1,1,LTE,,,21258,,,
