lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.287948608398,-105.5216217041,310,410,44995,24588088,,1000,1,1,UMTS,,,,,,
44.288064,-105.516875,310,410,38921,114954762,,1000,1,1,LTE,,,38921,,,
44.288144,-105.520994,310,410,38921,114956041,,1000,1,1,LTE,,,38921,,,
44.289052,-105.514703,310,410,44995,24588082,,1000,1,1,UMTS,,,,,,
44.289321899414,-105.5216217041,310,20,20,76578,,1000,1,1,UMTS,,,,,,
44.293441772461,-105.51887512207,310,410,44995,24588036,,1000,1,1,UMTS,,,,,,
44.293615,-105.521747,310,410,44995,24588033,,1629,1,1,UMTS,,,,,,
44.293671,-105.521278,310,410,38921,112947992,,1000,1,1,LTE,,,38921,,,
44.294815,-105.523338,310,410,44996,12033,,1000,1,1,CDMA,,,,410,44996,12033
44.294815063477,-105.5216217041,310,410,44995,12036,,1000,1,1,CDMA,,,,410,44995,12036
44.294815063477,-105.5216217041,310,410,44995,12033,,1000,1,1,CDMA,,,,410,44995,12033
