lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.231705,-74.756241,310,260,34693,46466603,,1000,1,1,UMTS,,,,,,
40.231762,-74.750118,311,870,4867,55060480,,1000,1,1,LTE,,,4867,,,
40.231978,-74.752595,310,410,2992,139499939,,1000,1,1,UMTS,,,,,,
40.232071,-74.748917,310,410,2992,139500037,,1000,1,1,UMTS,,,,,,
40.232143,-74.751625,310,260,22233,35998861,,1000,1,1,LTE,,,22233,,,
40.232395,-74.756535,310,260,22022,11451143,,8169,1,1,LTE,,,22022,,,
40.232445,-74.751031,310,260,22246,224430989,,1000,1,1,LTE,,,22246,,,
40.232607,-74.746518,310,260,22022,14261255,,7788,1,1,LTE,,,22022,,,
40.23262,-74.749374,310,410,2992,139500034,,1000,1,1,UMTS,,,,,,
40.232620239258,-74.75715637207,311,480,25612,25664002,,1000,1,1,LTE,,,25612,,,
40.232620239258,-74.750289916992,310,260,34672,1521,,1000,1,1,GSM,,,,,,
40.233028,-74.746349,310,260,22022,14302983,,12887,1,1,LTE,,,22022,,,
40.233466,-74.749871,311,480,25614,25749505,,1000,1,1,LTE,,,25614,,,
40.233478,-74.753568,310,260,22022,11451140,,7237,1,1,LTE,,,22022,,,
40.233624,-74.757526,311,870,38596,55058433,,1061,1,1,LTE,,,38596,,,
40.233721,-74.748393,310,260,22022,14261249,,6591,1,1,LTE,,,22022,,,
40.233729,-74.756512,310,260,34693,46466545,,1621,1,1,UMTS,,,,,,
40.233935,-74.756382,310,410,258,8686858,,1000,1,1,LTE,,,258,,,
40.233993530273,-74.750289916992,310,410,2992,139499945,,1000,1,1,UMTS,,,,,,
40.233993530273,-74.750289916992,311,480,25613,102464022,,1000,1,1,LTE,,,25613,,,
40.233994,-74.74823,310,410,2992,139172265,,1000,1,1,UMTS,,,,,,
40.234364,-74.748337,311,480,,25638913,,1000,1,1,LTE,,,,,,
40.234371,-74.746896,311,480,25614,25658146,,2520,1,1,LTE,,,25614,,,
40.234483,-74.74651,310,260,22022,11528454,,6767,1,1,LTE,,,22022,,,
40.234537,-74.749689,310,410,2992,139500031,,1000,1,1,UMTS,,,,,,
40.23468,-74.748917,310,410,2992,39337,,1000,1,1,CDMA,,,,410,2992,39337
40.234965,-74.750189,311,480,25614,25749518,,1913,1,1,LTE,,,25614,,,
40.235366821289,-74.751663208008,310,410,258,139500031,,1000,1,1,LTE,,,258,,,
40.235366821289,-74.747543334961,310,260,34672,1571,,1000,1,1,GSM,,,,,,
40.235366821289,-74.746170043945,310,410,2954,139500031,,1000,1,1,UMTS,,,,,,
40.235366821289,-74.746170043945,311,480,25613,102402572,,1000,1,1,LTE,,,25613,,,
40.235367,-74.746994,310,120,4867,41199409,,1000,1,1,LTE,,,4867,,,
40.235367,-74.746857,311,490,73,302,,1000,1,1,GSM,,,,,,
40.235657,-74.751588,310,260,22022,11915010,,6533,1,1,LTE,,,22022,,,
40.235751,-74.748509,311,870,73,302,,1741,1,1,LTE,,,73,,,
40.236053,-74.751663,310,260,34693,46524926,,1000,1,1,UMTS,,,,,,
40.236053,-74.75029,310,260,34693,46484929,,1000,1,1,UMTS,,,,,,
40.236332,-74.747574,311,480,,25612803,,1000,1,1,LTE,,,,,,
40.236393,-74.749551,311,870,73,4929,,1755,1,1,LTE,,,73,,,
40.236695,-74.754792,310,260,34693,46484926,,1269,1,1,UMTS,,,,,,
40.236740112305,-74.751663208008,310,260,22022,46524926,,1000,1,1,LTE,,,22022,,,
40.237225,-74.748276,311,480,25614,25638934,,1000,1,1,LTE,,,25614,,,
40.237717,-74.754906,310,260,22022,11915071,,1000,1,1,LTE,,,22022,,,
40.238113,-74.753952,310,260,34693,46484932,,1000,1,1,UMTS,,,,,,
40.23811340332,-74.75715637207,310,410,2992,139510350,,1000,1,1,UMTS,,,,,,
40.238976,-74.751787,310,260,34693,46484925,,4239,1,1,UMTS,,,,,,
40.239441,-74.750854,311,480,,25910304,,1000,1,1,LTE,,,,,,
40.239853,-74.751511,311,480,,25708803,,1000,1,1,LTE,,,,,,
40.240192,-74.751945,311,480,,25622796,,1000,1,1,LTE,,,,,,
40.24044,-74.750243,310,410,2992,139500350,,1000,1,1,UMTS,,,,,,
40.240585,-74.746902,311,870,38596,55058441,,1000,1,1,LTE,,,38596,,,
