lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.002348,-92.322922,310,120,11028,90285825,,1000,1,1,LTE,,,11028,,,
39.002368,-92.323139,310,120,11028,90285833,,1000,1,1,LTE,,,11028,,,
39.002672,-92.32749,310,410,26368,61988616,,5630,1,1,LTE,,,26368,,,
39.002838,-92.323265,310,410,24511,122377146,,1000,1,1,UMTS,,,,,,
39.003525,-92.324638,310,4190,41,15745,,1073,1,1,CDMA,,,,4190,41,15745
39.004555,-92.323265,310,120,11028,90702873,,2965,1,1,LTE,,,11028,,,
39.004971,-92.324043,311,580,1,23137,,5811,1,1,CDMA,,,,580,1,23137
39.005729,-92.320139,311,11,2,320,,1000,1,1,LTE,,,2,,,
39.007187,-92.318344,310,410,24511,122407143,,1393,1,1,UMTS,,,,,,
39.00764465332,-92.32292175293,310,17,2,320,,1000,1,1,CDMA,,,,17,2,320
39.00764465332,-92.32292175293,310,410,24512,122407675,,1000,1,1,UMTS,,,,,,
39.008644,-92.318677,310,120,11028,90758426,,3313,1,1,LTE,,,11028,,,
39.010052,-92.324005,311,870,309,1914,,1000,1,1,LTE,,,309,,,
39.010052,-92.324005,311,870,309,1835,,1000,1,1,LTE,,,309,,,
