lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
18.136367797852,-66.266098022461,330,110,11,367618,,1000,1,1,UMTS,,,,,,
18.139114379883,-66.270217895508,330,110,51003,913174,,1000,1,1,UMTS,,,,,,
18.139114379883,-66.268844604492,330,110,51003,913171,,1000,1,1,UMTS,,,,,,
18.139114379883,-66.264724731445,330,110,51003,913170,,1000,1,1,UMTS,,,,,,
18.139114379883,-66.264724731445,330,110,51003,913200,,1000,1,1,UMTS,,,,,,
18.140487670898,-66.267471313477,330,110,51003,902071,,1000,1,1,UMTS,,,,,,
18.140488,-66.268158,310,260,31034,18513921,,1000,1,1,LTE,,,31034,,,
18.141235,-66.26535,310,410,16143,130660118,,1942,1,1,LTE,,,16143,,,
18.141403,-66.267014,310,260,31043,18513921,,1000,1,1,LTE,,,31043,,,
18.141860961914,-66.272964477539,310,260,49096,27856826,,1000,1,1,UMTS,,,,,,
18.141860961914,-66.270217895508,310,260,49096,27853766,,1000,1,1,UMTS,,,,,,
18.141860961914,-66.264724731445,330,110,11,366338,,1000,1,1,LTE,,,11,,,
18.142044,-66.264755,330,110,51003,913169,,1000,1,1,UMTS,,,,,,
18.142057,-66.264921,330,110,51003,902099,,1000,1,1,UMTS,,,,,,
18.14323425293,-66.267471313477,310,120,200,16961,,1000,1,1,CDMA,,,,120,200,16961
18.143646,-66.265137,330,110,51003,902069,,1000,1,1,UMTS,,,,,,
18.144054,-66.267029,330,110,39,8142083,,1000,1,1,LTE,,,39,,,
18.144054,-66.267029,330,110,39,9125131,,1000,1,1,LTE,,,39,,,
18.144607543945,-66.268844604492,330,110,51003,902101,,1000,1,1,UMTS,,,,,,
