lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.599747,-93.772308,311,580,1041,48651276,,1000,1,1,LTE,,,1041,,,
41.599756,-93.770238,311,580,1042,48661253,,3041,1,1,LTE,,,1042,,,
41.599801,-93.776629,310,410,18436,74758154,,4112,1,1,LTE,,,18436,,,
41.599834,-93.777176,310,120,48127,127947520,,1000,1,1,LTE,,,48127,,,
41.599869,-93.772018,310,120,15621,127947268,,1000,1,1,LTE,,,15621,,,
41.600168,-93.775157,310,260,48127,29508740,,4013,1,1,LTE,,,48127,,,
41.600199,-93.770173,311,480,48138,125137696,,1108,1,1,LTE,,,48138,,,
41.600334,-93.774505,310,120,48127,127937285,,1768,1,1,LTE,,,48127,,,
41.600418,-93.767796,310,120,15622,127947265,,1000,1,1,LTE,,,15622,,,
41.600418,-93.767281,310,120,15621,127947265,,1000,1,1,LTE,,,15621,,,
41.60041809082,-93.775863647461,311,480,48138,48287512,,1000,1,1,LTE,,,48138,,,
41.600574,-93.772385,311,580,1042,48655367,,1000,1,1,LTE,,,1042,,,
41.600574,-93.772385,311,580,1042,48642311,,1000,1,1,LTE,,,1042,,,
41.600574,-93.772385,311,580,1041,48686089,,1000,1,1,LTE,,,1041,,,
41.601027,-93.773422,312,530,48127,127937294,,1000,1,1,LTE,,,48127,,,
41.60146,-93.777077,310,410,18436,75934243,,1000,1,1,LTE,,,18436,,,
41.601666,-93.774831,310,410,29905,89542416,,1737,1,1,UMTS,,,,,,
41.601776,-93.776672,311,480,,48140033,,1000,1,1,LTE,,,,,,
41.60178,-93.77502,311,220,1,11106,,1000,1,1,CDMA,,,,220,1,11106
41.601791381836,-93.775863647461,310,260,11197,1279001,,1000,1,1,UMTS,,,,,,
41.601791381836,-93.77311706543,310,4,1,303,,1000,1,1,LTE,,,1,,,
41.601791381836,-93.77311706543,311,220,1037,48655366,,1000,1,1,LTE,,,1037,,,
41.601791381836,-93.767623901367,310,410,29904,20247,,1000,1,1,CDMA,,,,410,29904,20247
41.602478,-93.777237,310,120,15624,129276423,,1000,1,1,LTE,,,15624,,,
41.602818,-93.775665,311,490,48127,8587531,,1000,1,1,LTE,,,48127,,,
41.602818,-93.775665,311,490,48127,8587917,,1000,1,1,LTE,,,48127,,,
41.602818,-93.775665,311,490,48127,8587583,,1000,1,1,LTE,,,48127,,,
41.602959,-93.777728,310,410,18436,74782357,,1717,1,1,LTE,,,18436,,,
41.603164672852,-93.771743774414,310,150,48,303,,1000,1,1,CDMA,,,,150,48,303
41.603165,-93.768447,310,410,18021,10242,,1000,1,1,GSM,,,,,,
41.603228,-93.775469,312,530,48127,127947264,,1000,1,1,LTE,,,48127,,,
41.60339,-93.775412,312,530,48127,127947266,,1000,1,1,LTE,,,48127,,,
41.603468,-93.771085,310,120,15621,129277955,,6953,1,1,LTE,,,15621,,,
41.604132,-93.776009,311,480,1,857,,1000,1,1,LTE,,,1,,,
41.604382,-93.777082,311,490,48127,28232334,,1000,1,1,LTE,,,48127,,,
41.604538,-93.766937,310,410,29904,89476880,,1000,1,1,UMTS,,,,,,
41.6046,-93.776317,310,410,18436,74648524,,2483,1,1,LTE,,,18436,,,
41.604648,-93.766911,311,480,48138,125082400,,4416,1,1,LTE,,,48138,,,
41.604888,-93.777139,310,410,18436,74758168,,3546,1,1,LTE,,,18436,,,
41.604996,-93.777695,310,260,11104,13023,,1000,1,1,GSM,,,,,,
41.605087,-93.77504,311,580,1037,48655363,,1000,1,1,LTE,,,1037,,,
41.605225,-93.773575,311,580,1037,48655366,,1000,1,1,LTE,,,1037,,,
41.605464,-93.777748,310,120,15621,129276420,,1534,1,1,LTE,,,15621,,,
41.605504,-93.776998,311,480,48138,48150042,,1019,1,1,LTE,,,48138,,,
41.605533,-93.774314,311,580,1,11106,,4792,1,1,LTE,,,1,,,
41.605581,-93.778107,310,410,18436,74758295,,8769,1,1,LTE,,,18436,,,
41.605911,-93.777237,310,260,11197,20448275,,1000,1,1,UMTS,,,,,,
41.605911,-93.775406,310,120,15624,129276420,,1000,1,1,LTE,,,15624,,,
41.605911,-93.771057,311,580,1037,48661253,,1000,1,1,LTE,,,1037,,,
41.605911254883,-93.770370483398,310,410,29905,20243,,1000,1,1,CDMA,,,,410,29905,20243
41.606198,-93.777229,311,580,1042,48687362,,7668,1,1,LTE,,,1042,,,
41.606459,-93.772921,311,480,48138,48140033,,3815,1,1,LTE,,,48138,,,
41.606532,-93.773914,310,120,15621,129276417,,2709,1,1,LTE,,,15621,,,
41.606598,-93.774374,310,120,15621,127947279,,1000,1,1,LTE,,,15621,,,
41.606598,-93.766937,310,150,1,857,,1000,1,1,CDMA,,,,150,1,857
41.6068,-93.778,311,480,48138,125097484,,8276,1,1,LTE,,,48138,,,
41.606807,-93.775744,311,480,48138,201750040,,1000,1,1,LTE,,,48138,,,
41.606827,-93.772202,310,150,1,303,,1000,1,1,CDMA,,,,150,1,303
41.606855,-93.777054,310,260,48005,31364621,,1563,1,1,LTE,,,48005,,,
41.606986,-93.778067,311,480,48138,125082124,,3453,1,1,LTE,,,48138,,,
41.607284545898,-93.777236938477,310,260,11197,20447594,,1000,1,1,UMTS,,,,,,
41.607284545898,-93.775863647461,311,150,1,303,,1000,1,1,LTE,,,1,,,
41.607284545898,-93.774490356445,310,410,29905,89542419,,1000,1,1,UMTS,,,,,,
41.607285,-93.77449,310,120,15624,129276417,,1000,1,1,LTE,,,15624,,,
41.607464,-93.777086,311,490,48127,28291469,,1131,1,1,LTE,,,48127,,,
41.607583,-93.775864,311,150,1,857,,1000,1,1,LTE,,,1,,,
41.607685,-93.771744,311,580,1042,48655363,,1000,1,1,LTE,,,1042,,,
41.607808,-93.774135,310,260,48127,8591107,,5059,1,1,LTE,,,48127,,,
41.607971,-93.771286,310,410,18021,10243,,1161,1,1,GSM,,,,,,
41.608238,-93.777779,310,260,11190,40116108,,1000,1,1,UMTS,,,,,,
