lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.310471,-81.05973,310,260,32534,42773763,,1250,1,1,LTE,,,32534,,,
32.310863,-81.059753,312,530,32530,12646427,,1000,1,1,LTE,,,32530,,,
32.311477661133,-81.05094909668,310,410,15972,59921,,1000,1,1,GSM,,,,,,
32.311676,-81.055779,310,260,32534,42773783,,1000,1,1,LTE,,,32534,,,
32.311933,-81.060202,310,410,11267,190639041,,1000,1,1,LTE,,,11267,,,
32.312038,-81.054413,311,480,119,2057,,1000,1,1,CDMA,,,,480,119,2057
32.312057,-81.054367,311,480,119,2018,,1000,1,1,CDMA,,,,480,119,2018
32.312850952148,-81.055068969727,311,480,40704,44644865,,1000,1,1,LTE,,,40704,,,
32.313759,-81.058044,311,480,40704,40728096,,1000,1,1,LTE,,,40704,,,
32.314224243164,-81.059188842773,310,,1538,12599579,,1000,1,1,LTE,,,1538,,,
32.317265,-81.055676,310,410,11267,189494289,,1000,1,1,LTE,,,11267,,,
