lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.63707,-105.030816,311,490,16909,26567682,,1000,1,1,LTE,,,16909,,,
39.637463,-105.030037,312,250,41236,138455058,,1000,1,1,LTE,,,41236,,,
39.637463,-105.030037,312,250,41236,5592067,,1000,1,1,LTE,,,41236,,,
39.637786,-105.032237,310,120,16909,139084851,,1000,1,1,LTE,,,16909,,,
39.637888,-105.038769,310,120,16909,138563601,,1000,1,1,LTE,,,16909,,,
39.637902,-105.032314,310,120,16909,139084859,,1000,1,1,LTE,,,16909,,,
39.637985229492,-105.03959655762,310,260,11097,86672924,,1000,1,1,UMTS,,,,,,
39.637985229492,-105.03547668457,310,260,51745,256215778,,1000,1,1,LTE,,,51745,,,
39.638016,-105.037399,311,480,3587,3696416,,1262,1,1,LTE,,,3587,,,
39.638058,-105.035515,311,480,1,6378,,1000,1,1,CDMA,,,,480,1,6378
39.638138,-105.037613,310,120,16909,138533378,,1000,1,1,LTE,,,16909,,,
39.638176,-105.039528,310,260,41236,5605695,,1000,1,1,LTE,,,41236,,,
39.638734,-105.03685,310,260,41231,5605734,,1000,1,1,LTE,,,41231,,,
39.639358520508,-105.03135681152,310,260,11091,27690529,,1000,1,1,UMTS,,,,,,
39.639359,-105.028853,311,480,3587,3788054,,1079,1,1,LTE,,,3587,,,
39.640731811523,-105.03684997559,310,260,41219,5605734,,1000,1,1,LTE,,,41219,,,
39.640731811523,-105.03273010254,310,260,11091,27690524,,1000,1,1,UMTS,,,,,,
39.641186,-105.031761,310,260,65534,5592065,,1000,1,1,UMTS,,,,,,
39.642105102539,-105.03959655762,310,260,41219,5605634,,1000,1,1,UMTS,,,,,,
39.642563,-105.039139,310,120,16907,138563601,,1000,1,1,LTE,,,16907,,,
39.643478393555,-105.03410339355,310,260,11091,27710099,,1000,1,1,UMTS,,,,,,
39.643753,-105.03067,310,120,16907,138563586,,1000,1,1,LTE,,,16907,,,
39.64544,-105.032338,310,260,41224,8883212,,1000,1,1,LTE,,,41224,,,
