lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.96843,-92.453842,310,120,19733,161499664,,1000,1,1,LTE,,,19733,,,
43.968551,-92.454341,311,480,49162,49208608,,5845,1,1,LTE,,,49162,,,
43.96922,-92.456943,310,120,19727,161544707,,1462,1,1,LTE,,,19727,,,
43.972091674805,-92.457504272461,310,4155,58,1891,,1000,1,1,CDMA,,,,4155,58,1891
43.972244,-92.45575,310,120,19727,161544704,,1000,1,1,LTE,,,19727,,,
43.97346496582,-92.461624145508,310,120,19733,161544707,,1000,1,1,LTE,,,19733,,,
43.97346496582,-92.460250854492,310,4155,58,11681,,1000,1,1,CDMA,,,,4155,58,11681
43.973465,-92.455856,310,260,29897,20505241,,1000,1,1,UMTS,,,,,,
43.973602,-92.456955,310,120,19727,161544719,,1000,1,1,LTE,,,19727,,,
43.974214,-92.458129,310,120,19733,161500689,,1000,1,1,LTE,,,19733,,,
43.974646,-92.453363,310,260,43652,30887425,,1000,1,1,LTE,,,43652,,,
43.974685,-92.460096,311,480,49162,49208579,,3641,1,1,LTE,,,49162,,,
43.974872,-92.455304,310,260,11142400,4312395799,,1000,1,1,NR,,,11142400,,,
43.975334,-92.456139,310,410,17942,82845899,,1000,1,1,LTE,,,17942,,,
43.976142,-92.451441,310,410,32513,91652303,,7387,1,1,UMTS,,,,,,
43.976359,-92.453744,310,260,43525,28838276,,4419,1,1,LTE,,,43525,,,
