lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
31.841401,-102.373827,312,250,31862,119552009,,2158,1,1,LTE,,,31862,,,
31.841978,-102.377659,310,410,27659,203288088,,4287,1,1,LTE,,,27659,,,
31.842002,-102.368713,310,410,27659,203614722,,1000,1,1,UMTS,,,,,,
31.842709,-102.369288,311,480,35587,35831809,,1000,1,1,LTE,,,35587,,,
31.843374,-102.37807,312,250,31862,3052301,,1779,1,1,LTE,,,31862,,,
31.843489,-102.371804,311,480,35587,35831820,,1644,1,1,LTE,,,35587,,,
31.844403,-102.370232,310,410,28912,108974539,,1000,1,1,UMTS,,,,,,
31.84455871582,-102.37403869629,310,410,28908,108674975,,1000,1,1,UMTS,,,,,,
31.845472,-102.370613,310,260,31748,44216331,,1000,1,1,LTE,,,31748,,,
31.845765,-102.377789,310,410,27659,202683409,,8573,1,1,LTE,,,27659,,,
31.84593,-102.375008,312,530,311,28459,,1000,1,1,LTE,,,311,,,
31.845932006836,-102.37403869629,310,410,28908,108676011,,1000,1,1,LTE,,,28908,,,
31.845932006836,-102.37403869629,310,410,28908,108674972,,1000,1,1,UMTS,,,,,,
31.846073,-102.377922,310,260,41894,105344013,,1000,1,1,UMTS,,,,,,
31.846577,-102.37381,311,870,311,28395,,1000,1,1,CDMA,,,,870,311,28395
31.846821,-102.371033,312,530,311,28457,,1000,1,1,LTE,,,311,,,
31.846853,-102.37772,310,120,14600,119552515,,1762,1,1,LTE,,,14600,,,
31.846864,-102.375408,312,250,31862,120883249,,2641,1,1,LTE,,,31862,,,
31.846965,-102.377147,310,410,27659,202683395,,2979,1,1,LTE,,,27659,,,
31.847153,-102.374496,310,120,14600,119552009,,1254,1,1,LTE,,,14600,,,
31.847183,-102.377937,310,410,27659,203076368,,1000,1,1,LTE,,,27659,,,
31.847305297852,-102.37678527832,311,480,35587,112580384,,1000,1,1,LTE,,,35587,,,
31.847333,-102.372183,310,260,31862,119552009,,2434,1,1,LTE,,,31862,,,
31.847538,-102.369194,312,250,31862,3052350,,1000,1,1,LTE,,,31862,,,
31.847614,-102.372452,310,410,27659,203284482,,1000,1,1,LTE,,,27659,,,
31.847886,-102.372229,310,410,27659,202576790,,8910,1,1,LTE,,,27659,,,
31.848011,-102.369412,310,260,31862,39919629,,1000,1,1,LTE,,,31862,,,
31.848452,-102.375641,311,480,35587,35733782,,1000,1,1,LTE,,,35587,,,
31.848452,-102.375641,311,480,35587,35733778,,1000,1,1,LTE,,,35587,,,
31.848496,-102.3778,311,480,35587,35832088,,1000,1,1,LTE,,,35587,,,
31.848678588867,-102.36991882324,310,410,27655,202683543,,1000,1,1,LTE,,,27655,,,
31.84881,-102.374499,311,480,35587,35780384,,5265,1,1,LTE,,,35587,,,
31.848914,-102.378133,311,480,35587,35780386,,2149,1,1,LTE,,,35587,,,
31.848919,-102.374082,311,480,35587,35775500,,4974,1,1,LTE,,,35587,,,
31.848933,-102.374061,310,410,28912,108938155,,1937,1,1,UMTS,,,,,,
31.849547,-102.372288,312,530,311,12457,,1000,1,1,LTE,,,311,,,
31.849648,-102.378067,312,250,31862,3052559,,1000,1,1,LTE,,,31862,,,
