lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.5542,-104.832626,310,410,38416,97536663,,1000,1,1,LTE,,,38416,,,
39.554214477539,-104.83222961426,310,410,38401,97536529,,1000,1,1,LTE,,,38401,,,
39.554406,-104.831511,311,480,3584,3745283,,7409,1,1,LTE,,,3584,,,
39.554413,-104.827346,310,410,38416,97536529,,3204,1,1,LTE,,,38416,,,
39.554419,-104.822545,310,410,38990,41174391,,4100,1,1,UMTS,,,,,,
39.554501,-104.830177,312,250,41222,25754431,,1000,1,1,LTE,,,41222,,,
39.5546,-104.831,311,480,3584,80545312,,1513,1,1,LTE,,,3584,,,
39.554668,-104.832488,310,260,41345,98488589,,1000,1,1,LTE,,,41345,,,
39.55492,-104.824028,310,410,38416,97639946,,8526,1,1,LTE,,,38416,,,
39.555245,-104.82605,310,260,11094,73586623,,1000,1,1,UMTS,,,,,,
39.555587768555,-104.82536315918,310,120,16906,138485249,,1000,1,1,LTE,,,16906,,,
39.555672,-104.827606,310,260,41345,98488579,,1000,1,1,LTE,,,41345,,,
39.5557,-104.8243,311,480,3584,80545314,,1000,1,1,LTE,,,3584,,,
39.555862,-104.832687,310,260,41216,5710593,,1000,1,1,LTE,,,41216,,,
39.555923,-104.826424,311,870,235,44258,,1000,1,1,LTE,,,235,,,
39.555935,-104.824341,312,250,41222,138485261,,1000,1,1,LTE,,,41222,,,
39.555969,-104.823761,310,260,41222,138485257,,1000,1,1,LTE,,,41222,,,
39.556002,-104.825705,310,260,41345,98488588,,1000,1,1,LTE,,,41345,,,
39.556061,-104.823318,310,260,41345,98488597,,1000,1,1,LTE,,,41345,,,
39.556156,-104.825233,310,260,41345,98488578,,1000,1,1,LTE,,,41345,,,
39.556156,-104.821892,312,250,41222,138485248,,1000,1,1,LTE,,,41222,,,
39.556164,-104.823581,312,250,41222,138485257,,1000,1,1,LTE,,,41222,,,
39.556275,-104.83017,310,260,41216,5710613,,1000,1,1,LTE,,,41216,,,
39.558334350586,-104.83222961426,310,260,11099,8047243,,1000,1,1,UMTS,,,,,,
39.558334350586,-104.82810974121,310,410,38985,41171631,,1000,1,1,UMTS,,,,,,
39.558334350586,-104.82810974121,310,410,38985,97611537,,1000,1,1,UMTS,,,,,,
39.558334350586,-104.82810974121,310,410,38985,41171629,,1000,1,1,UMTS,,,,,,
39.558875,-104.826337,310,410,38985,41166629,,1000,1,1,UMTS,,,,,,
39.559707641602,-104.82124328613,310,410,38985,97536527,,1000,1,1,UMTS,,,,,,
39.55991,-104.821686,311,480,3584,3745296,,1000,1,1,LTE,,,3584,,,
39.560557,-104.825755,310,410,38416,97536527,,1000,1,1,LTE,,,38416,,,
39.561080932617,-104.82948303223,310,58,48,33,,1000,1,1,CDMA,,,,58,48,33
39.5616,-104.824564,310,260,41222,25754637,,16038,1,1,LTE,,,41222,,,
39.562492,-104.829452,310,260,41222,9933079,,7066,1,1,LTE,,,41222,,,
39.562598,-104.831634,310,260,41222,25754371,,10751,1,1,LTE,,,41222,,,
