lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.126022,-115.141266,310,120,6,199240211,,1000,1,1,LTE,,,6,,,
36.126094,-115.137932,310,260,13128,226321293,,1000,1,1,LTE,,,13128,,,
36.126259,-115.136475,311,40,49,2322,,1000,1,1,LTE,,,49,,,
36.126263,-115.1371,310,260,13115,24522814,,1000,1,1,LTE,,,13115,,,
36.126263,-115.13437,310,120,24321,200571449,,1000,1,1,LTE,,,24321,,,
36.126318,-115.143311,310,260,13115,48925581,,1000,1,1,LTE,,,13115,,,
36.126327,-115.141145,310,120,6,200565051,,1000,1,1,LTE,,,6,,,
36.126396,-115.140838,310,260,13132,24522764,,1000,1,1,LTE,,,13132,,,
36.12648,-115.137863,310,120,24321,199232283,,1000,1,1,LTE,,,24321,,,
36.12648,-115.137234,310,120,24321,199232259,,1000,1,1,LTE,,,24321,,,
36.126480102539,-115.14289855957,310,40,49,2322,,1000,1,1,CDMA,,,,40,49,2322
36.126480102539,-115.14152526855,310,410,36990,33948294,,1000,1,1,UMTS,,,,,,
36.126480102539,-115.13603210449,310,410,36982,34043486,,1000,1,1,UMTS,,,,,,
36.126524,-115.140975,310,260,13132,24522864,,1000,1,1,LTE,,,13132,,,
36.126542,-115.139157,310,260,13128,226584331,,1000,1,1,LTE,,,13128,,,
36.126596,-115.141069,310,260,13103,24522754,,1000,1,1,LTE,,,13103,,,
36.126622,-115.141576,310,120,6,200565041,,1000,1,1,LTE,,,6,,,
36.126652,-115.137245,310,260,13115,20483646,,1000,1,1,LTE,,,13115,,,
36.126683,-115.137166,310,260,13103,20515848,,1000,1,1,LTE,,,13103,,,
36.126765,-115.141347,310,120,6,199233817,,1000,1,1,LTE,,,6,,,
36.12678,-115.139325,310,120,6,199240219,,1000,1,1,LTE,,,6,,,
36.126808,-115.132682,311,490,6,4408,,1179,1,1,CDMA,,,,490,6,4408
36.126845,-115.135495,310,260,13115,48925582,,1000,1,1,LTE,,,13115,,,
36.126875,-115.14146,310,120,6,199233811,,1000,1,1,LTE,,,6,,,
36.126919,-115.143379,310,410,36982,34344795,,1000,1,1,UMTS,,,,,,
36.126919,-115.143379,310,410,36984,34344796,,1000,1,1,UMTS,,,,,,
36.126942,-115.136056,310,260,13103,20515842,,2912,1,1,LTE,,,13103,,,
36.127013,-115.141177,310,120,6,199233809,,1000,1,1,LTE,,,6,,,
36.127061,-115.142377,310,120,6,200565043,,1058,1,1,LTE,,,6,,,
36.127126,-115.136983,310,410,33808,92262268,,1209,1,1,LTE,,,33808,,,
36.127167,-115.141525,310,260,24596,203304907,,1000,1,1,UMTS,,,,,,
36.127167,-115.139465,310,260,24594,203345391,,1000,1,1,UMTS,,,,,,
36.127167,-115.137405,310,120,24321,200563507,,1000,1,1,LTE,,,24321,,,
36.12719,-115.138718,310,120,6,200563522,,1000,1,1,LTE,,,6,,,
36.127217,-115.13805,310,260,13128,226321283,,1000,1,1,LTE,,,13128,,,
36.127239,-115.140937,310,260,13128,20515849,,1000,1,1,LTE,,,13128,,,
36.127319,-115.134355,310,260,13115,20515842,,8152,1,1,LTE,,,13115,,,
36.12743,-115.139499,310,410,33808,92176399,,2057,1,1,LTE,,,33808,,,
36.127449,-115.137375,310,120,6,200563507,,1000,1,1,LTE,,,6,,,
36.127453,-115.142075,310,120,6,199233819,,1000,1,1,LTE,,,6,,,
36.127525,-115.139805,310,260,13128,226584321,,1000,1,1,LTE,,,13128,,,
36.127535,-115.139031,310,120,6,884,,1000,1,1,LTE,,,6,,,
36.127541,-115.137405,310,120,24321,200563515,,1000,1,1,LTE,,,24321,,,
36.127571,-115.138621,310,260,13128,226584431,,1000,1,1,LTE,,,13128,,,
36.127624,-115.141034,310,260,13132,24522754,,1000,1,1,LTE,,,13132,,,
36.127756,-115.141323,310,260,24596,203355385,,1000,1,1,UMTS,,,,,,
36.127798,-115.135485,311,480,5223,5178646,,1000,1,1,LTE,,,5223,,,
36.127818,-115.140968,310,260,13103,20515843,,15641,1,1,LTE,,,13103,,,
36.127853,-115.137749,310,120,24321,199232275,,1000,1,1,LTE,,,24321,,,
36.127853393555,-115.14015197754,310,260,24596,203355388,,1000,1,1,UMTS,,,,,,
36.127853393555,-115.13877868652,310,260,24597,98497785,,1000,1,1,UMTS,,,,,,
36.127853393555,-115.13603210449,310,40,49,3667,,1000,1,1,CDMA,,,,40,49,3667
36.127853393555,-115.13465881348,310,410,36990,641,,1000,1,1,CDMA,,,,410,36990,641
36.128025,-115.140116,310,260,13128,20515953,,1000,1,1,LTE,,,13128,,,
36.12803,-115.133733,310,260,13115,20513087,,2849,1,1,LTE,,,13115,,,
