lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.468918,-117.302743,310,260,26270,262298225,,4304,1,1,UMTS,,,,,,
34.469139,-117.295688,311,480,11527,11655958,,9030,1,1,LTE,,,11527,,,
34.469751,-117.300202,310,260,26257,186276471,,1739,1,1,UMTS,,,,,,
34.470013,-117.294997,311,480,11527,11655938,,1615,1,1,LTE,,,11527,,,
34.470406,-117.29351,310,260,14101,89627790,,1000,1,1,LTE,,,14101,,,
34.470735,-117.295722,310,410,34606,193068304,,1262,1,1,LTE,,,34606,,,
34.470787,-117.296384,310,410,5262,1546,,4517,1,1,CDMA,,,,410,5262,1546
34.470795,-117.302933,310,260,14181,46729533,,1000,1,1,LTE,,,14181,,,
34.470894,-117.293724,311,480,11527,11643406,,1000,1,1,LTE,,,11527,,,
34.470894,-117.293724,311,480,11527,11754254,,1000,1,1,LTE,,,11527,,,
34.470894,-117.293724,311,480,11527,11754274,,1000,1,1,LTE,,,11527,,,
34.470894,-117.293724,311,480,11527,11592728,,1000,1,1,LTE,,,11527,,,
34.470904,-117.300237,310,410,5262,13357,,6412,1,1,CDMA,,,,410,5262,13357
34.471072,-117.300411,310,410,34606,194340376,,2297,1,1,LTE,,,34606,,,
34.471231,-117.293834,310,410,5262,1542,,1545,1,1,CDMA,,,,410,5262,1542
34.471531,-117.296822,310,120,14181,207227714,,1000,1,1,LTE,,,14181,,,
34.471819,-117.297584,310,410,34606,193035281,,7233,1,1,LTE,,,34606,,,
34.472234,-117.293229,310,410,34606,193035274,,8178,1,1,LTE,,,34606,,,
34.472434,-117.294506,311,480,11527,11655965,,1000,1,1,LTE,,,11527,,,
34.47254,-117.300493,311,480,11527,11524876,,5429,1,1,LTE,,,11527,,,
34.473312,-117.299789,311,2,5,305,,1000,1,1,LTE,,,5,,,
34.473673,-117.303337,310,,5,605,,1000,1,1,GSM,,,,,,
34.473675,-117.303337,310,,5,4937,,1000,1,1,GSM,,,,,,
34.476135,-117.302795,311,490,5,4937,,8374,1,1,CDMA,,,,490,5,4937
