lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.996606,-115.119553,310,120,24326,199283714,,1000,1,1,LTE,,,24326,,,
35.996811,-115.124397,310,260,13201,47774526,,1000,1,1,LTE,,,13201,,,
35.996811,-115.124397,310,260,13201,47774469,,1000,1,1,LTE,,,13201,,,
35.996811,-115.124397,310,260,13201,50834830,,1000,1,1,LTE,,,13201,,,
35.996838,-115.126072,310,120,13105,200614978,,1000,1,1,LTE,,,13105,,,
35.99688,-115.12545,311,870,6,8778,,1000,1,1,LTE,,,6,,,
35.996925,-115.124893,310,260,13105,50834820,,1000,1,1,LTE,,,13105,,,
35.996929,-115.123566,310,260,13201,20516104,,1000,1,1,LTE,,,13201,,,
35.99696,-115.124557,311,480,5222,82034968,,1000,1,1,LTE,,,5222,,,
35.99696,-115.124557,311,480,5222,81972750,,1000,1,1,LTE,,,5222,,,
35.99696,-115.124557,311,480,5222,5181988,,1000,1,1,LTE,,,5222,,,
35.996975,-115.121521,311,490,13105,20540680,,1000,1,1,LTE,,,13105,,,
35.996981,-115.126034,310,120,13105,200614962,,1000,1,1,LTE,,,13105,,,
35.99699,-115.124741,310,260,13105,50834830,,1000,1,1,LTE,,,13105,,,
35.997075,-115.121007,310,410,33800,92196880,,2812,1,1,LTE,,,33800,,,
35.997078,-115.123375,310,260,13201,20484871,,1000,1,1,LTE,,,13201,,,
35.997094,-115.125881,310,120,13105,200614970,,1000,1,1,LTE,,,13105,,,
35.997105,-115.125038,310,120,13105,199283738,,1000,1,1,LTE,,,13105,,,
35.997112,-115.12207,310,120,6,833,,1072,1,1,LTE,,,6,,,
35.997139,-115.125923,310,120,13105,199283730,,1000,1,1,LTE,,,13105,,,
35.997154,-115.125916,310,120,13105,200616515,,1000,1,1,LTE,,,13105,,,
35.997215,-115.122833,310,260,13201,48414863,,1000,1,1,LTE,,,13201,,,
35.997234,-115.124863,310,260,13201,20516098,,1000,1,1,LTE,,,13201,,,
35.99739074707,-115.12092590332,310,410,36992,31442,,1000,1,1,CDMA,,,,410,36992,31442
35.997429,-115.11953,312,530,13105,200614962,,1000,1,1,LTE,,,13105,,,
35.997578,-115.122452,310,260,13201,20514057,,1000,1,1,LTE,,,13201,,,
35.998352,-115.123718,310,120,24326,200614970,,1000,1,1,LTE,,,24326,,,
35.998711,-115.125378,311,480,5222,5234947,,1000,1,1,LTE,,,5222,,,
35.998741,-115.120865,310,410,33800,92290744,,1000,1,1,LTE,,,33800,,,
35.998749,-115.116943,310,260,13201,48416909,,1000,1,1,LTE,,,13201,,,
35.998764038086,-115.12641906738,310,410,36992,5109,,1000,1,1,CDMA,,,,410,36992,5109
35.998764038086,-115.12641906738,310,410,27389,12497,,1000,1,1,CDMA,,,,410,27389,12497
35.998764038086,-115.1195526123,310,260,24597,98497827,,1000,1,1,UMTS,,,,,,
35.998764038086,-115.1195526123,310,40,49,4914,,1000,1,1,LTE,,,49,,,
35.998766,-115.118178,310,260,24595,242675747,,1789,1,1,UMTS,,,,,,
35.998892,-115.123314,311,480,5222,5234978,,1000,1,1,LTE,,,5222,,,
35.998905,-115.12442,311,480,49,6273,,1000,1,1,LTE,,,49,,,
35.998913,-115.124542,311,480,49,689,,1000,1,1,CDMA,,,,480,49,689
35.998943,-115.115593,310,410,33800,92197047,,1000,1,1,LTE,,,33800,,,
35.998976,-115.120304,310,260,13201,50834820,,1000,1,1,LTE,,,13201,,,
35.998981,-115.124496,311,480,49,4849,,1000,1,1,CDMA,,,,480,49,4849
35.998993,-115.119324,310,410,36992,33818024,,1000,1,1,UMTS,,,,,,
35.999104,-115.124481,311,480,5222,5197602,,1000,1,1,LTE,,,5222,,,
35.999161,-115.12218,310,410,33800,92196873,,6584,1,1,LTE,,,33800,,,
35.999214,-115.119827,310,120,13105,200671041,,1000,1,1,LTE,,,13105,,,
35.999237,-115.124882,311,870,6,4777,,1000,1,1,LTE,,,6,,,
35.999266,-115.126041,311,490,13201,227341059,,3126,1,1,LTE,,,13201,,,
35.999383,-115.123945,310,410,33800,92290577,,3466,1,1,LTE,,,33800,,,
35.999432,-115.120079,310,260,65534,20516098,,1000,1,1,LTE,,,65534,,,
35.999451,-115.120754,310,120,24326,200614962,,1000,1,1,LTE,,,24326,,,
35.999698,-115.125211,311,490,13105,50834830,,1000,1,1,LTE,,,13105,,,
35.999749,-115.122328,310,260,13105,20540675,,15536,1,1,LTE,,,13105,,,
36.000019,-115.120303,310,260,24594,81448611,,1000,1,1,UMTS,,,,,,
36.000028,-115.125068,310,410,36992,33851679,,2219,1,1,UMTS,,,,,,
36.000057,-115.122172,310,260,13105,47774526,,1000,1,1,LTE,,,13105,,,
36.000137,-115.122986,310,4145,6,4777,,1000,1,1,CDMA,,,,4145,6,4777
36.000137,-115.119095,310,260,24594,81447191,,1000,1,1,UMTS,,,,,,
36.000137329102,-115.12367248535,310,260,24594,81458467,,1000,1,1,UMTS,,,,,,
36.000137329102,-115.12229919434,311,480,5222,5181196,,1000,1,1,LTE,,,5222,,,
36.000137329102,-115.1195526123,311,40,49,4914,,1000,1,1,LTE,,,49,,,
