lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
18.430252075195,-66.477584838867,310,260,48813,2431,,1000,1,1,GSM,,,,,,
18.431101,-66.476067,310,260,49297,21325591,,1000,1,1,UMTS,,,,,,
18.431101,-66.476067,310,260,49297,21320772,,1000,1,1,UMTS,,,,,,
18.431301,-66.474953,330,120,1,3267,,1000,1,1,LTE,,,1,,,
18.431428,-66.475768,310,260,15225,6457511958,,1000,1,1,NR,,,15225,,,
18.431587,-66.478867,310,410,16131,131108874,,1000,1,1,LTE,,,16131,,,
18.431625366211,-66.478958129883,330,110,1,6370567,,1000,1,1,LTE,,,1,,,
18.431869,-66.475663,310,260,15225,6457512238,,1000,1,1,NR,,,15225,,,
18.432083,-66.475754,310,260,31022,38596866,,1000,1,1,LTE,,,31022,,,
18.432138,-66.474635,330,110,51016,1498633,,14919,1,1,UMTS,,,,,,
18.432998657227,-66.474838256836,310,410,51997,249408528,,1000,1,1,UMTS,,,,,,
18.432998657227,-66.474838256836,310,260,48998,14747131,,1000,1,1,UMTS,,,,,,
18.432998657227,-66.47346496582,310,410,51997,249388522,,1000,1,1,UMTS,,,,,,
18.433319,-66.47717,310,260,31035,38596867,,1213,1,1,LTE,,,31035,,,
18.433443,-66.475807,310,260,31035,18573070,,1000,1,1,LTE,,,31035,,,
18.433456,-66.476517,310,410,16131,130597066,,1000,1,1,LTE,,,16131,,,
18.433456,-66.475754,310,410,51997,249368528,,1000,1,1,UMTS,,,,,,
18.433549,-66.479782,310,260,31022,19350530,,3934,1,1,LTE,,,31022,,,
18.433867,-66.476495,310,260,15225,6457393176,,1000,1,1,NR,,,15225,,,
18.434229,-66.476067,330,120,1,,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,177,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,179,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,5281,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,1299,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,1714,,1000,1,1,LTE,,,1,,,
18.434229,-66.476067,330,120,1,1715,,1000,1,1,LTE,,,1,,,
18.434371948242,-66.474838256836,330,110,23,321792,,1000,1,1,UMTS,,,,,,
18.434371948242,-66.474838256836,310,120,12550,102813441,,1000,1,1,LTE,,,12550,,,
18.434372,-66.479645,310,260,31035,19384321,,1000,1,1,LTE,,,31035,,,
18.434372,-66.474838,310,410,51997,249368525,,1000,1,1,UMTS,,,,,,
18.43447,-66.47316,310,260,31035,19384323,,4029,1,1,LTE,,,31035,,,
18.434764,-66.47425,310,410,16131,130663574,,1000,1,1,LTE,,,16131,,,
18.435194,-66.474042,330,110,51016,1457367,,1000,1,1,UMTS,,,,,,
18.435394,-66.471401,330,110,51016,1457364,,1025,1,1,UMTS,,,,,,
18.43558,-66.473026,310,410,16131,130663433,,1000,1,1,LTE,,,16131,,,
18.435831,-66.478348,330,110,1,5666567,,1000,1,1,LTE,,,1,,,
18.435899,-66.476136,310,260,31022,18573059,,9629,1,1,LTE,,,31022,,,
18.437,-66.478936,330,110,1,6370570,,1641,1,1,LTE,,,1,,,
18.437393,-66.471268,330,110,1,354306,,1000,1,1,LTE,,,1,,,
