lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.013859,-96.748413,310,410,27201,133421336,,1000,1,1,LTE,,,27201,,,
33.014387,-96.744544,310,120,311,2763,,5733,1,1,LTE,,,311,,,
33.015861,-96.749288,310,260,31891,2569485,,4993,1,1,LTE,,,31891,,,
33.015975952148,-96.747665405273,310,410,52112,5611,,1000,1,1,GSM,,,,,,
33.015975952148,-96.747665405273,310,410,52112,10171,,1000,1,1,GSM,,,,,,
33.015975952148,-96.747665405273,310,410,52112,1053,,1000,1,1,GSM,,,,,,
33.015975952148,-96.747665405273,310,410,52112,5613,,1000,1,1,GSM,,,,,,
33.015975952148,-96.746292114258,310,410,52662,6606733,,1000,1,1,UMTS,,,,,,
33.016739,-96.752319,310,260,31811,15785987,,1000,1,1,LTE,,,31811,,,
33.017349243164,-96.75178527832,310,260,45991,124996150,,1000,1,1,UMTS,,,,,,
33.017349243164,-96.750411987305,310,260,45991,18993,,1000,1,1,CDMA,,,,260,45991,18993
33.017349243164,-96.750411987305,311,480,34049,33607683,,1000,1,1,LTE,,,34049,,,
33.018024,-96.749413,310,260,31891,2569605,,1000,1,1,LTE,,,31891,,,
33.0186,-96.743796,310,260,10191,124989925,,3867,1,1,UMTS,,,,,,
33.01872253418,-96.753158569336,310,260,10199,7021350,,1000,1,1,UMTS,,,,,,
33.01872253418,-96.750411987305,310,260,10199,7021345,,1000,1,1,UMTS,,,,,,
33.01872253418,-96.749038696289,310,260,10193,111888945,,1000,1,1,UMTS,,,,,,
33.01872253418,-96.749038696289,310,260,10193,111882604,,1000,1,1,UMTS,,,,,,
33.01872253418,-96.747665405273,311,870,7939,65077507,,1000,1,1,LTE,,,7939,,,
33.01872253418,-96.747665405273,310,260,10191,124996145,,1000,1,1,UMTS,,,,,,
33.018723,-96.752366,311,480,33545,33607683,,1000,1,1,LTE,,,33545,,,
33.018848,-96.749451,311,870,311,2810,,1000,1,1,LTE,,,311,,,
33.018848,-96.749451,311,870,311,2825,,1000,1,1,LTE,,,311,,,
33.018848,-96.749451,311,870,311,2761,,1000,1,1,LTE,,,311,,,
33.019257,-96.744359,310,410,27201,133509378,,1451,1,1,LTE,,,27201,,,
33.01926,-96.74559,311,870,311,2827,,1000,1,1,LTE,,,311,,,
33.019536,-96.752699,310,410,27201,133421058,,4174,1,1,LTE,,,27201,,,
33.019932,-96.751228,310,410,27201,133509399,,1000,1,1,LTE,,,27201,,,
33.020684,-96.747665,310,260,47373,12772,,1000,1,1,GSM,,,,,,
33.020702,-96.743622,310,410,27201,133156099,,1000,1,1,LTE,,,27201,,,
33.021142,-96.747493,310,410,52662,105655797,,1140,1,1,UMTS,,,,,,
33.02137,-96.749596,310,,33545,33607712,,1000,1,1,LTE,,,33545,,,
33.021432,-96.7475,310,410,27201,133421065,,1278,1,1,LTE,,,27201,,,
33.021469116211,-96.749038696289,310,410,52906,105262578,,1000,1,1,UMTS,,,,,,
33.021477,-96.749339,310,120,311,2761,,5118,1,1,LTE,,,311,,,
33.021525,-96.748902,310,,33545,33607694,,1000,1,1,LTE,,,33545,,,
33.021576,-96.74883,310,,33545,33607714,,1000,1,1,LTE,,,33545,,,
33.021596,-96.748922,310,410,27201,133509392,,1462,1,1,LTE,,,27201,,,
33.02214,-96.747178,310,,33545,33607692,,1000,1,1,LTE,,,33545,,,
33.022692,-96.747403,310,410,27201,133509385,,3879,1,1,LTE,,,27201,,,
