lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.959159,-74.216526,310,410,2440,208901905,,2968,1,1,LTE,,,2440,,,
39.959335327148,-74.211959838867,310,260,32164,45451,,1000,1,1,GSM,,,,,,
39.959335327148,-74.211959838867,310,260,32164,48642,,1000,1,1,GSM,,,,,,
39.959335327148,-74.211959838867,310,260,32164,47302,,1000,1,1,GSM,,,,,,
39.959549,-74.213683,310,410,2352,208901905,,1000,1,1,LTE,,,2352,,,
39.959549,-74.213683,310,410,2352,208332817,,1000,1,1,LTE,,,2352,,,
39.959549,-74.213683,310,410,2352,208901903,,1000,1,1,LTE,,,2352,,,
39.959793,-74.214432,310,410,3941,169405257,,1000,1,1,UMTS,,,,,,
39.960596,-74.212983,311,480,25608,25691424,,15749,1,1,LTE,,,25608,,,
39.961582,-74.218391,310,410,2352,208334509,,1000,1,1,LTE,,,2352,,,
39.961678,-74.218178,310,410,2352,208964375,,1000,1,1,LTE,,,2352,,,
39.962923,-74.214678,310,260,22802,11780358,,1000,1,1,LTE,,,22802,,,
39.963215,-74.221924,310,410,2352,208964524,,1000,1,1,LTE,,,2352,,,
39.963455200195,-74.214706420898,310,410,3941,169405263,,1000,1,1,UMTS,,,,,,
39.963455200195,-74.214706420898,310,410,3949,169405263,,1000,1,1,UMTS,,,,,,
39.963455200195,-74.214706420898,310,410,3941,169354958,,1000,1,1,UMTS,,,,,,
39.963478,-74.21473,310,410,2440,208901912,,1000,1,1,LTE,,,2440,,,
39.964142,-74.218826,310,410,3944,169208652,,1000,1,1,UMTS,,,,,,
39.964648,-74.221882,310,260,22802,11291138,,5166,1,1,LTE,,,22802,,,
39.964828,-74.221279,310,260,22785,11780358,,1000,1,1,LTE,,,22785,,,
39.964828,-74.220559,310,260,22785,11780355,,1000,1,1,LTE,,,22785,,,
39.964828491211,-74.221572875977,311,480,25605,25611009,,1000,1,1,LTE,,,25605,,,
39.964828491211,-74.221572875977,310,260,22785,11199750,,1000,1,1,LTE,,,22785,,,
39.964828491211,-74.221572875977,310,260,52154,135118339,,1000,1,1,UMTS,,,,,,
39.964828491211,-74.220199584961,310,260,52193,39448941,,1000,1,1,UMTS,,,,,,
39.964828491211,-74.218826293945,310,410,3941,60236,,1000,1,1,CDMA,,,,410,3941,60236
39.964828491211,-74.211959838867,311,480,25609,25632771,,1000,1,1,LTE,,,25609,,,
39.965559,-74.215949,310,260,22802,11780355,,2254,1,1,LTE,,,22802,,,
39.965652,-74.221298,310,260,52193,39436198,,1000,1,1,UMTS,,,,,,
39.965661,-74.217911,310,260,52193,39435779,,1000,1,1,UMTS,,,,,,
39.966122,-74.218964,310,260,22802,11291141,,1000,1,1,LTE,,,22802,,,
39.966201782227,-74.211959838867,311,480,25605,25691424,,1000,1,1,LTE,,,25605,,,
39.966545,-74.214363,310,260,52106,48643,,1000,1,1,GSM,,,,,,
