lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.726133,-117.828611,310,260,12660,45834893,,5548,1,1,LTE,,,12660,,,
33.726263,-117.827799,310,410,34623,141656854,,7945,1,1,LTE,,,34623,,,
33.726368,-117.826515,311,480,12039,12119299,,1000,1,1,LTE,,,12039,,,
33.726654,-117.833176,310,410,55571,57089402,,1000,1,1,UMTS,,,,,,
33.726817,-117.832198,311,480,12039,88896536,,4403,1,1,LTE,,,12039,,,
33.726999,-117.825623,310,410,55529,54336867,,3351,1,1,UMTS,,,,,,
33.727067,-117.830156,310,260,26282,157445681,,2735,1,1,UMTS,,,,,,
33.727341,-117.825377,310,260,12660,21019906,,1000,1,1,LTE,,,12660,,,
33.727448,-117.826508,311,480,12039,12119328,,1000,1,1,LTE,,,12039,,,
33.7277,-117.832369,311,480,12039,12096526,,3994,1,1,LTE,,,12039,,,
33.727829,-117.831401,310,120,3,8857,,3966,1,1,LTE,,,3,,,
33.728346,-117.832813,311,480,12039,12096524,,2663,1,1,LTE,,,12039,,,
33.728713989258,-117.83317565918,310,2,55,4033,,1000,1,1,CDMA,,,,2,55,4033
33.728713989258,-117.83317565918,310,120,24833,203442178,,1000,1,1,LTE,,,24833,,,
33.728713989258,-117.83317565918,311,490,9659,40123394,,1000,1,1,LTE,,,9659,,,
33.728713989258,-117.82905578613,310,4145,2,723,,1000,1,1,CDMA,,,,4145,2,723
33.728713989258,-117.82356262207,310,260,26271,255731804,,1000,1,1,UMTS,,,,,,
33.728713989258,-117.82356262207,310,260,26265,101066844,,1000,1,1,UMTS,,,,,,
33.728714,-117.831669,311,2,55,4033,,1000,1,1,LTE,,,55,,,
33.729401,-117.829056,310,410,55025,10491,,1053,1,1,CDMA,,,,410,55025,10491
33.729835,-117.83007,311,480,12039,88896526,,4436,1,1,LTE,,,12039,,,
33.729858,-117.831574,310,120,24845,204074035,,1000,1,1,LTE,,,24845,,,
33.730087,-117.832718,311,490,34747,40123394,,1000,1,1,LTE,,,34747,,,
33.730087,-117.823944,310,120,24845,203442194,,1000,1,1,LTE,,,24845,,,
33.730087280273,-117.83317565918,310,260,26265,101066845,,1000,1,1,UMTS,,,,,,
33.730087280273,-117.83317565918,310,120,24834,203475202,,1000,1,1,LTE,,,24834,,,
33.730087280273,-117.83317565918,310,120,34747,204074043,,1000,1,1,LTE,,,34747,,,
33.730087280273,-117.82905578613,310,120,24845,204074297,,1000,1,1,LTE,,,24845,,,
33.730358,-117.82431,310,260,12650,47855109,,1000,1,1,LTE,,,12650,,,
33.730522,-117.832931,310,120,24845,203442178,,1000,1,1,LTE,,,24845,,,
33.731115,-117.828327,310,410,34623,143032343,,4205,1,1,LTE,,,34623,,,
33.731178,-117.829818,310,260,12640,20994563,,6581,1,1,LTE,,,12640,,,
33.73139,-117.831175,310,120,24845,203442186,,1000,1,1,LTE,,,24845,,,
33.731460571289,-117.83317565918,310,410,55529,54362821,,1000,1,1,UMTS,,,,,,
33.731460571289,-117.83317565918,311,870,24834,203442178,,1000,1,1,LTE,,,24834,,,
33.731460571289,-117.83317565918,311,490,24834,204773426,,1000,1,1,LTE,,,24834,,,
33.731460571289,-117.8263092041,311,480,12039,88904992,,1000,1,1,LTE,,,12039,,,
33.731460571289,-117.82356262207,311,480,12032,12099084,,1000,1,1,LTE,,,12032,,,
