lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.489456,-87.524094,310,120,16180,132279313,,1000,1,1,LTE,,,16180,,,
41.489664,-87.519745,310,260,7194,59220319,,3290,1,1,UMTS,,,,,,
41.489868,-87.522975,310,120,16165,132279313,,1000,1,1,LTE,,,16165,,,
41.49055480957,-87.519149780273,310,120,16180,132279301,,1000,1,1,LTE,,,16180,,,
41.490597,-87.521591,310,410,16670,55640344,,1000,1,1,LTE,,,16670,,,
41.491241,-87.52739,310,410,16646,54196503,,1000,1,1,LTE,,,16646,,,
41.492329,-87.524246,311,480,1,5111,,1000,1,1,LTE,,,1,,,
41.492352,-87.524455,310,410,16670,55666070,,2909,1,1,LTE,,,16670,,,
41.492428,-87.521828,310,410,16670,55640365,,1000,1,1,LTE,,,16670,,,
41.492428,-87.521828,310,410,16661,54196523,,1000,1,1,LTE,,,16661,,,
41.493301,-87.52121,311,480,51752,128640780,,1000,1,1,LTE,,,51752,,,
41.493301391602,-87.520523071289,310,260,7194,59204746,,1000,1,1,UMTS,,,,,,
41.493301391602,-87.520523071289,310,4112,2,5427,,1000,1,1,CDMA,,,,4112,2,5427
41.49359,-87.519641,310,260,41475,6206477,,1000,1,1,LTE,,,41475,,,
41.493835,-87.518463,310,120,16165,133610501,,1000,1,1,LTE,,,16165,,,
41.493973,-87.520554,310,260,41475,6206480,,1000,1,1,LTE,,,41475,,,
41.493983,-87.522758,310,410,16670,55640549,,1292,1,1,LTE,,,16670,,,
41.494046,-87.518811,310,410,16670,53797130,,1000,1,1,LTE,,,16670,,,
41.494674682617,-87.52326965332,310,410,16661,55640344,,1000,1,1,LTE,,,16661,,,
41.494675,-87.526016,310,410,21987,4150704,,1000,1,1,UMTS,,,,,,
41.494908,-87.523071,310,260,41475,6218251,,4720,1,1,LTE,,,41475,,,
41.495018,-87.525673,310,410,21989,66278349,,1000,1,1,UMTS,,,,,,
41.495255,-87.52507,310,410,16670,55640344,,1000,1,1,UMTS,,,,,,
41.495332,-87.522825,310,120,16165,132279304,,1158,1,1,LTE,,,16165,,,
41.495361,-87.523956,310,260,7194,59204741,,1000,1,1,UMTS,,,,,,
41.495402,-87.529167,310,410,16646,55640344,,1000,1,1,LTE,,,16646,,,
41.496047973633,-87.526016235352,310,260,7194,59210319,,1000,1,1,UMTS,,,,,,
41.496048,-87.524447,310,410,21987,4150707,,1000,1,1,UMTS,,,,,,
41.496597,-87.521896,310,410,21989,21453,,1000,1,1,CDMA,,,,410,21989,21453
41.496964,-87.522812,310,410,21989,1456,,1000,1,1,CDMA,,,,410,21989,1456
41.497147,-87.528397,310,120,16165,132279298,,1000,1,1,LTE,,,16165,,,
