lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.051968,-94.526497,311,480,,55379726,,1000,1,1,LTE,,,,,,
37.051968,-94.526497,311,480,,55373827,,1000,1,1,LTE,,,,,,
37.052071,-94.525665,311,480,,55380758,,1000,1,1,LTE,,,,,,
37.052071,-94.525665,311,480,,55380738,,1000,1,1,LTE,,,,,,
37.05207824707,-94.525680541992,310,410,34506,15262,,1000,1,1,CDMA,,,,410,34506,15262
37.05207824707,-94.524307250977,310,4139,12,60131,,1000,1,1,CDMA,,,,4139,12,60131
37.052659,-94.522817,310,260,42486,30870275,,2336,1,1,LTE,,,42486,,,
37.05269,-94.524053,310,260,42486,30870285,,1000,1,1,LTE,,,42486,,,
37.053314,-94.529251,311,480,55317,55380738,,1000,1,1,LTE,,,55317,,,
37.053425,-94.52639,310,410,25861,88859491,,1000,1,1,LTE,,,25861,,,
37.053451538086,-94.527053833008,311,220,5633,74279939,,1000,1,1,LTE,,,5633,,,
37.053452,-94.526718,310,120,11043,80167707,,1000,1,1,LTE,,,11043,,,
37.05397,-94.528053,310,410,25861,88653578,,1000,1,1,LTE,,,25861,,,
37.05397,-94.528053,310,410,25861,88480024,,1000,1,1,LTE,,,25861,,,
37.054035,-94.529941,310,410,25861,89530006,,1385,1,1,LTE,,,25861,,,
37.054138,-94.526367,310,410,34506,118702964,,1000,1,1,UMTS,,,,,,
37.054901,-94.530716,310,410,25861,88249879,,1556,1,1,LTE,,,25861,,,
37.054979,-94.529323,311,480,55317,55380758,,1000,1,1,LTE,,,55317,,,
37.055302,-94.521645,310,410,25861,88862819,,1000,1,1,LTE,,,25861,,,
37.056198,-94.529457,311,480,55317,55380001,,1464,1,1,LTE,,,55317,,,
37.056198,-94.529114,310,410,34000,45268,,1000,1,1,CDMA,,,,410,34000,45268
37.056198120117,-94.531173706055,310,410,34506,118730964,,1000,1,1,UMTS,,,,,,
37.056198120117,-94.531173706055,310,410,34506,118730965,,1000,1,1,UMTS,,,,,,
37.056375,-94.524404,310,260,42486,29262604,,4488,1,1,LTE,,,42486,,,
37.056377,-94.526952,310,260,42486,29262594,,5801,1,1,LTE,,,42486,,,
37.056763,-94.524062,310,410,25861,89442563,,5989,1,1,LTE,,,25861,,,
