lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.770529,-117.914088,311,480,12039,89016856,,1961,1,1,LTE,,,12039,,,
33.770669,-117.908013,310,260,12660,22305284,,2923,1,1,LTE,,,12660,,,
33.770775,-117.911555,310,260,12660,50225294,,1407,1,1,LTE,,,12660,,,
33.770825,-117.91719,310,260,26265,101102945,,3495,1,1,UMTS,,,,,,
33.770828,-117.91832,310,260,26271,40083,,1000,1,1,CDMA,,,,260,26271,40083
33.770828,-117.912827,310,260,39270,101096600,,1000,1,1,UMTS,,,,,,
33.770847,-117.912415,312,530,12660,203532819,,1000,1,1,LTE,,,12660,,,
33.770972,-117.917937,310,260,26265,101102943,,4033,1,1,UMTS,,,,,,
33.771034,-117.911987,311,870,3,8868,,1000,1,1,LTE,,,3,,,
33.771278,-117.910698,310,260,12660,227263294,,1000,1,1,LTE,,,12660,,,
33.771286,-117.912903,311,2,55,11554,,1000,1,1,LTE,,,55,,,
33.771286010742,-117.9141998291,311,480,13063,13069058,,1000,1,1,LTE,,,13063,,,
33.771286010742,-117.91282653809,311,480,12039,87909152,,1000,1,1,LTE,,,12039,,,
33.771286010742,-117.91282653809,310,410,55602,58818220,,1000,1,1,UMTS,,,,,,
33.771286010742,-117.91145324707,310,260,26272,255761558,,1000,1,1,UMTS,,,,,,
33.771286010742,-117.91145324707,310,260,26299,101096600,,1000,1,1,UMTS,,,,,,
33.771286010742,-117.91007995605,310,260,12660,23648006,,1000,1,1,LTE,,,12660,,,
33.771322,-117.910241,310,410,34652,143259415,,3054,1,1,LTE,,,34652,,,
33.771382,-117.91148,310,410,34570,141949962,,1000,1,1,LTE,,,34570,,,
33.771414,-117.913699,310,260,12632,22416649,,1000,1,1,LTE,,,12632,,,
33.771483,-117.911122,311,490,12660,22416642,,1000,1,1,LTE,,,12660,,,
33.77156,-117.910049,310,410,34652,141629961,,9451,1,1,LTE,,,34652,,,
33.771704,-117.910875,310,260,12660,22305281,,7552,1,1,LTE,,,12660,,,
