lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
27.295074,-82.456055,310,260,40895,59868466,,1000,1,1,UMTS,,,,,,
27.295357,-82.458939,311,480,37632,37799692,,2247,1,1,LTE,,,37632,,,
27.295655,-82.460807,311,480,37632,37666065,,1000,1,1,LTE,,,37632,,,
27.296782,-82.45988,310,260,34145,16243735,,3477,1,1,LTE,,,34145,,,
27.297394,-82.459501,311,480,37632,37799694,,1330,1,1,LTE,,,37632,,,
27.297592163086,-82.458572387695,310,260,40895,59837556,,1000,1,1,UMTS,,,,,,
27.297592163086,-82.45719909668,310,410,27698,232181925,,1000,1,1,UMTS,,,,,,
27.297935,-82.463036,310,120,13510,112561219,,1000,1,1,LTE,,,13510,,,
27.298178,-82.461071,311,870,307,26297,,1594,1,1,LTE,,,307,,,
27.298377,-82.461711,310,120,13510,112561203,,1000,1,1,LTE,,,13510,,,
27.298767,-82.457413,310,260,34054,222166149,,1000,1,1,LTE,,,34054,,,
27.298771,-82.454857,310,260,34145,19793952,,1000,1,1,LTE,,,34145,,,
27.298918,-82.45591,310,260,34145,40667781,,1000,1,1,LTE,,,34145,,,
27.298965,-82.462967,310,120,13420,112561203,,1000,1,1,LTE,,,13420,,,
27.298965,-82.460175,310,120,13327,112561211,,1000,1,1,LTE,,,13327,,,
27.298965,-82.454544,311,490,34145,19793923,,1000,1,1,LTE,,,34145,,,
27.298965454102,-82.461318969727,310,120,13420,112561219,,1000,1,1,LTE,,,13420,,,
27.298965454102,-82.458572387695,310,120,13510,112561211,,1000,1,1,LTE,,,13510,,,
27.298965454102,-82.455825805664,310,260,40895,59851381,,1000,1,1,UMTS,,,,,,
27.30036,-82.463136,310,260,40871,3542,,1749,1,1,GSM,,,,,,
27.300577,-82.457543,310,260,40806,46757276,,1611,1,1,UMTS,,,,,,
27.301123,-82.462104,310,120,13420,112561211,,1000,1,1,LTE,,,13420,,,
27.301353,-82.459839,311,480,37632,37679394,,1762,1,1,LTE,,,37632,,,
27.301862,-82.460335,311,480,37632,37679392,,1723,1,1,LTE,,,37632,,,
