lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
26.161582,-97.662124,310,260,34307,44612364,,1000,1,1,LTE,,,34307,,,
26.162935,-97.660431,310,260,34307,39006230,,1000,1,1,LTE,,,34307,,,
26.163041,-97.667435,310,260,34307,16228640,,3942,1,1,LTE,,,34307,,,
26.164627,-97.668457,310,260,2797,46352009,,1000,1,1,UMTS,,,,,,
26.164627,-97.66777,310,410,54796,103501393,,1602,1,1,UMTS,,,,,,
26.164627075195,-97.666397094727,310,410,54796,20049,,1000,1,1,CDMA,,,,410,54796,20049
26.165038,-97.662067,310,260,2797,46353735,,1211,1,1,UMTS,,,,,,
26.165459,-97.667611,310,260,2797,46352004,,2965,1,1,UMTS,,,,,,
26.167998,-97.66802,310,260,30831,16228620,,1000,1,1,LTE,,,30831,,,
26.16911,-97.66756,310,260,2797,46352593,,2047,1,1,UMTS,,,,,,
