lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.08673,-111.994979,310,410,39172,115977111,,5089,1,1,LTE,,,39172,,,
41.086748,-111.990629,310,260,11622,21075981,,9104,1,1,LTE,,,11622,,,
41.086807250977,-111.99256896973,310,260,39991,15485079,,1000,1,1,UMTS,,,,,,
41.086843,-112.001599,310,260,11622,21104908,,8176,1,1,LTE,,,11622,,,
41.086891,-111.998947,310,410,39178,115976969,,1000,1,1,LTE,,,39178,,,
41.086891,-111.998947,310,410,39178,115996425,,1000,1,1,LTE,,,39178,,,
41.086909,-111.992273,310,260,11622,21570623,,7244,1,1,LTE,,,11622,,,
41.087,-111.990284,310,260,11622,21075991,,9827,1,1,LTE,,,11622,,,
41.087271,-112.001542,311,490,237,49122,,1000,1,1,CDMA,,,,490,237,49122
41.088180541992,-111.99394226074,311,490,17934,73509120,,1000,1,1,LTE,,,17934,,,
41.088181,-111.99151,310,120,22275,182465809,,1000,1,1,LTE,,,22275,,,
41.088217,-111.995019,310,260,11622,45673761,,6913,1,1,LTE,,,11622,,,
41.088317,-111.991458,310,260,11622,21075971,,9229,1,1,LTE,,,11622,,,
41.088452,-111.996547,310,260,11622,45673729,,9510,1,1,LTE,,,11622,,,
41.088728,-111.999608,311,480,3328,3523075,,1000,1,1,LTE,,,3328,,,
41.088752,-111.998766,311,480,3328,3523104,,5659,1,1,LTE,,,3328,,,
41.088833,-112.000084,310,260,11622,46117439,,1000,1,1,LTE,,,11622,,,
41.088833,-112.000084,310,260,11622,45816866,,1000,1,1,LTE,,,11622,,,
41.088833,-112.000084,310,260,11622,46117379,,1000,1,1,LTE,,,11622,,,
41.088887,-112.001116,310,410,39172,115996567,,2517,1,1,LTE,,,39172,,,
41.089027,-112.00102,310,260,11530,21075991,,1520,1,1,LTE,,,11530,,,
41.089054,-111.991383,310,120,22275,183797000,,1000,1,1,LTE,,,22275,,,
41.089058,-112.000418,311,480,3328,80195114,,1000,1,1,LTE,,,3328,,,
41.089117,-111.990603,310,120,22275,183796994,,1000,1,1,LTE,,,22275,,,
41.089124,-111.999854,310,410,39172,115976970,,18324,1,1,LTE,,,39172,,,
41.089242,-111.998437,310,120,22275,183803137,,1000,1,1,LTE,,,22275,,,
41.089245,-111.992477,310,260,11622,45673789,,1000,1,1,LTE,,,11622,,,
41.089321,-112.001411,310,410,39178,115976970,,1000,1,1,LTE,,,39178,,,
41.08934,-111.99073,310,260,11544,225987469,,1000,1,1,LTE,,,11544,,,
41.089374,-112.001089,310,260,11622,21586709,,2927,1,1,LTE,,,11622,,,
41.089481,-111.990868,310,260,11544,21570572,,1000,1,1,LTE,,,11544,,,
41.089553833008,-111.99806213379,310,410,45995,30356,,1000,1,1,CDMA,,,,410,45995,30356
41.089553833008,-111.99668884277,310,260,39993,28592290,,1000,1,1,UMTS,,,,,,
41.089553833008,-111.99531555176,311,490,17932,73509120,,1000,1,1,LTE,,,17932,,,
41.089553833008,-111.99119567871,310,260,11650,21075971,,1000,1,1,LTE,,,11650,,,
41.089554,-111.998936,310,120,22275,183803143,,1000,1,1,LTE,,,22275,,,
