lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.169556,-97.084122,311,870,30857,25022730,,1000,1,1,LTE,,,30857,,,
33.169784545898,-97.084121704102,310,410,16132,60498,,1000,1,1,CDMA,,,,410,16132,60498
33.169785,-97.084808,310,410,52902,60498,,1000,1,1,CDMA,,,,410,52902,60498
33.169836,-97.085861,310,410,27210,133501400,,4571,1,1,LTE,,,27210,,,
33.169846,-97.086272,310,410,27210,133501207,,1754,1,1,LTE,,,27210,,,
33.170008,-97.084984,310,120,7952,65021954,,1000,1,1,LTE,,,7952,,,
33.170334,-97.085625,310,260,31893,17416460,,1000,1,1,LTE,,,31893,,,
33.170499,-97.086904,310,260,31880,38966413,,4346,1,1,LTE,,,31880,,,
33.170511,-97.085753,311,940,31880,230216705,,1179,1,1,LTE,,,31880,,,
33.170514,-97.091349,311,480,33542,33692428,,1000,1,1,LTE,,,33542,,,
33.170742,-97.086246,311,490,31893,17416450,,1000,1,1,LTE,,,31893,,,
33.171157836914,-97.086868286133,311,870,7952,23645442,,1000,1,1,LTE,,,7952,,,
33.171353,-97.088706,310,260,41893,111892383,,2801,1,1,UMTS,,,,,,
33.17194,-97.087196,311,490,31893,17416470,,1000,1,1,LTE,,,31893,,,
33.172276,-97.084751,310,120,311,6682,,2671,1,1,LTE,,,311,,,
33.17253112793,-97.088241577148,310,410,52713,110750800,,1000,1,1,UMTS,,,,,,
33.17268,-97.088684,311,490,31893,2760334,,1000,1,1,LTE,,,31893,,,
33.172989,-97.091446,310,120,33542,33691138,,1000,1,1,LTE,,,33542,,,
33.173134,-97.090912,310,410,27210,134706904,,1000,1,1,LTE,,,27210,,,
33.173134,-97.090912,310,410,27210,133268374,,1000,1,1,LTE,,,27210,,,
33.173183,-97.089783,311,490,311,22682,,1000,1,1,LTE,,,311,,,
33.173218,-97.089958,310,410,52902,105049171,,1000,1,1,UMTS,,,,,,
33.173438,-97.08978,310,260,31832,17563393,,1000,1,1,LTE,,,31832,,,
33.17379,-97.090485,311,480,7,4807,,1000,1,1,LTE,,,7,,,
33.174003,-97.088678,310,410,27210,133945872,,3644,1,1,LTE,,,27210,,,
33.174141,-97.08773,310,410,27210,134668695,,1000,1,1,LTE,,,27210,,,
33.17446,-97.088406,310,410,27210,133945629,,6072,1,1,LTE,,,27210,,,
33.174621,-97.089257,311,480,33542,33785878,,1000,1,1,LTE,,,33542,,,
33.174814,-97.089527,311,480,33542,33691158,,3349,1,1,LTE,,,33542,,,
33.174888,-97.090644,310,410,27210,133945865,,1881,1,1,LTE,,,27210,,,
33.175597,-97.089,310,120,7952,65105922,,3051,1,1,LTE,,,7952,,,
33.17574,-97.091239,310,410,27210,133501208,,8789,1,1,LTE,,,27210,,,
33.176209,-97.091456,310,410,27210,133500673,,3889,1,1,LTE,,,27210,,,
33.176366,-97.088492,310,260,41893,111901026,,3007,1,1,UMTS,,,,,,
33.177669,-97.081084,310,260,31880,2760203,,19533,1,1,LTE,,,31880,,,
33.177959,-97.088379,312,530,31880,230216705,,1000,1,1,LTE,,,31880,,,
33.1782,-97.087837,310,410,27210,133620766,,1000,1,1,LTE,,,27210,,,
