lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.94561,-75.195852,310,260,22028,12316929,,1000,1,1,LTE,,,22028,,,
39.945631,-75.191767,311,480,5,285,,3459,1,1,LTE,,,5,,,
39.945671,-75.190239,310,260,22028,224121999,,1000,1,1,LTE,,,22028,,,
39.945671,-75.190208,312,530,22028,28218161,,1000,1,1,LTE,,,22028,,,
39.945671,-75.190208,312,530,22028,27946545,,1000,1,1,LTE,,,22028,,,
39.945864,-75.192738,310,260,22243,224121999,,1000,1,1,LTE,,,22243,,,
39.945908,-75.190236,310,260,22028,14871919,,2817,1,1,LTE,,,22028,,,
39.945917,-75.19807,310,260,22232,224729456,,1000,1,1,LTE,,,22232,,,
39.946005,-75.192039,310,410,2934,141760731,,1000,1,1,UMTS,,,,,,
39.946011,-75.193442,310,260,22232,224729356,,1000,1,1,LTE,,,22232,,,
39.946055,-75.190529,310,260,22027,11178753,,1000,1,1,LTE,,,22027,,,
39.94606,-75.193863,310,260,34687,85824270,,1000,1,1,UMTS,,,,,,
39.946071,-75.194191,311,480,25104,25154072,,1000,1,1,LTE,,,25104,,,
39.946127,-75.198972,311,480,25102,25154060,,1000,1,1,LTE,,,25102,,,
39.946129,-75.189568,310,410,2963,141890503,,1000,1,1,UMTS,,,,,,
39.94614,-75.194298,310,410,282,5293190,,1000,1,1,LTE,,,282,,,
39.946175,-75.191924,310,410,2963,141763321,,4463,1,1,UMTS,,,,,,
39.946195,-75.189471,310,260,22028,37646654,,1404,1,1,LTE,,,22028,,,
39.946227,-75.193564,310,260,22028,224121989,,1000,1,1,LTE,,,22028,,,
39.946289,-75.197983,310,410,2998,6648,,1000,1,1,CDMA,,,,410,2998,6648
39.946289,-75.197983,310,260,34687,79287848,,1000,1,1,UMTS,,,,,,
39.946289,-75.189743,310,410,2963,143791355,,1000,1,1,UMTS,,,,,,
39.946373,-75.189556,310,410,282,5282826,,5707,1,1,LTE,,,282,,,
39.946544,-75.197983,310,120,3338,28671026,,1000,1,1,LTE,,,3338,,,
39.946545,-75.198861,312,530,22027,28671025,,2854,1,1,LTE,,,22027,,,
