lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
29.819412,-95.54512,310,4622,5,9393,,1479,1,1,CDMA,,,,4622,5,9393
29.8198,-95.546036,311,12,3,345,,1000,1,1,LTE,,,3,,,
29.820327758789,-95.546035766602,311,480,30727,107542796,,1000,1,1,LTE,,,30727,,,
29.820327758789,-95.546035766602,310,410,53528,101096985,,1000,1,1,UMTS,,,,,,
29.820638,-95.549227,310,260,32132,3291915,,7941,1,1,LTE,,,32132,,,
29.820885,-95.547558,310,410,53528,100864111,,2973,1,1,UMTS,,,,,,
29.821228,-95.545784,311,480,30727,30742802,,1000,1,1,LTE,,,30727,,,
29.821239,-95.544645,311,480,30727,30742798,,1000,1,1,LTE,,,30727,,,
29.821627,-95.544597,311,480,30727,30742796,,1017,1,1,LTE,,,30727,,,
29.821701,-95.546494,310,260,19687,971346,,1000,1,1,UMTS,,,,,,
29.821701,-95.546036,310,4622,5,5153,,1000,1,1,CDMA,,,,4622,5,5153
29.821701049805,-95.550155639648,310,260,19687,61181,,1000,1,1,UMTS,,,,,,
29.821701049805,-95.548782348633,310,260,5995,52523,,1000,1,1,CDMA,,,,260,5995,52523
29.821701049805,-95.548782348633,310,260,19687,52523,,1000,1,1,CDMA,,,,260,19687,52523
29.821701049805,-95.548782348633,310,260,19687,52528,,1000,1,1,CDMA,,,,260,19687,52528
29.821701049805,-95.546035766602,310,410,53531,101060719,,1000,1,1,UMTS,,,,,,
29.821701049805,-95.541915893555,310,410,53515,99331241,,1000,1,1,UMTS,,,,,,
29.821701049805,-95.541915893555,310,410,53523,99862101,,1000,1,1,UMTS,,,,,,
29.82216,-95.5425,310,260,32132,3293195,,3501,1,1,LTE,,,32132,,,
29.822228,-95.549296,310,260,32132,16419135,,1701,1,1,LTE,,,32132,,,
29.82229,-95.545251,311,480,30727,30738691,,1008,1,1,LTE,,,30727,,,
29.822306,-95.546337,310,260,32132,3292937,,2247,1,1,LTE,,,32132,,,
29.822538,-95.542867,310,260,32132,3293185,,1312,1,1,LTE,,,32132,,,
29.822725,-95.548109,310,260,32132,3292947,,2387,1,1,LTE,,,32132,,,
29.822763,-95.545385,310,260,32132,3293203,,3790,1,1,LTE,,,32132,,,
29.822775,-95.550626,310,260,32132,222725663,,1000,1,1,LTE,,,32132,,,
29.822776,-95.550576,310,260,32001,70359359,,1000,1,1,LTE,,,32001,,,
29.822823,-95.549385,310,260,32132,15420439,,724,1,1,LTE,,,32132,,,
29.822856,-95.544248,310,260,32132,3291905,,4678,1,1,LTE,,,32132,,,
29.82307434082,-95.54328918457,310,410,28958,101117905,,1000,1,1,LTE,,,28958,,,
29.823742,-95.550293,310,260,32132,15498017,,1000,1,1,LTE,,,32132,,,
29.823796,-95.551452,310,260,32132,41465879,,3614,1,1,LTE,,,32132,,,
29.823893,-95.542596,310,260,32132,16419103,,1000,1,1,LTE,,,32132,,,
29.82399,-95.543747,310,260,3471,50613,,1000,1,1,GSM,,,,,,
29.824123,-95.546004,311,480,30727,30742785,,1000,1,1,LTE,,,30727,,,
29.824398,-95.550609,310,410,28958,136811542,,2164,1,1,LTE,,,28958,,,
29.824447631836,-95.544662475586,310,260,3489,73058146,,1000,1,1,UMTS,,,,,,
29.824447631836,-95.541915893555,310,260,19635,50611,,1000,1,1,CDMA,,,,260,19635,50611
29.824448,-95.542603,310,260,3471,50611,,1000,1,1,GSM,,,,,,
29.824606,-95.54785,310,410,28958,136811669,,5406,1,1,LTE,,,28958,,,
29.825142,-95.545158,311,870,9222,77001795,,1000,1,1,LTE,,,9222,,,
29.825142,-95.545158,311,870,9222,77001793,,1000,1,1,LTE,,,9222,,,
29.825446,-95.547908,310,120,9222,76870457,,1000,1,1,LTE,,,9222,,,
29.825558,-95.54538,312,530,32132,77442097,,1000,1,1,LTE,,,32132,,,
29.825558,-95.54538,312,530,32132,77442362,,1000,1,1,LTE,,,32132,,,
29.825558,-95.54538,312,530,32132,77428281,,1000,1,1,LTE,,,32132,,,
29.825558,-95.54538,312,530,32132,76132377,,1000,1,1,LTE,,,32132,,,
29.825821,-95.54512,310,120,9222,76870465,,1000,1,1,LTE,,,9222,,,
29.825902,-95.547369,310,120,9222,75539201,,1000,1,1,LTE,,,9222,,,
29.825999,-95.541959,310,260,32132,16419133,,2488,1,1,LTE,,,32132,,,
29.826025,-95.546063,310,410,28958,135787528,,6784,1,1,LTE,,,28958,,,
29.827091,-95.545242,310,120,100,21171,,1000,1,1,LTE,,,100,,,
29.827194213867,-95.544662475586,310,410,53508,98889687,,1000,1,1,UMTS,,,,,,
29.827194213867,-95.544662475586,310,120,7718,32819712,,1000,1,1,LTE,,,7718,,,
29.827194213867,-95.54328918457,310,410,28958,136995601,,1000,1,1,LTE,,,28958,,,
