lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.788221,-74.068317,310,260,22801,11073537,,3472,1,1,LTE,,,22801,,,
40.788585,-74.07008,311,870,8,567,,2135,1,1,LTE,,,8,,,
40.788803100586,-74.078750610352,310,260,52156,255686644,,1000,1,1,UMTS,,,,,,
40.788803100586,-74.077377319336,310,410,3989,163942813,,1000,1,1,UMTS,,,,,,
40.788803100586,-74.07600402832,310,410,3989,32871,,1000,1,1,CDMA,,,,410,3989,32871
40.789381,-74.07311,310,260,22801,11665153,,2370,1,1,LTE,,,22801,,,
40.790176,-74.069138,310,410,3996,151865093,,1000,1,1,UMTS,,,,,,
40.790268,-74.075813,310,260,22807,12246533,,1000,1,1,LTE,,,22807,,,
40.790268,-74.075813,310,260,22801,10331144,,1000,1,1,LTE,,,22801,,,
40.790433,-74.068055,310,260,52153,255713677,,3422,1,1,UMTS,,,,,,
40.790569,-74.071688,310,410,3996,151879789,,1000,1,1,UMTS,,,,,,
40.790765,-74.072524,310,260,22801,11022602,,1000,1,1,LTE,,,22801,,,
40.7911,-74.07287,310,260,22795,10944262,,4556,1,1,LTE,,,22795,,,
40.791621,-74.078733,310,410,2362,208237833,,4105,1,1,LTE,,,2362,,,
40.79171,-74.072098,310,410,2362,208201643,,1000,1,1,LTE,,,2362,,,
40.791893,-74.070168,310,410,3996,151879783,,1000,1,1,UMTS,,,,,,
40.792316,-74.071289,311,480,22276,22484492,,1000,1,1,LTE,,,22276,,,
40.792316,-74.071289,311,480,22276,22365986,,1000,1,1,LTE,,,22276,,,
40.792549,-74.069638,310,16,48,541,,1408,1,1,CDMA,,,,16,48,541
40.792687,-74.075214,310,410,2362,208201480,,1598,1,1,LTE,,,2362,,,
40.792692,-74.074255,310,410,2362,208201487,,1000,1,1,LTE,,,2362,,,
40.79361,-74.067764,310,260,52100,30708,,1000,1,1,GSM,,,,,,
40.793678,-74.068588,310,410,3996,151881210,,1000,1,1,UMTS,,,,,,
40.79377,-74.069031,310,260,22801,10386495,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,10332478,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,32100609,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,32100611,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,11073599,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,14249790,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,14249791,,1000,1,1,LTE,,,22801,,,
40.7938,-74.069748,310,260,22801,11591743,,1000,1,1,LTE,,,22801,,,
40.793969,-74.068447,310,410,3996,151881207,,1000,1,1,UMTS,,,,,,
40.794041,-74.069572,310,260,22801,10533183,,1000,1,1,LTE,,,22801,,,
40.794041,-74.069572,310,260,22801,10394685,,1000,1,1,LTE,,,22801,,,
40.794142,-74.077553,310,260,52156,255686641,,1101,1,1,UMTS,,,,,,
40.794296,-74.072669,310,260,22795,11073537,,1000,1,1,LTE,,,22795,,,
40.794654,-74.072683,310,260,22801,10533129,,3218,1,1,LTE,,,22801,,,
40.794886,-74.072552,310,260,52100,31212,,1000,1,1,LTE,,,52100,,,
40.795351,-74.074795,311,480,22276,22301699,,1000,1,1,LTE,,,22276,,,
40.7956,-74.0744,311,480,22276,22301728,,5727,1,1,LTE,,,22276,,,
40.795669555664,-74.07600402832,311,16,5,884,,1000,1,1,LTE,,,5,,,
40.795669555664,-74.073257446289,310,260,52156,255690677,,1000,1,1,UMTS,,,,,,
40.795669555664,-74.073257446289,310,260,52156,255714589,,1000,1,1,UMTS,,,,,,
40.795669555664,-74.073257446289,310,410,2393,209909522,,1000,1,1,LTE,,,2393,,,
40.795696,-74.072189,310,260,22803,13278980,,1000,1,1,LTE,,,22803,,,
40.796001,-74.071158,310,260,22795,10465286,,5226,1,1,LTE,,,22795,,,
40.79609,-74.067539,310,260,32169,31782,,5187,1,1,CDMA,,,,260,32169,31782
