lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.546707,-82.515335,310,260,44032,7862541,,1000,1,1,LTE,,,44032,,,
36.546707,-82.513962,310,410,16935,204627996,,1000,1,1,UMTS,,,,,,
36.54670715332,-82.518997192383,310,260,22939,37273,,1000,1,1,CDMA,,,,260,22939,37273
36.546883,-82.511246,310,260,44285,7862283,,1000,1,1,LTE,,,44285,,,
36.54705,-82.513556,310,410,16935,204627999,,1000,1,1,UMTS,,,,,,
36.547133,-82.518328,311,480,41734,41910818,,1316,1,1,LTE,,,41734,,,
36.54771,-82.513283,310,260,44285,7863063,,1000,1,1,LTE,,,44285,,,
36.54771,-82.513283,310,260,44285,7863043,,1000,1,1,LTE,,,44285,,,
36.549179,-82.508972,310,120,11322,92838938,,1698,1,1,LTE,,,11322,,,
36.549458,-82.513502,311,480,41734,195406616,,2737,1,1,LTE,,,41734,,,
36.550827,-82.516708,310,260,22910,37231,,1000,1,1,GSM,,,,,,
36.551713,-82.516665,311,480,41734,41806616,,1000,1,1,LTE,,,41734,,,
36.55185,-82.512176,311,480,41734,41910785,,1000,1,1,LTE,,,41734,,,
36.552156,-82.51377,311,480,41734,41910796,,1000,1,1,LTE,,,41734,,,
36.5522,-82.516251,311,480,41734,195510798,,1000,1,1,LTE,,,41734,,,
36.5522,-82.515074,311,480,41734,41910798,,1000,1,1,LTE,,,41734,,,
36.55224,-82.519217,310,260,44033,7863042,,3194,1,1,LTE,,,44033,,,
36.552426,-82.513443,311,480,41734,118710796,,1000,1,1,LTE,,,41734,,,
36.552887,-82.512817,310,93,1,8650,,1000,1,1,CDMA,,,,93,1,8650
36.55344,-82.514292,311,480,41734,41910801,,1000,1,1,LTE,,,41734,,,
36.553444,-82.514591,311,480,41734,118710798,,1000,1,1,LTE,,,41734,,,
36.553453,-82.514487,311,480,41734,118710802,,1000,1,1,LTE,,,41734,,,
36.553573608398,-82.512130737305,310,260,16039,24607,,1000,1,1,GSM,,,,,,
36.553582,-82.514966,311,480,41734,41910800,,1000,1,1,LTE,,,41734,,,
