lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.976881,-86.159236,310,410,19977,49239512,,5758,1,1,LTE,,,19977,,,
39.977188110352,-86.158218383789,311,480,58635,135502860,,1000,1,1,LTE,,,58635,,,
39.977188110352,-86.156845092773,311,870,18705,153132801,,1000,1,1,LTE,,,18705,,,
39.977188110352,-86.152725219727,310,260,20401,12122,,1000,1,1,CDMA,,,,260,20401,12122
39.977188110352,-86.152725219727,311,870,18705,154464001,,1000,1,1,LTE,,,18705,,,
39.977188110352,-86.151351928711,310,260,20499,12122,,1000,1,1,CDMA,,,,260,20499,12122
39.977294,-86.157109,310,120,18705,154464001,,1000,1,1,LTE,,,18705,,,
39.978008,-86.155373,311,480,58657,58724376,,1000,1,1,LTE,,,58657,,,
39.978561,-86.154556,310,410,19990,4549971,,1000,1,1,UMTS,,,,,,
39.978561,-86.154556,310,120,18691,153132807,,1000,1,1,LTE,,,18691,,,
39.978561401367,-86.158218383789,310,410,19990,48727311,,1000,1,1,UMTS,,,,,,
39.978561401367,-86.156845092773,311,870,18705,153132816,,1000,1,1,LTE,,,18705,,,
39.978561401367,-86.155471801758,310,410,19990,72768371,,1000,1,1,UMTS,,,,,,
39.978561401367,-86.154098510742,310,410,19990,23411,,1000,1,1,CDMA,,,,410,19990,23411
39.979639,-86.151867,310,410,19990,72748371,,1000,1,1,UMTS,,,,,,
39.97966,-86.153275,310,410,19990,23414,,1000,1,1,CDMA,,,,410,19990,23414
39.979934692383,-86.156845092773,311,480,58657,135502861,,1000,1,1,LTE,,,58657,,,
39.979934692383,-86.155471801758,311,480,58657,135502860,,1000,1,1,LTE,,,58657,,,
39.979934692383,-86.154098510742,310,410,19995,72440694,,1000,1,1,UMTS,,,,,,
39.979934692383,-86.154098510742,310,410,19995,23414,,1000,1,1,CDMA,,,,410,19995,23414
39.979935,-86.153412,310,410,19995,4529491,,1000,1,1,UMTS,,,,,,
39.980231,-86.155064,311,480,58657,58702861,,3041,1,1,LTE,,,58657,,,
39.980291,-86.154538,311,480,58657,58702860,,2791,1,1,LTE,,,58657,,,
39.980325,-86.151806,310,260,42235,6650882,,4844,1,1,LTE,,,42235,,,
39.981021,-86.151149,310,410,19977,48727311,,15086,1,1,LTE,,,19977,,,
39.981033,-86.151352,310,410,19990,72748377,,1000,1,1,UMTS,,,,,,
39.981308,-86.151352,310,410,19990,72768374,,1000,1,1,UMTS,,,,,,
39.981391,-86.158434,311,480,58657,58702849,,6053,1,1,LTE,,,58657,,,
39.981861,-86.152466,311,480,58657,135546382,,1000,1,1,LTE,,,58657,,,
39.981931,-86.149268,310,410,19977,48727304,,10699,1,1,LTE,,,19977,,,
39.982233,-86.147687,310,410,19977,48727318,,14182,1,1,LTE,,,19977,,,
39.983505,-86.150418,311,80,2,4404,,1000,1,1,LTE,,,2,,,
39.983781,-86.148976,310,410,19977,49239446,,10492,1,1,LTE,,,19977,,,
39.983859,-86.158413,310,260,41984,6970647,,7161,1,1,LTE,,,41984,,,
