lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.397872,-86.811552,310,410,19987,72951626,,7662,1,1,UMTS,,,,,,
40.398246,-86.802581,310,410,19980,49415960,,1000,1,1,LTE,,,19980,,,
40.398597,-86.805035,310,410,19980,49415946,,2003,1,1,LTE,,,19980,,,
40.398785,-86.801607,310,260,20424,14052,,79905,1,1,GSM,,,,,,
40.398788452148,-86.802291870117,311,480,58891,135711255,,1000,1,1,LTE,,,58891,,,
40.400028,-86.805465,310,260,41987,6652162,,8283,1,1,LTE,,,41987,,,
40.400161743164,-86.809158325195,310,410,19987,2838401,,1000,1,1,UMTS,,,,,,
40.400504,-86.80831,310,410,19980,48903960,,4471,1,1,LTE,,,19980,,,
40.400848,-86.802979,310,120,18694,153146119,,1000,1,1,LTE,,,18694,,,
40.400974,-86.803189,310,260,41987,25902603,,6484,1,1,LTE,,,41987,,,
40.401047,-86.802654,310,260,41984,25902347,,2081,1,1,LTE,,,41984,,,
40.4011,-86.8015,311,480,58891,135682317,,5371,1,1,LTE,,,58891,,,
40.4011,-86.8013,311,480,58891,58882320,,1353,1,1,LTE,,,58891,,,
40.401312,-86.80128,311,480,58891,135682316,,5438,1,1,LTE,,,58891,,,
40.401535,-86.802292,310,120,18702,154477319,,1000,1,1,LTE,,,18702,,,
40.401652,-86.802691,310,260,42235,6652172,,3345,1,1,LTE,,,42235,,,
40.402046,-86.804298,310,120,42235,153146898,,1000,1,1,LTE,,,42235,,,
40.402263,-86.802743,310,260,42235,6652162,,1710,1,1,LTE,,,42235,,,
40.402285,-86.811221,310,260,20494,8599728,,6278,1,1,UMTS,,,,,,
40.402359,-86.811905,311,80,2,378,,1000,1,1,LTE,,,2,,,
40.402415,-86.801674,311,480,58891,135682322,,5243,1,1,LTE,,,58891,,,
40.403,-86.801,311,480,58891,58882305,,5406,1,1,LTE,,,58891,,,
40.403688,-86.809623,310,410,19980,48897303,,8223,1,1,LTE,,,19980,,,
40.404285,-86.803696,310,410,19980,49409503,,1000,1,1,LTE,,,19980,,,
40.404928,-86.80625,310,120,18694,154477319,,1000,1,1,LTE,,,18694,,,
40.405026,-86.808723,310,260,42235,6652192,,5014,1,1,LTE,,,42235,,,
