lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.637772,-90.230026,310,410,24501,121776606,,1000,1,1,UMTS,,,,,,
38.637801,-90.225545,310,260,44805,8739587,,5473,1,1,LTE,,,44805,,,
38.638164,-90.234015,310,260,39498,14403142,,1227,1,1,UMTS,,,,,,
38.638512,-90.231918,311,870,309,8313,,1000,1,1,LTE,,,309,,,
38.638573,-90.2314,310,120,11031,90696731,,1000,1,1,LTE,,,11031,,,
38.638836,-90.233574,310,410,26375,61714402,,1000,1,1,LTE,,,26375,,,
38.639316,-90.227975,310,260,39401,33632,,28216,1,1,CDMA,,,,260,39401,33632
38.639454,-90.231941,310,120,309,8250,,1000,1,1,CDMA,,,,120,309,8250
38.639454,-90.231941,310,120,309,8281,,1000,1,1,CDMA,,,,120,309,8281
38.639602661133,-90.230026245117,311,870,11071,90668826,,1000,1,1,LTE,,,11071,,,
38.639602661133,-90.230026245117,310,120,11031,76145664,,1000,1,1,LTE,,,11031,,,
38.639602661133,-90.228652954102,310,17,1,258,,1000,1,1,CDMA,,,,17,1,258
38.639774,-90.228481,310,120,11031,91623993,,1000,1,1,LTE,,,11031,,,
38.639796,-90.230331,310,260,39402,30592,,28024,1,1,CDMA,,,,260,39402,30592
38.639832,-90.227737,310,120,11031,91624001,,1000,1,1,LTE,,,11031,,,
38.63988,-90.236134,310,260,44801,6406669,,1265,1,1,LTE,,,44801,,,
38.640553,-90.227913,310,120,11031,91623985,,1000,1,1,LTE,,,11031,,,
38.640975952148,-90.234146118164,310,410,24509,121776607,,1000,1,1,UMTS,,,,,,
38.640975952148,-90.227279663086,310,120,11020,90383874,,1000,1,1,LTE,,,11020,,,
38.641377,-90.225644,311,480,54788,131584525,,1000,1,1,LTE,,,54788,,,
38.641945,-90.228087,311,480,54788,54784525,,1000,1,1,LTE,,,54788,,,
38.641957,-90.228064,310,120,11031,90696729,,1000,1,1,LTE,,,11031,,,
38.642006,-90.230026,310,120,11031,90292745,,1000,1,1,LTE,,,11031,,,
38.642349243164,-90.23551940918,311,870,18560,76145664,,1000,1,1,LTE,,,18560,,,
38.642349243164,-90.227279663086,310,120,11020,90292737,,1000,1,1,LTE,,,11020,,,
38.642506,-90.227233,311,870,309,24027,,1000,1,1,LTE,,,309,,,
38.643036,-90.232773,310,120,11031,90325769,,1000,1,1,LTE,,,11031,,,
38.643036,-90.228653,310,260,39498,14383135,,1000,1,1,UMTS,,,,,,
38.643238,-90.231267,310,260,44801,9554691,,1947,1,1,LTE,,,44801,,,
38.643265,-90.229569,310,410,24501,121806599,,1000,1,1,UMTS,,,,,,
38.643448,-90.22673,311,480,54788,54784513,,1000,1,1,LTE,,,54788,,,
38.64372253418,-90.231399536133,311,870,18561,76055553,,1000,1,1,LTE,,,18561,,,
38.64372253418,-90.228652954102,310,410,24501,40711,,1000,1,1,CDMA,,,,410,24501,40711
38.64372253418,-90.227279663086,310,120,11081,90611482,,1000,1,1,LTE,,,11081,,,
38.643997,-90.230301,310,410,24501,121776605,,1000,1,1,UMTS,,,,,,
38.644135,-90.228554,310,260,44805,28693381,,1000,1,1,LTE,,,44805,,,
38.644434,-90.228023,310,260,44801,6406657,,2143,1,1,LTE,,,44801,,,
38.644734,-90.227655,310,260,44801,6406667,,4214,1,1,LTE,,,44801,,,
38.644753,-90.227108,310,120,11031,90249483,,1000,1,1,LTE,,,11031,,,
38.645095825195,-90.230026245117,310,410,24501,122300543,,1000,1,1,UMTS,,,,,,
38.645146,-90.233781,310,260,44805,6406657,,4370,1,1,LTE,,,44805,,,
38.645202,-90.235196,310,410,26388,62442000,,4134,1,1,LTE,,,26388,,,
38.645962,-90.226153,310,410,26375,61714184,,1870,1,1,LTE,,,26375,,,
38.646002,-90.227247,310,410,26375,61714198,,3212,1,1,LTE,,,26375,,,
38.646155,-90.235711,310,260,44805,9554701,,4113,1,1,LTE,,,44805,,,
38.646258,-90.225484,310,120,11031,91715122,,1000,1,1,LTE,,,11031,,,
38.646417,-90.235106,310,260,44805,9554691,,4190,1,1,LTE,,,44805,,,
38.646469,-90.232773,310,410,24509,122329324,,1000,1,1,UMTS,,,,,,
38.646469116211,-90.234146118164,310,410,24509,121776605,,1000,1,1,UMTS,,,,,,
38.646469116211,-90.22590637207,310,260,39498,14383140,,1000,1,1,UMTS,,,,,,
