lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
26.149520874023,-97.98225402832,310,260,30831,17340429,,1000,1,1,LTE,,,30831,,,
26.149520874023,-97.975387573242,310,410,54795,103548835,,1000,1,1,UMTS,,,,,,
26.149520874023,-97.974014282227,310,120,13058,108314426,,1000,1,1,LTE,,,13058,,,
26.149520874023,-97.974014282227,310,410,54795,103553838,,1000,1,1,UMTS,,,,,,
26.150306,-97.976761,310,120,13059,108288306,,1000,1,1,LTE,,,13059,,,
26.151581,-97.976761,310,120,13059,108288322,,1000,1,1,LTE,,,13059,,,
26.15364074707,-97.98225402832,310,260,30831,17340427,,1000,1,1,LTE,,,30831,,,
26.15364074707,-97.976760864258,310,410,54796,103483298,,1000,1,1,UMTS,,,,,,
26.154557,-97.980422,310,410,54202,20072,,2381,1,1,GSM,,,,,,
26.155221,-97.979167,310,410,29459,138289942,,1330,1,1,LTE,,,29459,,,
26.155351,-97.98249,310,260,34307,16484619,,2420,1,1,LTE,,,34307,,,
26.155701,-97.979164,310,260,2797,46345983,,1000,1,1,UMTS,,,,,,
26.156387329102,-97.980880737305,310,260,30831,17340417,,1000,1,1,LTE,,,30831,,,
