lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.804851,-81.865962,311,870,306,63458,,7928,1,1,LTE,,,306,,,
28.806571,-81.866403,310,410,13069,181293321,,8139,1,1,LTE,,,13069,,,
28.80659,-81.86903,311,480,37124,37292822,,1000,1,1,LTE,,,37124,,,
28.807219,-81.865082,310,120,12039,99914802,,1000,1,1,LTE,,,12039,,,
28.807907,-81.870872,310,120,12039,99914810,,1000,1,1,LTE,,,12039,,,
28.808205,-81.863776,310,120,12039,99958322,,500,1,1,LTE,,,12039,,,
28.808384,-81.864483,310,120,12039,99136538,,2340,1,1,LTE,,,12039,,,
28.80855,-81.863357,310,120,12039,98627074,,736,1,1,LTE,,,12039,,,
28.809585571289,-81.869430541992,310,260,32697,29048,,1000,1,1,CDMA,,,,260,32697,29048
28.809685,-81.869423,310,260,33863,223719171,,1000,1,1,LTE,,,33863,,,
28.811263,-81.864465,310,260,33849,40876556,,2682,1,1,LTE,,,33849,,,
28.811989,-81.870117,310,4192,3,824,,1000,1,1,CDMA,,,,4192,3,824
28.812307,-81.869072,310,260,33832,18451715,,1000,1,1,LTE,,,33832,,,
