lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.635047,-74.001076,310,260,22538,10991624,,1627,1,1,LTE,,,22538,,,
40.6351,-73.993923,311,480,20740,20766721,,1000,1,1,LTE,,,20740,,,
40.635212,-73.995344,311,480,20740,20766734,,1000,1,1,LTE,,,20740,,,
40.635265,-73.99868,310,260,22538,34201405,,1000,1,1,LTE,,,22538,,,
40.635327,-73.994309,310,260,52290,200665465,,1009,1,1,UMTS,,,,,,
40.635338,-73.996096,310,120,2307,20234802,,1000,1,1,LTE,,,2307,,,
40.63549,-74.003529,310,260,22538,10613762,,1000,1,1,LTE,,,22538,,,
40.635538,-74.003445,310,260,22538,10613765,,1000,1,1,LTE,,,22538,,,
40.635677,-73.994873,311,870,2307,50195456,,1000,1,1,LTE,,,2307,,,
40.635681,-74.001846,310,260,52290,200657363,,1000,1,1,UMTS,,,,,,
40.635681,-74.001617,310,260,52290,200633363,,1000,1,1,UMTS,,,,,,
40.635681,-73.994293,310,410,11948,154538435,,1000,1,1,UMTS,,,,,,
40.635725,-74.001938,310,260,22538,11413767,,1000,1,1,LTE,,,22538,,,
40.635731,-74.001866,310,260,22538,11413761,,1000,1,1,LTE,,,22538,,,
40.635811,-74.003926,310,260,52290,200648481,,1000,1,1,LTE,,,52290,,,
40.63588,-73.999875,310,260,22538,11106310,,1441,1,1,LTE,,,22538,,,
40.636013,-74.001076,310,260,22538,34191935,,1000,1,1,LTE,,,22538,,,
40.636013,-74.001076,310,260,22538,34191878,,1000,1,1,LTE,,,22538,,,
40.636024,-73.99704,310,120,2307,18903554,,1000,1,1,LTE,,,2307,,,
40.636024,-73.996696,310,120,2307,18903578,,1000,1,1,LTE,,,2307,,,
40.636157,-73.996459,310,120,2307,20234810,,1000,1,1,LTE,,,2307,,,
40.636306,-74.00263,310,260,52290,200636362,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.003219604492,310,410,11948,154543500,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.003219604492,310,410,11948,154534940,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.003219604492,310,260,52290,23684531,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.003219604492,310,260,52290,200648484,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.001846313477,310,260,52290,200633895,,1000,1,1,UMTS,,,,,,
40.636367797852,-74.000473022461,310,120,2307,18903555,,1000,1,1,LTE,,,2307,,,
40.636367797852,-74.000473022461,311,870,12316,50196736,,1000,1,1,LTE,,,12316,,,
40.636367797852,-74.000473022461,310,260,52297,200633363,,1000,1,1,UMTS,,,,,,
40.636367797852,-73.999099731445,311,870,2307,20234802,,1000,1,1,LTE,,,2307,,,
40.636367797852,-73.99772644043,310,260,52290,28192,,1000,1,1,CDMA,,,,260,52290,28192
40.636367797852,-73.99772644043,310,4162,7,13004,,1000,1,1,CDMA,,,,4162,7,13004
40.636367797852,-73.994979858398,311,870,2332,50197762,,1000,1,1,LTE,,,2332,,,
40.636367797852,-73.994979858398,310,260,32182,28192,,1000,1,1,GSM,,,,,,
40.636367797852,-73.993606567383,310,120,2307,18902043,,1000,1,1,LTE,,,2307,,,
40.636367797852,-73.993606567383,310,260,52290,200634285,,1000,1,1,UMTS,,,,,,
40.636368,-74.002604,310,410,11948,154534946,,1000,1,1,UMTS,,,,,,
40.636368,-73.994293,310,120,2307,18902019,,1000,1,1,LTE,,,2307,,,
40.636517,-73.994751,310,410,2306,30022193,,1000,1,1,LTE,,,2306,,,
40.636546,-73.994036,311,480,20740,20882456,,1000,1,1,LTE,,,20740,,,
40.63668,-73.997642,310,260,52290,200670944,,1000,1,1,UMTS,,,,,,
40.63676,-73.994391,310,4162,75,1008,,1000,1,1,CDMA,,,,4162,75,1008
40.636826,-74.00322,310,410,11948,154534945,,1000,1,1,UMTS,,,,,,
40.636845,-73.99469,311,480,20740,20882454,,1000,1,1,LTE,,,20740,,,
40.636906,-73.994835,310,410,2306,28276246,,1000,1,1,LTE,,,2306,,,
40.636933,-74.000998,310,410,11947,153486364,,1000,1,1,UMTS,,,,,,
40.637054,-74.001846,310,410,11948,154537106,,1000,1,1,UMTS,,,,,,
40.637257,-74.003986,310,260,52290,200636364,,1000,1,1,LTE,,,52290,,,
40.637292,-74.000069,310,260,22538,11106307,,1711,1,1,LTE,,,22538,,,
40.637304,-73.994195,310,410,11948,154545829,,1153,1,1,UMTS,,,,,,
