lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.508058,-84.740555,311,480,64003,64089111,,1000,1,1,LTE,,,64003,,,
39.508209,-84.738922,310,410,17613,82984739,,1000,1,1,UMTS,,,,,,
39.508895874023,-84.740982055664,310,410,17613,13091,,1000,1,1,CDMA,,,,410,17613,13091
39.508903,-84.742223,311,480,64003,64031767,,1000,1,1,LTE,,,64003,,,
39.509171,-84.736313,310,120,16400,134262016,,1000,1,1,LTE,,,16400,,,
39.50922,-84.736637,311,480,64003,64089612,,1000,1,1,LTE,,,64003,,,
39.509354,-84.742409,311,480,64003,64031768,,1000,1,1,LTE,,,64003,,,
39.509926,-84.740639,310,420,59222,55952,,1000,1,1,CDMA,,,,420,59222,55952
39.510077,-84.74184,311,870,47358,134237186,,1000,1,1,LTE,,,47358,,,
39.510088,-84.743173,310,260,47358,6927618,,1000,1,1,LTE,,,47358,,,
39.510227,-84.736599,311,870,47358,134237190,,1000,1,1,LTE,,,47358,,,
39.510269165039,-84.739608764648,310,260,8196,7760845,,1000,1,1,UMTS,,,,,,
39.510269165039,-84.736862182617,310,260,8196,7760840,,1000,1,1,UMTS,,,,,,
39.510353,-84.746026,310,260,45058,6927638,,2514,1,1,LTE,,,45058,,,
39.510362,-84.737308,311,480,64003,64071448,,1012,1,1,LTE,,,64003,,,
39.510441,-84.740141,311,870,47358,134237187,,1000,1,1,LTE,,,47358,,,
39.510532,-84.743454,311,870,203,47649,,1000,1,1,CDMA,,,,870,203,47649
39.510551,-84.741962,311,870,47358,134270983,,1000,1,1,LTE,,,47358,,,
39.510582,-84.74189,311,870,203,53363,,1000,1,1,LTE,,,203,,,
39.510582,-84.74189,311,870,203,47649,,1000,1,1,LTE,,,203,,,
39.510586,-84.745522,311,480,64003,64089100,,1000,1,1,LTE,,,64003,,,
39.511417,-84.745842,311,480,64003,64031766,,1000,1,1,LTE,,,64003,,,
39.511642,-84.745102,310,410,17613,82979410,,1000,1,1,UMTS,,,,,,
39.511642456055,-84.746475219727,310,260,8102,7760840,,1000,1,1,UMTS,,,,,,
39.511642456055,-84.738235473633,311,480,64003,140889612,,1000,1,1,LTE,,,64003,,,
39.511642456055,-84.736862182617,311,15,19,4466,,1000,1,1,LTE,,,19,,,
39.511986,-84.737384,311,870,47358,134270994,,1000,1,1,LTE,,,47358,,,
39.512066,-84.737653,311,870,47358,134237184,,1000,1,1,LTE,,,47358,,,
39.512329,-84.739609,310,15,19,4466,,1000,1,1,CDMA,,,,15,19,4466
39.512534,-84.742651,311,870,47358,134270981,,1000,1,1,LTE,,,47358,,,
39.512661,-84.739991,311,870,47358,134270996,,1000,1,1,LTE,,,47358,,,
39.512825,-84.741959,310,410,17613,82981668,,1000,1,1,UMTS,,,,,,
39.51301574707,-84.743728637695,311,480,64003,140871446,,1000,1,1,LTE,,,64003,,,
39.51301574707,-84.740982055664,310,410,17613,13092,,1000,1,1,CDMA,,,,410,17613,13092
39.513245,-84.743042,310,410,21507,43855254,,1000,1,1,LTE,,,21507,,,
39.51333,-84.740695,310,260,47105,7368717,,6695,1,1,LTE,,,47105,,,
39.513359,-84.738235,310,410,21507,45903113,,1000,1,1,LTE,,,21507,,,
39.513686,-84.739909,311,870,47358,134237196,,1000,1,1,LTE,,,47358,,,
39.51506,-84.740707,311,870,47358,134270984,,1000,1,1,LTE,,,47358,,,
39.515102,-84.739052,311,870,47358,134270990,,1000,1,1,LTE,,,47358,,,
39.515762,-84.738579,311,870,47359,134293252,,1000,1,1,LTE,,,47359,,,
39.515762,-84.738579,311,870,47359,134284052,,1000,1,1,LTE,,,47359,,,
39.515762,-84.738579,311,870,47358,134307842,,1000,1,1,LTE,,,47358,,,
